NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP17_A||Nivel Estudio Aprobado
Sololá,Concepción,Hombre,0,68,
Sololá,Concepción,Hombre,1,89,
Sololá,Concepción,Hombre,2,68,
Sololá,Concepción,Hombre,3,59,
Sololá,Concepción,Hombre,4,92,Ninguno
Sololá,Concepción,Hombre,4,11,Preprimaria
Sololá,Concepción,Hombre,5,60,Ninguno
Sololá,Concepción,Hombre,5,26,Preprimaria
Sololá,Concepción,Hombre,6,19,Ninguno
Sololá,Concepción,Hombre,6,74,Preprimaria
Sololá,Concepción,Hombre,6,9,Primaria
Sololá,Concepción,Hombre,7,5,Ninguno
Sololá,Concepción,Hombre,7,55,Preprimaria
Sololá,Concepción,Hombre,7,33,Primaria
Sololá,Concepción,Hombre,8,4,Ninguno
Sololá,Concepción,Hombre,8,21,Preprimaria
Sololá,Concepción,Hombre,8,75,Primaria
Sololá,Concepción,Hombre,9,3,Ninguno
Sololá,Concepción,Hombre,9,2,Preprimaria
Sololá,Concepción,Hombre,9,93,Primaria
Sololá,Concepción,Hombre,10,5,Ninguno
Sololá,Concepción,Hombre,10,121,Primaria
Sololá,Concepción,Hombre,11,4,Ninguno
Sololá,Concepción,Hombre,11,79,Primaria
Sololá,Concepción,Hombre,12,1,Ninguno
Sololá,Concepción,Hombre,12,110,Primaria
Sololá,Concepción,Hombre,13,2,Ninguno
Sololá,Concepción,Hombre,13,2,Nivel medio (básico y diversificado)
Sololá,Concepción,Hombre,13,83,Primaria
Sololá,Concepción,Hombre,14,2,Ninguno
Sololá,Concepción,Hombre,14,11,Nivel medio (básico y diversificado)
Sololá,Concepción,Hombre,14,74,Primaria
Sololá,Concepción,Hombre,15,2,Ninguno
Sololá,Concepción,Hombre,15,16,Nivel medio (básico y diversificado)
Sololá,Concepción,Hombre,15,56,Primaria
Sololá,Concepción,Hombre,16,2,Ninguno
Sololá,Concepción,Hombre,16,14,Nivel medio (básico y diversificado)
Sololá,Concepción,Hombre,16,1,Preprimaria
Sololá,Concepción,Hombre,16,63,Primaria
Sololá,Concepción,Hombre,17,1,Ninguno
Sololá,Concepción,Hombre,17,22,Nivel medio (básico y diversificado)
Sololá,Concepción,Hombre,17,1,Preprimaria
Sololá,Concepción,Hombre,17,48,Primaria
Sololá,Concepción,Hombre,18,1,Licenciatura
Sololá,Concepción,Hombre,18,2,Ninguno
Sololá,Concepción,Hombre,18,22,Nivel medio (básico y diversificado)
Sololá,Concepción,Hombre,18,59,Primaria
Sololá,Concepción,Hombre,19,1,Licenciatura
Sololá,Concepción,Hombre,19,4,Ninguno
Sololá,Concepción,Hombre,19,14,Nivel medio (básico y diversificado)
Sololá,Concepción,Hombre,19,2,Preprimaria
Sololá,Concepción,Hombre,19,45,Primaria
Sololá,Concepción,Hombre,20,8,Ninguno
Sololá,Concepción,Hombre,20,10,Nivel medio (básico y diversificado)
Sololá,Concepción,Hombre,20,55,Primaria
Sololá,Concepción,Hombre,21,4,Ninguno
Sololá,Concepción,Hombre,21,17,Nivel medio (básico y diversificado)
Sololá,Concepción,Hombre,21,30,Primaria
Sololá,Concepción,Hombre,22,2,Licenciatura
Sololá,Concepción,Hombre,22,5,Ninguno
Sololá,Concepción,Hombre,22,11,Nivel medio (básico y diversificado)
Sololá,Concepción,Hombre,22,1,Preprimaria
Sololá,Concepción,Hombre,22,37,Primaria
Sololá,Concepción,Hombre,23,3,Licenciatura
Sololá,Concepción,Hombre,23,10,Ninguno
Sololá,Concepción,Hombre,23,11,Nivel medio (básico y diversificado)
Sololá,Concepción,Hombre,23,1,Preprimaria
