NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,PCP16_A||Dificultad Vista,Recuento de PCP1
Sololá,Concepción,Hombre,0,,68
Sololá,Concepción,Hombre,1,,89
Sololá,Concepción,Hombre,2,,68
Sololá,Concepción,Hombre,3,,59
Sololá,Concepción,Hombre,4,No declarado,2
Sololá,Concepción,Hombre,4,"No, sin dificultad",101
Sololá,Concepción,Hombre,5,"No, sin dificultad",86
Sololá,Concepción,Hombre,6,"No, sin dificultad",102
Sololá,Concepción,Hombre,7,No declarado,1
Sololá,Concepción,Hombre,7,"No, sin dificultad",91
Sololá,Concepción,Hombre,7,"Sí, con algo de dificultad",1
Sololá,Concepción,Hombre,8,No declarado,2
Sololá,Concepción,Hombre,8,"No, sin dificultad",98
Sololá,Concepción,Hombre,9,No declarado,1
Sololá,Concepción,Hombre,9,"No, sin dificultad",97
Sololá,Concepción,Hombre,10,No declarado,2
Sololá,Concepción,Hombre,10,"No, sin dificultad",123
Sololá,Concepción,Hombre,10,"Sí, con mucha dificultad",1
Sololá,Concepción,Hombre,11,No declarado,1
Sololá,Concepción,Hombre,11,"No, sin dificultad",80
Sololá,Concepción,Hombre,11,"Sí, con mucha dificultad",2
Sololá,Concepción,Hombre,12,No declarado,1
Sololá,Concepción,Hombre,12,"No, sin dificultad",110
Sololá,Concepción,Hombre,13,No declarado,3
Sololá,Concepción,Hombre,13,"No, sin dificultad",84
Sololá,Concepción,Hombre,14,"No, sin dificultad",86
Sololá,Concepción,Hombre,14,"Sí, con algo de dificultad",1
Sololá,Concepción,Hombre,15,"No, sin dificultad",74
Sololá,Concepción,Hombre,16,No declarado,1
Sololá,Concepción,Hombre,16,"No, sin dificultad",77
Sololá,Concepción,Hombre,16,"Sí, con algo de dificultad",1
Sololá,Concepción,Hombre,16,"Sí, con mucha dificultad",1
Sololá,Concepción,Hombre,17,"No, sin dificultad",71
Sololá,Concepción,Hombre,17,"Sí, con algo de dificultad",1
Sololá,Concepción,Hombre,18,"No, sin dificultad",84
Sololá,Concepción,Hombre,19,No declarado,1
Sololá,Concepción,Hombre,19,"No, sin dificultad",63
Sololá,Concepción,Hombre,19,"Sí, con algo de dificultad",1
Sololá,Concepción,Hombre,19,"Sí, con mucha dificultad",1
Sololá,Concepción,Hombre,20,"No, sin dificultad",72
Sololá,Concepción,Hombre,20,"Sí, con algo de dificultad",1
Sololá,Concepción,Hombre,21,"No, sin dificultad",51
Sololá,Concepción,Hombre,22,No declarado,1
Sololá,Concepción,Hombre,22,"No, sin dificultad",55
Sololá,Concepción,Hombre,23,"No, sin dificultad",61
Sololá,Concepción,Hombre,23,"Sí, con algo de dificultad",1
Sololá,Concepción,Hombre,24,"No, sin dificultad",54
Sololá,Concepción,Hombre,24,"Sí, con mucha dificultad",1
Sololá,Concepción,Hombre,25,"No, sin dificultad",59
Sololá,Concepción,Hombre,25,"Sí, con algo de dificultad",1
Sololá,Concepción,Hombre,26,"No, sin dificultad",62
Sololá,Concepción,Hombre,26,"Sí, con algo de dificultad",1
Sololá,Concepción,Hombre,27,"No, sin dificultad",30
Sololá,Concepción,Hombre,28,"No, sin dificultad",56
Sololá,Concepción,Hombre,29,"No, sin dificultad",36
Sololá,Concepción,Hombre,30,No declarado,1
Sololá,Concepción,Hombre,30,"No, sin dificultad",78
Sololá,Concepción,Hombre,31,"No, sin dificultad",37
Sololá,Concepción,Hombre,32,No declarado,1
Sololá,Concepción,Hombre,32,"No, sin dificultad",38
Sololá,Concepción,Hombre,32,"Sí, con algo de dificultad",1
Sololá,Concepción,Hombre,33,"No, sin dificultad",45
