NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP17_A||Nivel Estudio Aprobado
Sacatepéquez,Antigua Guatemala,Hombre,0,301,
Sacatepéquez,Antigua Guatemala,Hombre,1,382,
Sacatepéquez,Antigua Guatemala,Hombre,2,393,
Sacatepéquez,Antigua Guatemala,Hombre,3,390,
Sacatepéquez,Antigua Guatemala,Hombre,4,246,Ninguno
Sacatepéquez,Antigua Guatemala,Hombre,4,141,Preprimaria
Sacatepéquez,Antigua Guatemala,Hombre,5,155,Ninguno
Sacatepéquez,Antigua Guatemala,Hombre,5,184,Preprimaria
Sacatepéquez,Antigua Guatemala,Hombre,6,89,Ninguno
Sacatepéquez,Antigua Guatemala,Hombre,6,284,Preprimaria
Sacatepéquez,Antigua Guatemala,Hombre,6,21,Primaria
Sacatepéquez,Antigua Guatemala,Hombre,7,29,Ninguno
Sacatepéquez,Antigua Guatemala,Hombre,7,191,Preprimaria
Sacatepéquez,Antigua Guatemala,Hombre,7,132,Primaria
Sacatepéquez,Antigua Guatemala,Hombre,8,16,Ninguno
Sacatepéquez,Antigua Guatemala,Hombre,8,49,Preprimaria
Sacatepéquez,Antigua Guatemala,Hombre,8,318,Primaria
Sacatepéquez,Antigua Guatemala,Hombre,9,4,Ninguno
Sacatepéquez,Antigua Guatemala,Hombre,9,14,Preprimaria
Sacatepéquez,Antigua Guatemala,Hombre,9,359,Primaria
Sacatepéquez,Antigua Guatemala,Hombre,10,10,Ninguno
Sacatepéquez,Antigua Guatemala,Hombre,10,10,Preprimaria
Sacatepéquez,Antigua Guatemala,Hombre,10,417,Primaria
Sacatepéquez,Antigua Guatemala,Hombre,11,18,Ninguno
Sacatepéquez,Antigua Guatemala,Hombre,11,8,Preprimaria
Sacatepéquez,Antigua Guatemala,Hombre,11,354,Primaria
Sacatepéquez,Antigua Guatemala,Hombre,12,9,Ninguno
Sacatepéquez,Antigua Guatemala,Hombre,12,19,Nivel medio (básico y diversificado)
Sacatepéquez,Antigua Guatemala,Hombre,12,8,Preprimaria
Sacatepéquez,Antigua Guatemala,Hombre,12,370,Primaria
Sacatepéquez,Antigua Guatemala,Hombre,13,7,Ninguno
Sacatepéquez,Antigua Guatemala,Hombre,13,101,Nivel medio (básico y diversificado)
