NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,AREA
Quiché,Canillá,Hombre,0,121,Rural
Quiché,Canillá,Hombre,0,22,Urbano
Quiché,Canillá,Hombre,1,128,Rural
Quiché,Canillá,Hombre,1,23,Urbano
Quiché,Canillá,Hombre,2,136,Rural
Quiché,Canillá,Hombre,2,30,Urbano
Quiché,Canillá,Hombre,3,138,Rural
Quiché,Canillá,Hombre,3,26,Urbano
Quiché,Canillá,Hombre,4,122,Rural
Quiché,Canillá,Hombre,4,25,Urbano
Quiché,Canillá,Hombre,5,135,Rural
Quiché,Canillá,Hombre,5,41,Urbano
Quiché,Canillá,Hombre,6,126,Rural
Quiché,Canillá,Hombre,6,18,Urbano
Quiché,Canillá,Hombre,7,132,Rural
Quiché,Canillá,Hombre,7,30,Urbano
Quiché,Canillá,Hombre,8,129,Rural
Quiché,Canillá,Hombre,8,16,Urbano
Quiché,Canillá,Hombre,9,103,Rural
Quiché,Canillá,Hombre,9,29,Urbano
Quiché,Canillá,Hombre,10,132,Rural
Quiché,Canillá,Hombre,10,28,Urbano
Quiché,Canillá,Hombre,11,99,Rural
Quiché,Canillá,Hombre,11,20,Urbano
Quiché,Canillá,Hombre,12,115,Rural
Quiché,Canillá,Hombre,12,21,Urbano
Quiché,Canillá,Hombre,13,129,Rural
Quiché,Canillá,Hombre,13,20,Urbano
Quiché,Canillá,Hombre,14,110,Rural
Quiché,Canillá,Hombre,14,22,Urbano
Quiché,Canillá,Hombre,15,106,Rural
Quiché,Canillá,Hombre,15,25,Urbano
Quiché,Canillá,Hombre,16,108,Rural
Quiché,Canillá,Hombre,16,22,Urbano
Quiché,Canillá,Hombre,17,86,Rural
Quiché,Canillá,Hombre,17,29,Urbano
Quiché,Canillá,Hombre,18,92,Rural
Quiché,Canillá,Hombre,18,37,Urbano
Quiché,Canillá,Hombre,19,89,Rural
Quiché,Canillá,Hombre,19,17,Urbano
Quiché,Canillá,Hombre,20,73,Rural
Quiché,Canillá,Hombre,20,18,Urbano
Quiché,Canillá,Hombre,21,80,Rural
Quiché,Canillá,Hombre,21,28,Urbano
Quiché,Canillá,Hombre,22,93,Rural
Quiché,Canillá,Hombre,22,23,Urbano
Quiché,Canillá,Hombre,23,95,Rural
Quiché,Canillá,Hombre,23,15,Urbano
Quiché,Canillá,Hombre,24,89,Rural
Quiché,Canillá,Hombre,24,15,Urbano
Quiché,Canillá,Hombre,25,96,Rural
Quiché,Canillá,Hombre,25,15,Urbano
Quiché,Canillá,Hombre,26,66,Rural
Quiché,Canillá,Hombre,26,22,Urbano
Quiché,Canillá,Hombre,27,68,Rural
Quiché,Canillá,Hombre,27,9,Urbano
Quiché,Canillá,Hombre,28,59,Rural
Quiché,Canillá,Hombre,28,21,Urbano
Quiché,Canillá,Hombre,29,49,Rural
Quiché,Canillá,Hombre,29,12,Urbano
Quiché,Canillá,Hombre,30,64,Rural
Quiché,Canillá,Hombre,30,26,Urbano
Quiché,Canillá,Hombre,31,43,Rural
Quiché,Canillá,Hombre,31,18,Urbano
Quiché,Canillá,Hombre,32,48,Rural
Quiché,Canillá,Hombre,32,14,Urbano
Quiché,Canillá,Hombre,33,36,Rural
Quiché,Canillá,Hombre,33,9,Urbano
Quiché,Canillá,Hombre,34,42,Rural
Quiché,Canillá,Hombre,34,10,Urbano
Quiché,Canillá,Hombre,35,41,Rural
Quiché,Canillá,Hombre,35,14,Urbano
Quiché,Canillá,Hombre,36,41,Rural
Quiché,Canillá,Hombre,36,15,Urbano
Quiché,Canillá,Hombre,37,40,Rural
Quiché,Canillá,Hombre,37,9,Urbano
Quiché,Canillá,Hombre,38,43,Rural
Quiché,Canillá,Hombre,38,18,Urbano
Quiché,Canillá,Hombre,39,38,Rural
Quiché,Canillá,Hombre,39,9,Urbano
Quiché,Canillá,Hombre,40,39,Rural
Quiché,Canillá,Hombre,40,11,Urbano
Quiché,Canillá,Hombre,41,28,Rural
Quiché,Canillá,Hombre,41,9,Urbano
Quiché,Canillá,Hombre,42,46,Rural
Quiché,Canillá,Hombre,42,9,Urbano
Quiché,Canillá,Hombre,43,31,Rural
Quiché,Canillá,Hombre,43,18,Urbano
Quiché,Canillá,Hombre,44,37,Rural
Quiché,Canillá,Hombre,44,9,Urbano
Quiché,Canillá,Hombre,45,49,Rural
Quiché,Canillá,Hombre,45,10,Urbano
Quiché,Canillá,Hombre,46,31,Rural
Quiché,Canillá,Hombre,46,6,Urbano
Quiché,Canillá,Hombre,47,23,Rural
Quiché,Canillá,Hombre,47,11,Urbano
Quiché,Canillá,Hombre,48,35,Rural
Quiché,Canillá,Hombre,48,12,Urbano
Quiché,Canillá,Hombre,49,26,Rural
Quiché,Canillá,Hombre,49,6,Urbano
Quiché,Canillá,Hombre,50,38,Rural
Quiché,Canillá,Hombre,50,11,Urbano
Quiché,Canillá,Hombre,51,30,Rural
Quiché,Canillá,Hombre,51,6,Urbano
Quiché,Canillá,Hombre,52,29,Rural
Quiché,Canillá,Hombre,52,6,Urbano
Quiché,Canillá,Hombre,53,14,Rural
Quiché,Canillá,Hombre,53,8,Urbano
Quiché,Canillá,Hombre,54,24,Rural
Quiché,Canillá,Hombre,54,13,Urbano
Quiché,Canillá,Hombre,55,30,Rural
Quiché,Canillá,Hombre,55,16,Urbano
Quiché,Canillá,Hombre,56,42,Rural
Quiché,Canillá,Hombre,56,8,Urbano
Quiché,Canillá,Hombre,57,33,Rural
Quiché,Canillá,Hombre,57,4,Urbano
Quiché,Canillá,Hombre,58,30,Rural
Quiché,Canillá,Hombre,58,10,Urbano
Quiché,Canillá,Hombre,59,31,Rural
Quiché,Canillá,Hombre,59,7,Urbano
Quiché,Canillá,Hombre,60,36,Rural
Quiché,Canillá,Hombre,60,7,Urbano
Quiché,Canillá,Hombre,61,15,Rural
Quiché,Canillá,Hombre,61,10,Urbano
Quiché,Canillá,Hombre,62,24,Rural
Quiché,Canillá,Hombre,62,8,Urbano
Quiché,Canillá,Hombre,63,20,Rural
Quiché,Canillá,Hombre,63,7,Urbano
Quiché,Canillá,Hombre,64,33,Rural
Quiché,Canillá,Hombre,64,6,Urbano
Quiché,Canillá,Hombre,65,32,Rural
Quiché,Canillá,Hombre,65,12,Urbano
Quiché,Canillá,Hombre,66,25,Rural
Quiché,Canillá,Hombre,66,7,Urbano
Quiché,Canillá,Hombre,67,17,Rural
Quiché,Canillá,Hombre,67,9,Urbano
Quiché,Canillá,Hombre,68,22,Rural
Quiché,Canillá,Hombre,68,8,Urbano
Quiché,Canillá,Hombre,69,19,Rural
Quiché,Canillá,Hombre,69,5,Urbano
Quiché,Canillá,Hombre,70,29,Rural
Quiché,Canillá,Hombre,70,8,Urbano
Quiché,Canillá,Hombre,71,16,Rural
Quiché,Canillá,Hombre,71,5,Urbano
Quiché,Canillá,Hombre,72,19,Rural
Quiché,Canillá,Hombre,72,1,Urbano
Quiché,Canillá,Hombre,73,13,Rural
Quiché,Canillá,Hombre,73,5,Urbano
Quiché,Canillá,Hombre,74,17,Rural
Quiché,Canillá,Hombre,74,2,Urbano
Quiché,Canillá,Hombre,75,19,Rural
Quiché,Canillá,Hombre,75,2,Urbano
Quiché,Canillá,Hombre,76,14,Rural
Quiché,Canillá,Hombre,76,2,Urbano
Quiché,Canillá,Hombre,77,8,Rural
Quiché,Canillá,Hombre,77,2,Urbano
Quiché,Canillá,Hombre,78,12,Rural
Quiché,Canillá,Hombre,78,3,Urbano
Quiché,Canillá,Hombre,79,6,Rural
Quiché,Canillá,Hombre,79,2,Urbano
Quiché,Canillá,Hombre,80,12,Rural
Quiché,Canillá,Hombre,80,2,Urbano
Quiché,Canillá,Hombre,81,7,Rural
Quiché,Canillá,Hombre,81,1,Urbano
Quiché,Canillá,Hombre,82,4,Rural
Quiché,Canillá,Hombre,82,1,Urbano
Quiché,Canillá,Hombre,83,11,Rural
Quiché,Canillá,Hombre,83,5,Urbano
Quiché,Canillá,Hombre,84,9,Rural
Quiché,Canillá,Hombre,84,2,Urbano
Quiché,Canillá,Hombre,85,5,Rural
Quiché,Canillá,Hombre,85,1,Urbano
Quiché,Canillá,Hombre,86,1,Rural
Quiché,Canillá,Hombre,86,1,Urbano
Quiché,Canillá,Hombre,87,7,Rural
Quiché,Canillá,Hombre,87,1,Urbano
Quiché,Canillá,Hombre,88,5,Rural
Quiché,Canillá,Hombre,88,2,Urbano
Quiché,Canillá,Hombre,89,3,Rural
Quiché,Canillá,Hombre,89,3,Urbano
Quiché,Canillá,Hombre,90,3,Rural
Quiché,Canillá,Hombre,90,1,Urbano
Quiché,Canillá,Hombre,91,1,Rural
Quiché,Canillá,Hombre,92,2,Urbano
Quiché,Canillá,Hombre,93,2,Rural
Quiché,Canillá,Hombre,93,1,Urbano
Quiché,Canillá,Hombre,95,1,Rural
Quiché,Canillá,Hombre,96,1,Rural
Quiché,Canillá,Hombre,96,1,Urbano
Quiché,Canillá,Hombre,97,1,Rural
Quiché,Canillá,Hombre,100,1,Rural
Quiché,Canillá,Mujer,0,115,Rural
Quiché,Canillá,Mujer,0,21,Urbano
Quiché,Canillá,Mujer,1,150,Rural
Quiché,Canillá,Mujer,1,23,Urbano
Quiché,Canillá,Mujer,2,116,Rural
Quiché,Canillá,Mujer,2,25,Urbano
Quiché,Canillá,Mujer,3,122,Rural
Quiché,Canillá,Mujer,3,21,Urbano
Quiché,Canillá,Mujer,4,117,Rural
Quiché,Canillá,Mujer,4,32,Urbano
Quiché,Canillá,Mujer,5,128,Rural
Quiché,Canillá,Mujer,5,39,Urbano
Quiché,Canillá,Mujer,6,122,Rural
Quiché,Canillá,Mujer,6,39,Urbano
Quiché,Canillá,Mujer,7,120,Rural
Quiché,Canillá,Mujer,7,18,Urbano
Quiché,Canillá,Mujer,8,105,Rural
