NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,AREA
Chiquimula,Camotán,Hombre,19,4,Urbano
Chiquimula,Camotán,Hombre,20,577,Rural
Chiquimula,Camotán,Hombre,20,5,Urbano
Chiquimula,Camotán,Hombre,21,522,Rural
Chiquimula,Camotán,Hombre,21,10,Urbano
Chiquimula,Camotán,Hombre,22,540,Rural
Chiquimula,Camotán,Hombre,22,2,Urbano
Chiquimula,Camotán,Hombre,23,528,Rural
Chiquimula,Camotán,Hombre,23,4,Urbano
Chiquimula,Camotán,Hombre,24,471,Rural
Chiquimula,Camotán,Hombre,24,5,Urbano
Chiquimula,Camotán,Hombre,25,448,Rural
Chiquimula,Camotán,Hombre,25,7,Urbano
Chiquimula,Camotán,Hombre,26,380,Rural
Chiquimula,Camotán,Hombre,26,2,Urbano
Chiquimula,Camotán,Hombre,27,366,Rural
Chiquimula,Camotán,Hombre,27,5,Urbano
Chiquimula,Camotán,Hombre,28,369,Rural
Chiquimula,Camotán,Hombre,28,6,Urbano
Chiquimula,Camotán,Hombre,29,322,Rural
Chiquimula,Camotán,Hombre,29,5,Urbano
Chiquimula,Camotán,Hombre,30,376,Rural
Chiquimula,Camotán,Hombre,30,8,Urbano
Chiquimula,Camotán,Hombre,31,257,Rural
Chiquimula,Camotán,Hombre,31,3,Urbano
Chiquimula,Camotán,Hombre,32,350,Rural
Chiquimula,Camotán,Hombre,32,4,Urbano
Chiquimula,Camotán,Hombre,33,321,Rural
Chiquimula,Camotán,Hombre,33,7,Urbano
Chiquimula,Camotán,Hombre,34,270,Rural
Chiquimula,Camotán,Hombre,34,2,Urbano
Chiquimula,Camotán,Hombre,35,287,Rural
Chiquimula,Camotán,Hombre,35,7,Urbano
Chiquimula,Camotán,Hombre,36,279,Rural
Chiquimula,Camotán,Hombre,36,6,Urbano
Chiquimula,Camotán,Hombre,37,282,Rural
Chiquimula,Camotán,Hombre,37,4,Urbano
Chiquimula,Camotán,Hombre,38,279,Rural
Chiquimula,Camotán,Hombre,38,4,Urbano
Chiquimula,Camotán,Hombre,39,240,Rural
Chiquimula,Camotán,Hombre,39,2,Urbano
Chiquimula,Camotán,Hombre,40,269,Rural
Chiquimula,Camotán,Hombre,40,6,Urbano
Chiquimula,Camotán,Hombre,41,198,Rural
Chiquimula,Camotán,Hombre,41,6,Urbano
Chiquimula,Camotán,Hombre,42,228,Rural
Chiquimula,Camotán,Hombre,42,5,Urbano
Chiquimula,Camotán,Hombre,43,212,Rural
Chiquimula,Camotán,Hombre,43,2,Urbano
Chiquimula,Camotán,Hombre,44,204,Rural
Chiquimula,Camotán,Hombre,44,2,Urbano
Chiquimula,Camotán,Hombre,45,195,Rural
Chiquimula,Camotán,Hombre,45,4,Urbano
Chiquimula,Camotán,Hombre,46,177,Rural
Chiquimula,Camotán,Hombre,46,1,Urbano
Chiquimula,Camotán,Hombre,47,164,Rural
Chiquimula,Camotán,Hombre,47,7,Urbano
Chiquimula,Camotán,Hombre,48,142,Rural
Chiquimula,Camotán,Hombre,49,148,Rural
Chiquimula,Camotán,Hombre,49,3,Urbano
Chiquimula,Camotán,Hombre,50,149,Rural
Chiquimula,Camotán,Hombre,50,2,Urbano
Chiquimula,Camotán,Hombre,51,121,Rural
Chiquimula,Camotán,Hombre,51,3,Urbano
Chiquimula,Camotán,Hombre,52,135,Rural
Chiquimula,Camotán,Hombre,52,5,Urbano
Chiquimula,Camotán,Hombre,53,137,Rural
Chiquimula,Camotán,Hombre,53,1,Urbano
Chiquimula,Camotán,Hombre,54,126,Rural
Chiquimula,Camotán,Hombre,54,1,Urbano
Chiquimula,Camotán,Hombre,55,101,Rural
Chiquimula,Camotán,Hombre,55,1,Urbano
Chiquimula,Camotán,Hombre,56,121,Rural
Chiquimula,Camotán,Hombre,57,113,Rural
Chiquimula,Camotán,Hombre,57,4,Urbano
Chiquimula,Camotán,Hombre,58,141,Rural
Chiquimula,Camotán,Hombre,58,1,Urbano
Chiquimula,Camotán,Hombre,59,126,Rural
Chiquimula,Camotán,Hombre,59,1,Urbano
Chiquimula,Camotán,Hombre,60,135,Rural
Chiquimula,Camotán,Hombre,60,2,Urbano
Chiquimula,Camotán,Hombre,61,80,Rural
Chiquimula,Camotán,Hombre,61,2,Urbano
Chiquimula,Camotán,Hombre,62,82,Rural
Chiquimula,Camotán,Hombre,62,1,Urbano
Chiquimula,Camotán,Hombre,63,90,Rural
Chiquimula,Camotán,Hombre,63,2,Urbano
Chiquimula,Camotán,Hombre,64,87,Rural
Chiquimula,Camotán,Hombre,64,1,Urbano
Chiquimula,Camotán,Hombre,65,101,Rural
Chiquimula,Camotán,Hombre,65,2,Urbano
Chiquimula,Camotán,Hombre,66,82,Rural
Chiquimula,Camotán,Hombre,66,1,Urbano
Chiquimula,Camotán,Hombre,67,69,Rural
Chiquimula,Camotán,Hombre,67,1,Urbano
Chiquimula,Camotán,Hombre,68,80,Rural
Chiquimula,Camotán,Hombre,68,1,Urbano
Chiquimula,Camotán,Hombre,69,75,Rural
Chiquimula,Camotán,Hombre,70,76,Rural
Chiquimula,Camotán,Hombre,70,1,Urbano
Chiquimula,Camotán,Hombre,71,73,Rural
Chiquimula,Camotán,Hombre,71,2,Urbano
Chiquimula,Camotán,Hombre,72,58,Rural
Chiquimula,Camotán,Hombre,72,1,Urbano
Chiquimula,Camotán,Hombre,73,55,Rural
Chiquimula,Camotán,Hombre,73,2,Urbano
Chiquimula,Camotán,Hombre,74,37,Rural
Chiquimula,Camotán,Hombre,75,47,Rural
Chiquimula,Camotán,Hombre,75,1,Urbano
Chiquimula,Camotán,Hombre,76,31,Rural
Chiquimula,Camotán,Hombre,76,1,Urbano
Chiquimula,Camotán,Hombre,77,35,Rural
Chiquimula,Camotán,Hombre,77,1,Urbano
Chiquimula,Camotán,Hombre,78,36,Rural
Chiquimula,Camotán,Hombre,78,1,Urbano
Chiquimula,Camotán,Hombre,79,26,Rural
Chiquimula,Camotán,Hombre,80,37,Rural
Chiquimula,Camotán,Hombre,81,20,Rural
Chiquimula,Camotán,Hombre,82,23,Rural
Chiquimula,Camotán,Hombre,83,18,Rural
Chiquimula,Camotán,Hombre,84,16,Rural
Chiquimula,Camotán,Hombre,85,12,Rural
Chiquimula,Camotán,Hombre,85,1,Urbano
Chiquimula,Camotán,Hombre,86,11,Rural
Chiquimula,Camotán,Hombre,86,1,Urbano
Chiquimula,Camotán,Hombre,87,16,Rural
Chiquimula,Camotán,Hombre,88,13,Rural
Chiquimula,Camotán,Hombre,89,9,Rural
Chiquimula,Camotán,Hombre,90,6,Rural
Chiquimula,Camotán,Hombre,91,3,Rural
Chiquimula,Camotán,Hombre,92,2,Rural
Chiquimula,Camotán,Hombre,94,3,Rural
