NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PDESOC||Personas Desocupadas
Sacatepéquez,Antigua Guatemala,Hombre,0,301,
Sacatepéquez,Antigua Guatemala,Hombre,1,382,
Sacatepéquez,Antigua Guatemala,Hombre,2,393,
Sacatepéquez,Antigua Guatemala,Hombre,3,390,
Sacatepéquez,Antigua Guatemala,Hombre,4,387,
Sacatepéquez,Antigua Guatemala,Hombre,5,339,
Sacatepéquez,Antigua Guatemala,Hombre,6,394,
Sacatepéquez,Antigua Guatemala,Hombre,7,352,
Sacatepéquez,Antigua Guatemala,Hombre,8,383,
Sacatepéquez,Antigua Guatemala,Hombre,9,376,
Sacatepéquez,Antigua Guatemala,Hombre,9,1,Cesante
Sacatepéquez,Antigua Guatemala,Hombre,10,436,
Sacatepéquez,Antigua Guatemala,Hombre,10,1,Cesante
Sacatepéquez,Antigua Guatemala,Hombre,11,380,
Sacatepéquez,Antigua Guatemala,Hombre,12,402,
Sacatepéquez,Antigua Guatemala,Hombre,12,2,Aspirante
Sacatepéquez,Antigua Guatemala,Hombre,12,2,Cesante
Sacatepéquez,Antigua Guatemala,Hombre,13,412,
Sacatepéquez,Antigua Guatemala,Hombre,13,1,Cesante
Sacatepéquez,Antigua Guatemala,Hombre,14,431,
Sacatepéquez,Antigua Guatemala,Hombre,14,1,Cesante
Sacatepéquez,Antigua Guatemala,Hombre,15,435,
Sacatepéquez,Antigua Guatemala,Hombre,15,2,Aspirante
Sacatepéquez,Antigua Guatemala,Hombre,15,2,Cesante
Sacatepéquez,Antigua Guatemala,Hombre,16,447,
Sacatepéquez,Antigua Guatemala,Hombre,16,2,Cesante
Sacatepéquez,Antigua Guatemala,Hombre,17,486,
Sacatepéquez,Antigua Guatemala,Hombre,17,4,Aspirante
Sacatepéquez,Antigua Guatemala,Hombre,17,3,Cesante
Sacatepéquez,Antigua Guatemala,Hombre,18,500,
Sacatepéquez,Antigua Guatemala,Hombre,18,10,Aspirante
Sacatepéquez,Antigua Guatemala,Hombre,18,7,Cesante
Sacatepéquez,Antigua Guatemala,Hombre,19,411,
Sacatepéquez,Antigua Guatemala,Hombre,19,9,Aspirante
Sacatepéquez,Antigua Guatemala,Hombre,19,13,Cesante
