NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP16_B||Dificultad Oído
Chiquimula,Camotán,Hombre,0,773,
Chiquimula,Camotán,Hombre,1,886,
Chiquimula,Camotán,Hombre,2,1006,
Chiquimula,Camotán,Hombre,3,799,
Chiquimula,Camotán,Hombre,4,28,No declarado
Chiquimula,Camotán,Hombre,4,799,"No, sin dificultad"
Chiquimula,Camotán,Hombre,4,5,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,5,9,No declarado
Chiquimula,Camotán,Hombre,5,1,No puede
Chiquimula,Camotán,Hombre,5,843,"No, sin dificultad"
Chiquimula,Camotán,Hombre,5,1,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,6,8,No declarado
Chiquimula,Camotán,Hombre,6,713,"No, sin dificultad"
Chiquimula,Camotán,Hombre,6,1,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,6,2,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,7,7,No declarado
Chiquimula,Camotán,Hombre,7,1,No puede
Chiquimula,Camotán,Hombre,7,780,"No, sin dificultad"
Chiquimula,Camotán,Hombre,7,5,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,7,1,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,8,4,No declarado
Chiquimula,Camotán,Hombre,8,1,No puede
Chiquimula,Camotán,Hombre,8,720,"No, sin dificultad"
Chiquimula,Camotán,Hombre,8,2,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,8,1,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,9,11,No declarado
Chiquimula,Camotán,Hombre,9,759,"No, sin dificultad"
Chiquimula,Camotán,Hombre,9,6,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,9,1,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,10,8,No declarado
Chiquimula,Camotán,Hombre,10,801,"No, sin dificultad"
Chiquimula,Camotán,Hombre,10,5,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,11,5,No declarado
Chiquimula,Camotán,Hombre,11,734,"No, sin dificultad"
Chiquimula,Camotán,Hombre,11,4,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,11,1,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,12,7,No declarado
Chiquimula,Camotán,Hombre,12,3,No puede
Chiquimula,Camotán,Hombre,12,719,"No, sin dificultad"
Chiquimula,Camotán,Hombre,12,1,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,12,2,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,13,4,No declarado
Chiquimula,Camotán,Hombre,13,1,No puede
Chiquimula,Camotán,Hombre,13,757,"No, sin dificultad"
Chiquimula,Camotán,Hombre,13,5,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,13,1,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,14,4,No declarado
Chiquimula,Camotán,Hombre,14,1,No puede
Chiquimula,Camotán,Hombre,14,703,"No, sin dificultad"
Chiquimula,Camotán,Hombre,14,1,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,14,1,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,15,8,No declarado
Chiquimula,Camotán,Hombre,15,1,No puede
Chiquimula,Camotán,Hombre,15,735,"No, sin dificultad"
Chiquimula,Camotán,Hombre,15,4,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,15,2,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,16,5,No declarado
Chiquimula,Camotán,Hombre,16,2,No puede
Chiquimula,Camotán,Hombre,16,669,"No, sin dificultad"
Chiquimula,Camotán,Hombre,16,3,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,16,4,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,17,3,No declarado
Chiquimula,Camotán,Hombre,17,2,No puede
Chiquimula,Camotán,Hombre,17,709,"No, sin dificultad"
Chiquimula,Camotán,Hombre,17,4,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,17,4,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,18,8,No declarado
Chiquimula,Camotán,Hombre,18,702,"No, sin dificultad"
Chiquimula,Camotán,Hombre,18,2,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,18,1,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,19,4,No declarado
Chiquimula,Camotán,Hombre,19,586,"No, sin dificultad"
Chiquimula,Camotán,Hombre,19,5,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,19,2,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,20,4,No declarado
Chiquimula,Camotán,Hombre,20,574,"No, sin dificultad"
Chiquimula,Camotán,Hombre,20,4,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,21,7,No declarado
Chiquimula,Camotán,Hombre,21,2,No puede
Chiquimula,Camotán,Hombre,21,517,"No, sin dificultad"
Chiquimula,Camotán,Hombre,21,5,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,21,1,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,22,5,No declarado
Chiquimula,Camotán,Hombre,22,1,No puede
Chiquimula,Camotán,Hombre,22,535,"No, sin dificultad"
Chiquimula,Camotán,Hombre,22,1,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,23,5,No declarado
Chiquimula,Camotán,Hombre,23,524,"No, sin dificultad"
Chiquimula,Camotán,Hombre,23,2,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,23,1,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,24,1,No declarado
Chiquimula,Camotán,Hombre,24,1,No puede
Chiquimula,Camotán,Hombre,24,468,"No, sin dificultad"
Chiquimula,Camotán,Hombre,24,4,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,24,2,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,25,2,No declarado
Chiquimula,Camotán,Hombre,25,451,"No, sin dificultad"
Chiquimula,Camotán,Hombre,25,1,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,25,1,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,26,4,No declarado
Chiquimula,Camotán,Hombre,26,2,No puede
Chiquimula,Camotán,Hombre,26,373,"No, sin dificultad"
Chiquimula,Camotán,Hombre,26,3,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,27,2,No declarado
Chiquimula,Camotán,Hombre,27,1,No puede
Chiquimula,Camotán,Hombre,27,367,"No, sin dificultad"
Chiquimula,Camotán,Hombre,27,1,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,28,2,No declarado
Chiquimula,Camotán,Hombre,28,1,No puede
Chiquimula,Camotán,Hombre,28,367,"No, sin dificultad"
Chiquimula,Camotán,Hombre,28,3,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,28,2,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,29,2,No declarado
