NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP16_F||Dificultad para comunicarse
Jutiapa,Agua Blanca,Hombre,0,117,
Jutiapa,Agua Blanca,Hombre,1,137,
Jutiapa,Agua Blanca,Hombre,2,148,
Jutiapa,Agua Blanca,Hombre,3,158,
Jutiapa,Agua Blanca,Hombre,4,18,No declarado
Jutiapa,Agua Blanca,Hombre,4,108,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,5,12,No declarado
Jutiapa,Agua Blanca,Hombre,5,159,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,5,2,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,5,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,6,1,No declarado
Jutiapa,Agua Blanca,Hombre,6,142,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,6,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,7,2,No declarado
Jutiapa,Agua Blanca,Hombre,7,152,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,7,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,7,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,8,1,No declarado
Jutiapa,Agua Blanca,Hombre,8,172,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,9,4,No declarado
Jutiapa,Agua Blanca,Hombre,9,143,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,10,2,No declarado
Jutiapa,Agua Blanca,Hombre,10,1,No puede
Jutiapa,Agua Blanca,Hombre,10,141,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,11,2,No declarado
Jutiapa,Agua Blanca,Hombre,11,2,No puede
Jutiapa,Agua Blanca,Hombre,11,140,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,11,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,12,2,No declarado
Jutiapa,Agua Blanca,Hombre,12,147,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,13,2,No declarado
Jutiapa,Agua Blanca,Hombre,13,1,No puede
Jutiapa,Agua Blanca,Hombre,13,139,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,13,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,14,3,No declarado
Jutiapa,Agua Blanca,Hombre,14,151,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,14,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,14,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,15,2,No declarado
Jutiapa,Agua Blanca,Hombre,15,1,No puede
Jutiapa,Agua Blanca,Hombre,15,160,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,15,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,15,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,16,2,No declarado
Jutiapa,Agua Blanca,Hombre,16,154,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,17,1,No declarado
Jutiapa,Agua Blanca,Hombre,17,1,No puede
Jutiapa,Agua Blanca,Hombre,17,146,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,17,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,17,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,18,3,No declarado
Jutiapa,Agua Blanca,Hombre,18,2,No puede
Jutiapa,Agua Blanca,Hombre,18,183,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,19,1,No declarado
Jutiapa,Agua Blanca,Hombre,19,1,No puede
Jutiapa,Agua Blanca,Hombre,19,145,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,19,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,20,4,No declarado
Jutiapa,Agua Blanca,Hombre,20,143,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,20,2,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,21,112,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,22,1,No declarado
Jutiapa,Agua Blanca,Hombre,22,1,No puede
Jutiapa,Agua Blanca,Hombre,22,151,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,22,2,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,23,1,No declarado
Jutiapa,Agua Blanca,Hombre,23,146,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,23,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,24,123,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,24,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,24,3,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,25,145,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,25,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,25,4,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,26,1,No declarado
Jutiapa,Agua Blanca,Hombre,26,119,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,26,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,27,1,No puede
Jutiapa,Agua Blanca,Hombre,27,96,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,27,2,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,28,1,No declarado
Jutiapa,Agua Blanca,Hombre,28,2,No puede
Jutiapa,Agua Blanca,Hombre,28,118,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,28,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,29,3,No declarado
Jutiapa,Agua Blanca,Hombre,29,2,No puede
Jutiapa,Agua Blanca,Hombre,29,89,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,29,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,29,2,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,30,1,No declarado
Jutiapa,Agua Blanca,Hombre,30,1,No puede
Jutiapa,Agua Blanca,Hombre,30,138,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,30,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,31,2,No declarado
Jutiapa,Agua Blanca,Hombre,31,84,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,32,108,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,32,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,33,1,No declarado
Jutiapa,Agua Blanca,Hombre,33,102,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,34,1,No puede
Jutiapa,Agua Blanca,Hombre,34,73,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,34,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,34,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,35,82,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,35,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,35,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,36,2,No declarado
Jutiapa,Agua Blanca,Hombre,36,78,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,36,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,37,85,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,38,2,No declarado
Jutiapa,Agua Blanca,Hombre,38,1,No puede
Jutiapa,Agua Blanca,Hombre,38,98,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,38,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,39,59,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,39,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,40,2,No declarado
Jutiapa,Agua Blanca,Hombre,40,1,No puede
Jutiapa,Agua Blanca,Hombre,40,93,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,40,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,40,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,41,65,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,41,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,42,1,No declarado
Jutiapa,Agua Blanca,Hombre,42,84,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,42,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,43,66,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,43,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,44,2,No declarado
Jutiapa,Agua Blanca,Hombre,44,72,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,44,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,44,2,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,45,1,No declarado
Jutiapa,Agua Blanca,Hombre,45,77,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,46,1,No declarado
Jutiapa,Agua Blanca,Hombre,46,79,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,46,2,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,47,71,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,48,1,No declarado
Jutiapa,Agua Blanca,Hombre,48,77,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,49,55,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,49,2,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,50,2,No puede
Jutiapa,Agua Blanca,Hombre,50,98,"No, sin dificultad"
