NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,NIVGRADO||Nivel y grado de estudio,Recuento de PCP17_B
Retalhuleu,Champerico,Hombre,6,1ero Primaria,15
Retalhuleu,Champerico,Hombre,7,1ero Primaria,113
Retalhuleu,Champerico,Hombre,7,2do Primaria,7
Retalhuleu,Champerico,Hombre,8,1ero Primaria,198
Retalhuleu,Champerico,Hombre,8,2do Primaria,45
Retalhuleu,Champerico,Hombre,8,3ero Primaria,4
Retalhuleu,Champerico,Hombre,9,1ero Primaria,139
Retalhuleu,Champerico,Hombre,9,2do Primaria,163
Retalhuleu,Champerico,Hombre,9,3ero Primaria,38
Retalhuleu,Champerico,Hombre,9,4to Primaria,2
Retalhuleu,Champerico,Hombre,10,1ero Primaria,53
Retalhuleu,Champerico,Hombre,10,2do Primaria,85
Retalhuleu,Champerico,Hombre,10,3ero Primaria,143
Retalhuleu,Champerico,Hombre,10,4to Primaria,30
Retalhuleu,Champerico,Hombre,10,5to Primaria,5
Retalhuleu,Champerico,Hombre,11,1ero Primaria,31
Retalhuleu,Champerico,Hombre,11,2do Primaria,55
Retalhuleu,Champerico,Hombre,11,3ero Primaria,73
Retalhuleu,Champerico,Hombre,11,4to Primaria,109
Retalhuleu,Champerico,Hombre,11,5to Primaria,21
Retalhuleu,Champerico,Hombre,11,6to Primaria,3
Retalhuleu,Champerico,Hombre,12,1ero Basico,6
Retalhuleu,Champerico,Hombre,12,1ero Primaria,22
Retalhuleu,Champerico,Hombre,12,2do Primaria,33
Retalhuleu,Champerico,Hombre,12,3ero Primaria,65
Retalhuleu,Champerico,Hombre,12,4to Primaria,82
Retalhuleu,Champerico,Hombre,12,5to Primaria,100
Retalhuleu,Champerico,Hombre,12,6to Primaria,29
Retalhuleu,Champerico,Hombre,13,1ero Basico,38
Retalhuleu,Champerico,Hombre,13,1ero Primaria,8
Retalhuleu,Champerico,Hombre,13,2do Primaria,25
Retalhuleu,Champerico,Hombre,13,3ero Primaria,36
Retalhuleu,Champerico,Hombre,13,4to Primaria,49
Retalhuleu,Champerico,Hombre,13,5to Primaria,79
Retalhuleu,Champerico,Hombre,13,6to Primaria,93
Retalhuleu,Champerico,Hombre,14,1ero Basico,85
Retalhuleu,Champerico,Hombre,14,1ero Primaria,6
Retalhuleu,Champerico,Hombre,14,2do  Basico,22
Retalhuleu,Champerico,Hombre,14,2do Primaria,10
Retalhuleu,Champerico,Hombre,14,3ero Basico,7
Retalhuleu,Champerico,Hombre,14,3ero Primaria,25
Retalhuleu,Champerico,Hombre,14,4to Primaria,32
Retalhuleu,Champerico,Hombre,14,5to Primaria,62
Retalhuleu,Champerico,Hombre,14,6to Primaria,72
Retalhuleu,Champerico,Hombre,15,1ero Basico,57
Retalhuleu,Champerico,Hombre,15,1ero Primaria,3
Retalhuleu,Champerico,Hombre,15,2do  Basico,82
Retalhuleu,Champerico,Hombre,15,2do Primaria,10
Retalhuleu,Champerico,Hombre,15,3ero Basico,26
Retalhuleu,Champerico,Hombre,15,3ero Primaria,17
Retalhuleu,Champerico,Hombre,15,4to Diversificado,3
Retalhuleu,Champerico,Hombre,15,4to Primaria,20
Retalhuleu,Champerico,Hombre,15,5to Primaria,29
Retalhuleu,Champerico,Hombre,15,6to Primaria,73
Retalhuleu,Champerico,Hombre,16,1ero Basico,45
Retalhuleu,Champerico,Hombre,16,1ero Primaria,10
Retalhuleu,Champerico,Hombre,16,2do  Basico,63
Retalhuleu,Champerico,Hombre,16,2do Primaria,4
Retalhuleu,Champerico,Hombre,16,3ero Basico,60
Retalhuleu,Champerico,Hombre,16,3ero Primaria,22
Retalhuleu,Champerico,Hombre,16,4to Diversificado,26
Retalhuleu,Champerico,Hombre,16,4to Primaria,16
Retalhuleu,Champerico,Hombre,16,5to Diversificado,9
Retalhuleu,Champerico,Hombre,16,5to Primaria,16
Retalhuleu,Champerico,Hombre,16,6to Primaria,62
Retalhuleu,Champerico,Hombre,17,1ero Basico,38
Retalhuleu,Champerico,Hombre,17,1ero Primaria,7
Retalhuleu,Champerico,Hombre,17,2do  Basico,41
Retalhuleu,Champerico,Hombre,17,2do Primaria,11
Retalhuleu,Champerico,Hombre,17,3ero Basico,65
Retalhuleu,Champerico,Hombre,17,3ero Primaria,21
Retalhuleu,Champerico,Hombre,17,4to Diversificado,44
Retalhuleu,Champerico,Hombre,17,4to Primaria,15
Retalhuleu,Champerico,Hombre,17,5to Diversificado,29
Retalhuleu,Champerico,Hombre,17,5to Primaria,18
Retalhuleu,Champerico,Hombre,17,6to Diversificado y 7mo Diversificado,7
Retalhuleu,Champerico,Hombre,17,6to Primaria,88
Retalhuleu,Champerico,Hombre,18,1er Licenciatura,1
Retalhuleu,Champerico,Hombre,18,1ero Basico,27
Retalhuleu,Champerico,Hombre,18,1ero Primaria,4
Retalhuleu,Champerico,Hombre,18,2do  Basico,26
Retalhuleu,Champerico,Hombre,18,2do Primaria,12
Retalhuleu,Champerico,Hombre,18,3ero Basico,54
Retalhuleu,Champerico,Hombre,18,3ero Primaria,18
Retalhuleu,Champerico,Hombre,18,4to Diversificado,24
Retalhuleu,Champerico,Hombre,18,4to Primaria,13
Retalhuleu,Champerico,Hombre,18,5to Diversificado,54
Retalhuleu,Champerico,Hombre,18,5to Primaria,11
Retalhuleu,Champerico,Hombre,18,6to Diversificado y 7mo Diversificado,19
Retalhuleu,Champerico,Hombre,18,6to Primaria,80
Retalhuleu,Champerico,Hombre,19,1er Licenciatura,3
Retalhuleu,Champerico,Hombre,19,1ero Basico,28
Retalhuleu,Champerico,Hombre,19,1ero Primaria,2
Retalhuleu,Champerico,Hombre,19,2do  Basico,24
Retalhuleu,Champerico,Hombre,19,2do Licenciatura,2
Retalhuleu,Champerico,Hombre,19,2do Primaria,18
Retalhuleu,Champerico,Hombre,19,3ero Basico,46
Retalhuleu,Champerico,Hombre,19,3ero Primaria,23
Retalhuleu,Champerico,Hombre,19,4to Diversificado,20
Retalhuleu,Champerico,Hombre,19,4to Primaria,10
Retalhuleu,Champerico,Hombre,19,5to Diversificado,48
Retalhuleu,Champerico,Hombre,19,5to Primaria,15
Retalhuleu,Champerico,Hombre,19,6to Diversificado y 7mo Diversificado,47
Retalhuleu,Champerico,Hombre,19,6to Primaria,59
Retalhuleu,Champerico,Hombre,20,1er Licenciatura,1
Retalhuleu,Champerico,Hombre,20,1ero Basico,16
Retalhuleu,Champerico,Hombre,20,1ero Primaria,5
Retalhuleu,Champerico,Hombre,20,2do  Basico,25
Retalhuleu,Champerico,Hombre,20,2do Primaria,9
Retalhuleu,Champerico,Hombre,20,3ero Basico,55
Retalhuleu,Champerico,Hombre,20,3ero Licenciatura,2
Retalhuleu,Champerico,Hombre,20,3ero Primaria,17
Retalhuleu,Champerico,Hombre,20,4to Diversificado,14
Retalhuleu,Champerico,Hombre,20,4to Primaria,6
Retalhuleu,Champerico,Hombre,20,5to Diversificado,38
Retalhuleu,Champerico,Hombre,20,5to Primaria,8
Retalhuleu,Champerico,Hombre,20,6to Diversificado y 7mo Diversificado,49
Retalhuleu,Champerico,Hombre,20,6to Primaria,57
Retalhuleu,Champerico,Hombre,21,1er Licenciatura,1
Retalhuleu,Champerico,Hombre,21,1ero Basico,12
Retalhuleu,Champerico,Hombre,21,1ero Primaria,2
Retalhuleu,Champerico,Hombre,21,2do  Basico,15
Retalhuleu,Champerico,Hombre,21,2do Licenciatura,3
Retalhuleu,Champerico,Hombre,21,2do Primaria,11
Retalhuleu,Champerico,Hombre,21,3ero Basico,50
Retalhuleu,Champerico,Hombre,21,3ero Licenciatura,1
Retalhuleu,Champerico,Hombre,21,3ero Primaria,10
Retalhuleu,Champerico,Hombre,21,4to Diversificado,5
Retalhuleu,Champerico,Hombre,21,4to Licenciatura,2
Retalhuleu,Champerico,Hombre,21,4to Primaria,7
Retalhuleu,Champerico,Hombre,21,5to Diversificado,27
Retalhuleu,Champerico,Hombre,21,5to Licenciatura y 6to Licenciatura,1
Retalhuleu,Champerico,Hombre,21,5to Primaria,15
Retalhuleu,Champerico,Hombre,21,6to Diversificado y 7mo Diversificado,71
Retalhuleu,Champerico,Hombre,21,6to Primaria,54
Retalhuleu,Champerico,Hombre,22,1ero Basico,18
Retalhuleu,Champerico,Hombre,22,1ero Primaria,5
Retalhuleu,Champerico,Hombre,22,2do  Basico,23
Retalhuleu,Champerico,Hombre,22,2do Licenciatura,3
Retalhuleu,Champerico,Hombre,22,2do Primaria,13
Retalhuleu,Champerico,Hombre,22,3ero Basico,44
Retalhuleu,Champerico,Hombre,22,3ero Licenciatura,4
Retalhuleu,Champerico,Hombre,22,3ero Primaria,21
Retalhuleu,Champerico,Hombre,22,4to Diversificado,6
Retalhuleu,Champerico,Hombre,22,4to Licenciatura,2
Retalhuleu,Champerico,Hombre,22,4to Primaria,11
Retalhuleu,Champerico,Hombre,22,5to Diversificado,29
Retalhuleu,Champerico,Hombre,22,5to Licenciatura y 6to Licenciatura,1
Retalhuleu,Champerico,Hombre,22,5to Primaria,19
Retalhuleu,Champerico,Hombre,22,6to Diversificado y 7mo Diversificado,69
Retalhuleu,Champerico,Hombre,22,6to Primaria,56
Retalhuleu,Champerico,Hombre,23,1er Licenciatura,2
Retalhuleu,Champerico,Hombre,23,1ero Basico,10
Retalhuleu,Champerico,Hombre,23,1ero Primaria,4
Retalhuleu,Champerico,Hombre,23,2do  Basico,14
Retalhuleu,Champerico,Hombre,23,2do Licenciatura,1
Retalhuleu,Champerico,Hombre,23,2do Primaria,18
Retalhuleu,Champerico,Hombre,23,3ero Basico,49
Retalhuleu,Champerico,Hombre,23,3ero Licenciatura,2
Retalhuleu,Champerico,Hombre,23,3ero Primaria,18
Retalhuleu,Champerico,Hombre,23,4to Diversificado,8
Retalhuleu,Champerico,Hombre,23,4to Licenciatura,2
Retalhuleu,Champerico,Hombre,23,4to Primaria,11
Retalhuleu,Champerico,Hombre,23,5to Diversificado,31
Retalhuleu,Champerico,Hombre,23,5to Primaria,8
Retalhuleu,Champerico,Hombre,23,6to Diversificado y 7mo Diversificado,63
Retalhuleu,Champerico,Hombre,23,6to Primaria,68
Retalhuleu,Champerico,Hombre,24,1er Licenciatura,1
Retalhuleu,Champerico,Hombre,24,1ero Basico,6
Retalhuleu,Champerico,Hombre,24,1ero Primaria,5
Retalhuleu,Champerico,Hombre,24,2do  Basico,12
Retalhuleu,Champerico,Hombre,24,2do Licenciatura,4
Retalhuleu,Champerico,Hombre,24,2do Primaria,7
Retalhuleu,Champerico,Hombre,24,3ero Basico,43
Retalhuleu,Champerico,Hombre,24,3ero Licenciatura,1
Retalhuleu,Champerico,Hombre,24,3ero Primaria,21
Retalhuleu,Champerico,Hombre,24,4to Diversificado,2
Retalhuleu,Champerico,Hombre,24,4to Licenciatura,2
Retalhuleu,Champerico,Hombre,24,4to Primaria,14
Retalhuleu,Champerico,Hombre,24,5to Diversificado,26
Retalhuleu,Champerico,Hombre,24,5to Licenciatura y 6to Licenciatura,1
Retalhuleu,Champerico,Hombre,24,5to Primaria,10
Retalhuleu,Champerico,Hombre,24,6to Diversificado y 7mo Diversificado,62
Retalhuleu,Champerico,Hombre,24,6to Primaria,49
Retalhuleu,Champerico,Hombre,25,1er Licenciatura,3
Retalhuleu,Champerico,Hombre,25,1ero Basico,17
Retalhuleu,Champerico,Hombre,25,1ero Primaria,8
Retalhuleu,Champerico,Hombre,25,2do  Basico,12
Retalhuleu,Champerico,Hombre,25,2do  Doctorado,1
Retalhuleu,Champerico,Hombre,25,2do Licenciatura,1
Retalhuleu,Champerico,Hombre,25,2do Maestria,1
