NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,AREA
Suchitepéquez,Chicacao,Hombre,0,446,Rural
Suchitepéquez,Chicacao,Hombre,0,313,Urbano
Suchitepéquez,Chicacao,Hombre,1,428,Rural
Suchitepéquez,Chicacao,Hombre,1,327,Urbano
Suchitepéquez,Chicacao,Hombre,2,453,Rural
Suchitepéquez,Chicacao,Hombre,2,327,Urbano
Suchitepéquez,Chicacao,Hombre,3,485,Rural
Suchitepéquez,Chicacao,Hombre,3,324,Urbano
Suchitepéquez,Chicacao,Hombre,4,456,Rural
Suchitepéquez,Chicacao,Hombre,4,327,Urbano
Suchitepéquez,Chicacao,Hombre,5,487,Rural
Suchitepéquez,Chicacao,Hombre,5,359,Urbano
Suchitepéquez,Chicacao,Hombre,6,479,Rural
Suchitepéquez,Chicacao,Hombre,6,314,Urbano
Suchitepéquez,Chicacao,Hombre,7,505,Rural
Suchitepéquez,Chicacao,Hombre,7,324,Urbano
Suchitepéquez,Chicacao,Hombre,8,427,Rural
Suchitepéquez,Chicacao,Hombre,8,339,Urbano
Suchitepéquez,Chicacao,Hombre,9,450,Rural
Suchitepéquez,Chicacao,Hombre,9,316,Urbano
Suchitepéquez,Chicacao,Hombre,10,468,Rural
Suchitepéquez,Chicacao,Hombre,10,350,Urbano
Suchitepéquez,Chicacao,Hombre,11,447,Rural
Suchitepéquez,Chicacao,Hombre,11,298,Urbano
Suchitepéquez,Chicacao,Hombre,12,458,Rural
Suchitepéquez,Chicacao,Hombre,12,322,Urbano
Suchitepéquez,Chicacao,Hombre,13,449,Rural
Suchitepéquez,Chicacao,Hombre,13,325,Urbano
Suchitepéquez,Chicacao,Hombre,14,458,Rural
Suchitepéquez,Chicacao,Hombre,14,284,Urbano
Suchitepéquez,Chicacao,Hombre,15,439,Rural
Suchitepéquez,Chicacao,Hombre,15,305,Urbano
Suchitepéquez,Chicacao,Hombre,16,428,Rural
Suchitepéquez,Chicacao,Hombre,16,306,Urbano
Suchitepéquez,Chicacao,Hombre,17,476,Rural
Suchitepéquez,Chicacao,Hombre,17,354,Urbano
Suchitepéquez,Chicacao,Hombre,18,434,Rural
Suchitepéquez,Chicacao,Hombre,18,324,Urbano
Suchitepéquez,Chicacao,Hombre,19,368,Rural
Suchitepéquez,Chicacao,Hombre,19,278,Urbano
Suchitepéquez,Chicacao,Hombre,20,368,Rural
Suchitepéquez,Chicacao,Hombre,20,328,Urbano
Suchitepéquez,Chicacao,Hombre,21,312,Rural
Suchitepéquez,Chicacao,Hombre,21,244,Urbano
Suchitepéquez,Chicacao,Hombre,22,392,Rural
Suchitepéquez,Chicacao,Hombre,22,262,Urbano
Suchitepéquez,Chicacao,Hombre,23,359,Rural
Suchitepéquez,Chicacao,Hombre,23,262,Urbano
Suchitepéquez,Chicacao,Hombre,24,271,Rural
Suchitepéquez,Chicacao,Hombre,24,196,Urbano
Suchitepéquez,Chicacao,Hombre,25,271,Rural
Suchitepéquez,Chicacao,Hombre,25,221,Urbano
Suchitepéquez,Chicacao,Hombre,26,216,Rural
Suchitepéquez,Chicacao,Hombre,26,190,Urbano
Suchitepéquez,Chicacao,Hombre,27,223,Rural
Suchitepéquez,Chicacao,Hombre,27,199,Urbano
Suchitepéquez,Chicacao,Hombre,28,235,Rural
Suchitepéquez,Chicacao,Hombre,28,216,Urbano
Suchitepéquez,Chicacao,Hombre,29,209,Rural
Suchitepéquez,Chicacao,Hombre,29,175,Urbano
Suchitepéquez,Chicacao,Hombre,30,216,Rural
Suchitepéquez,Chicacao,Hombre,30,197,Urbano
Suchitepéquez,Chicacao,Hombre,31,151,Rural
Suchitepéquez,Chicacao,Hombre,31,135,Urbano
Suchitepéquez,Chicacao,Hombre,32,195,Rural
Suchitepéquez,Chicacao,Hombre,32,155,Urbano
Suchitepéquez,Chicacao,Hombre,33,207,Rural
Suchitepéquez,Chicacao,Hombre,33,176,Urbano
Suchitepéquez,Chicacao,Hombre,34,182,Rural
Suchitepéquez,Chicacao,Hombre,34,146,Urbano
Suchitepéquez,Chicacao,Hombre,35,178,Rural
Suchitepéquez,Chicacao,Hombre,35,159,Urbano
