NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP12||Autoidentificación
Chiquimula,Camotán,Hombre,0,5,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,0,2,Garífuna
Chiquimula,Camotán,Hombre,0,256,Ladina (o)
Chiquimula,Camotán,Hombre,0,510,Maya
Chiquimula,Camotán,Hombre,1,4,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,1,6,Garífuna
Chiquimula,Camotán,Hombre,1,307,Ladina (o)
Chiquimula,Camotán,Hombre,1,569,Maya
Chiquimula,Camotán,Hombre,2,8,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,2,6,Garífuna
Chiquimula,Camotán,Hombre,2,309,Ladina (o)
Chiquimula,Camotán,Hombre,2,683,Maya
Chiquimula,Camotán,Hombre,3,7,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,3,2,Garífuna
Chiquimula,Camotán,Hombre,3,264,Ladina (o)
Chiquimula,Camotán,Hombre,3,526,Maya
Chiquimula,Camotán,Hombre,4,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,4,1,Garífuna
Chiquimula,Camotán,Hombre,4,288,Ladina (o)
Chiquimula,Camotán,Hombre,4,541,Maya
Chiquimula,Camotán,Hombre,5,3,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,5,6,Garífuna
Chiquimula,Camotán,Hombre,5,297,Ladina (o)
Chiquimula,Camotán,Hombre,5,548,Maya
Chiquimula,Camotán,Hombre,6,7,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,6,2,Extranjera (o)
Chiquimula,Camotán,Hombre,6,3,Garífuna
Chiquimula,Camotán,Hombre,6,252,Ladina (o)
Chiquimula,Camotán,Hombre,6,460,Maya
Chiquimula,Camotán,Hombre,7,4,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,7,4,Garífuna
Chiquimula,Camotán,Hombre,7,268,Ladina (o)
Chiquimula,Camotán,Hombre,7,518,Maya
Chiquimula,Camotán,Hombre,8,4,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,8,2,Garífuna
Chiquimula,Camotán,Hombre,8,272,Ladina (o)
Chiquimula,Camotán,Hombre,8,450,Maya
Chiquimula,Camotán,Hombre,9,5,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,9,2,Garífuna
Chiquimula,Camotán,Hombre,9,283,Ladina (o)
Chiquimula,Camotán,Hombre,9,487,Maya
Chiquimula,Camotán,Hombre,10,4,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,10,1,Extranjera (o)
Chiquimula,Camotán,Hombre,10,4,Garífuna
Chiquimula,Camotán,Hombre,10,268,Ladina (o)
Chiquimula,Camotán,Hombre,10,537,Maya
Chiquimula,Camotán,Hombre,11,4,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,11,268,Ladina (o)
Chiquimula,Camotán,Hombre,11,471,Maya
Chiquimula,Camotán,Hombre,11,1,Xinka
Chiquimula,Camotán,Hombre,12,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,12,1,Garífuna
Chiquimula,Camotán,Hombre,12,263,Ladina (o)
Chiquimula,Camotán,Hombre,12,466,Maya
Chiquimula,Camotán,Hombre,13,3,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,13,3,Garífuna
Chiquimula,Camotán,Hombre,13,262,Ladina (o)
Chiquimula,Camotán,Hombre,13,500,Maya
Chiquimula,Camotán,Hombre,14,4,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,14,6,Garífuna
Chiquimula,Camotán,Hombre,14,253,Ladina (o)
Chiquimula,Camotán,Hombre,14,447,Maya
Chiquimula,Camotán,Hombre,15,5,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,15,3,Garífuna
Chiquimula,Camotán,Hombre,15,282,Ladina (o)
Chiquimula,Camotán,Hombre,15,460,Maya
Chiquimula,Camotán,Hombre,16,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,16,2,Garífuna
Chiquimula,Camotán,Hombre,16,218,Ladina (o)
Chiquimula,Camotán,Hombre,16,462,Maya
Chiquimula,Camotán,Hombre,17,4,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,17,2,Garífuna
Chiquimula,Camotán,Hombre,17,264,Ladina (o)
Chiquimula,Camotán,Hombre,17,452,Maya
Chiquimula,Camotán,Hombre,18,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,18,1,Extranjera (o)
Chiquimula,Camotán,Hombre,18,5,Garífuna
Chiquimula,Camotán,Hombre,18,246,Ladina (o)
Chiquimula,Camotán,Hombre,18,460,Maya
Chiquimula,Camotán,Hombre,19,4,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,19,1,Garífuna
Chiquimula,Camotán,Hombre,19,214,Ladina (o)
Chiquimula,Camotán,Hombre,19,378,Maya
Chiquimula,Camotán,Hombre,20,3,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,20,1,Extranjera (o)
Chiquimula,Camotán,Hombre,20,1,Garífuna
Chiquimula,Camotán,Hombre,20,235,Ladina (o)
Chiquimula,Camotán,Hombre,20,342,Maya
Chiquimula,Camotán,Hombre,21,4,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,21,4,Garífuna
Chiquimula,Camotán,Hombre,21,202,Ladina (o)
Chiquimula,Camotán,Hombre,21,322,Maya
Chiquimula,Camotán,Hombre,22,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,22,1,Garífuna
Chiquimula,Camotán,Hombre,22,180,Ladina (o)
Chiquimula,Camotán,Hombre,22,359,Maya
Chiquimula,Camotán,Hombre,23,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,23,4,Garífuna
Chiquimula,Camotán,Hombre,23,182,Ladina (o)
Chiquimula,Camotán,Hombre,23,344,Maya
Chiquimula,Camotán,Hombre,24,3,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,24,1,Garífuna
Chiquimula,Camotán,Hombre,24,178,Ladina (o)
Chiquimula,Camotán,Hombre,24,294,Maya
Chiquimula,Camotán,Hombre,25,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,25,3,Garífuna
Chiquimula,Camotán,Hombre,25,162,Ladina (o)
Chiquimula,Camotán,Hombre,25,288,Maya
Chiquimula,Camotán,Hombre,26,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,26,2,Garífuna
Chiquimula,Camotán,Hombre,26,135,Ladina (o)
Chiquimula,Camotán,Hombre,26,243,Maya
Chiquimula,Camotán,Hombre,27,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,27,1,Garífuna
Chiquimula,Camotán,Hombre,27,129,Ladina (o)
Chiquimula,Camotán,Hombre,27,238,Maya
Chiquimula,Camotán,Hombre,27,1,Xinka
Chiquimula,Camotán,Hombre,28,3,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,28,1,Garífuna
Chiquimula,Camotán,Hombre,28,144,Ladina (o)
Chiquimula,Camotán,Hombre,28,227,Maya
Chiquimula,Camotán,Hombre,29,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,29,98,Ladina (o)
Chiquimula,Camotán,Hombre,29,227,Maya
Chiquimula,Camotán,Hombre,30,4,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,30,1,Garífuna
Chiquimula,Camotán,Hombre,30,155,Ladina (o)
Chiquimula,Camotán,Hombre,30,224,Maya
Chiquimula,Camotán,Hombre,31,1,Garífuna
Chiquimula,Camotán,Hombre,31,88,Ladina (o)
Chiquimula,Camotán,Hombre,31,171,Maya
Chiquimula,Camotán,Hombre,32,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,32,1,Garífuna
Chiquimula,Camotán,Hombre,32,121,Ladina (o)
Chiquimula,Camotán,Hombre,32,230,Maya
Chiquimula,Camotán,Hombre,33,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,33,1,Extranjera (o)
Chiquimula,Camotán,Hombre,33,110,Ladina (o)
Chiquimula,Camotán,Hombre,33,215,Maya
Chiquimula,Camotán,Hombre,34,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,34,1,Garífuna
Chiquimula,Camotán,Hombre,34,102,Ladina (o)
Chiquimula,Camotán,Hombre,34,168,Maya
Chiquimula,Camotán,Hombre,35,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,35,119,Ladina (o)
Chiquimula,Camotán,Hombre,35,174,Maya
Chiquimula,Camotán,Hombre,36,1,Garífuna
Chiquimula,Camotán,Hombre,36,104,Ladina (o)
Chiquimula,Camotán,Hombre,36,180,Maya
Chiquimula,Camotán,Hombre,37,2,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,37,1,Extranjera (o)
Chiquimula,Camotán,Hombre,37,1,Garífuna
Chiquimula,Camotán,Hombre,37,105,Ladina (o)
Chiquimula,Camotán,Hombre,37,177,Maya
Chiquimula,Camotán,Hombre,38,1,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,38,107,Ladina (o)
Chiquimula,Camotán,Hombre,38,175,Maya
Chiquimula,Camotán,Hombre,39,3,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,39,1,Extranjera (o)
Chiquimula,Camotán,Hombre,39,70,Ladina (o)
Chiquimula,Camotán,Hombre,39,168,Maya
Chiquimula,Camotán,Hombre,40,102,Ladina (o)
Chiquimula,Camotán,Hombre,40,172,Maya
Chiquimula,Camotán,Hombre,40,1,Xinka
Chiquimula,Camotán,Hombre,41,1,Garífuna
Chiquimula,Camotán,Hombre,41,64,Ladina (o)
Chiquimula,Camotán,Hombre,41,139,Maya
Chiquimula,Camotán,Hombre,42,4,Afrodescendiente/Creole/Afromestizo
Chiquimula,Camotán,Hombre,42,1,Garífuna
