NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP16_F||Dificultad para comunicarse
Quiché,Canillá,Hombre,0,143,
Quiché,Canillá,Hombre,1,151,
Quiché,Canillá,Hombre,2,166,
Quiché,Canillá,Hombre,3,164,
Quiché,Canillá,Hombre,4,16,No declarado
Quiché,Canillá,Hombre,4,131,"No, sin dificultad"
Quiché,Canillá,Hombre,5,7,No declarado
Quiché,Canillá,Hombre,5,166,"No, sin dificultad"
Quiché,Canillá,Hombre,5,3,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,6,5,No declarado
Quiché,Canillá,Hombre,6,139,"No, sin dificultad"
Quiché,Canillá,Hombre,7,9,No declarado
Quiché,Canillá,Hombre,7,153,"No, sin dificultad"
Quiché,Canillá,Hombre,8,6,No declarado
Quiché,Canillá,Hombre,8,139,"No, sin dificultad"
Quiché,Canillá,Hombre,9,7,No declarado
Quiché,Canillá,Hombre,9,125,"No, sin dificultad"
Quiché,Canillá,Hombre,10,6,No declarado
Quiché,Canillá,Hombre,10,152,"No, sin dificultad"
Quiché,Canillá,Hombre,10,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,10,1,"Sí, con mucha dificultad"
Quiché,Canillá,Hombre,11,2,No declarado
Quiché,Canillá,Hombre,11,1,No puede
Quiché,Canillá,Hombre,11,116,"No, sin dificultad"
Quiché,Canillá,Hombre,12,5,No declarado
Quiché,Canillá,Hombre,12,131,"No, sin dificultad"
Quiché,Canillá,Hombre,13,5,No declarado
Quiché,Canillá,Hombre,13,143,"No, sin dificultad"
Quiché,Canillá,Hombre,13,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,14,5,No declarado
Quiché,Canillá,Hombre,14,125,"No, sin dificultad"
Quiché,Canillá,Hombre,14,2,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,15,4,No declarado
Quiché,Canillá,Hombre,15,126,"No, sin dificultad"
Quiché,Canillá,Hombre,15,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,16,3,No declarado
Quiché,Canillá,Hombre,16,127,"No, sin dificultad"
Quiché,Canillá,Hombre,17,4,No declarado
Quiché,Canillá,Hombre,17,109,"No, sin dificultad"
Quiché,Canillá,Hombre,17,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,17,1,"Sí, con mucha dificultad"
Quiché,Canillá,Hombre,18,4,No declarado
Quiché,Canillá,Hombre,18,123,"No, sin dificultad"
Quiché,Canillá,Hombre,18,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,18,1,"Sí, con mucha dificultad"
Quiché,Canillá,Hombre,19,8,No declarado
Quiché,Canillá,Hombre,19,98,"No, sin dificultad"
Quiché,Canillá,Hombre,20,2,No declarado
Quiché,Canillá,Hombre,20,1,No puede
Quiché,Canillá,Hombre,20,87,"No, sin dificultad"
Quiché,Canillá,Hombre,20,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,21,2,No declarado
Quiché,Canillá,Hombre,21,105,"No, sin dificultad"
Quiché,Canillá,Hombre,21,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,22,6,No declarado
Quiché,Canillá,Hombre,22,107,"No, sin dificultad"
Quiché,Canillá,Hombre,22,3,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,23,2,No declarado
Quiché,Canillá,Hombre,23,108,"No, sin dificultad"
Quiché,Canillá,Hombre,24,1,No declarado
Quiché,Canillá,Hombre,24,101,"No, sin dificultad"
Quiché,Canillá,Hombre,24,2,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,25,2,No declarado
Quiché,Canillá,Hombre,25,1,No puede
Quiché,Canillá,Hombre,25,106,"No, sin dificultad"
Quiché,Canillá,Hombre,25,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,25,1,"Sí, con mucha dificultad"
Quiché,Canillá,Hombre,26,2,No declarado
Quiché,Canillá,Hombre,26,85,"No, sin dificultad"
Quiché,Canillá,Hombre,26,1,"Sí, con mucha dificultad"
Quiché,Canillá,Hombre,27,1,No declarado
Quiché,Canillá,Hombre,27,74,"No, sin dificultad"
Quiché,Canillá,Hombre,27,2,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,28,3,No declarado
Quiché,Canillá,Hombre,28,77,"No, sin dificultad"
Quiché,Canillá,Hombre,29,1,No declarado
Quiché,Canillá,Hombre,29,60,"No, sin dificultad"
Quiché,Canillá,Hombre,30,1,No declarado
Quiché,Canillá,Hombre,30,1,No puede
Quiché,Canillá,Hombre,30,87,"No, sin dificultad"
Quiché,Canillá,Hombre,30,1,"Sí, con mucha dificultad"
Quiché,Canillá,Hombre,31,3,No declarado
Quiché,Canillá,Hombre,31,1,No puede
Quiché,Canillá,Hombre,31,55,"No, sin dificultad"
Quiché,Canillá,Hombre,31,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,31,1,"Sí, con mucha dificultad"
Quiché,Canillá,Hombre,32,3,No declarado
Quiché,Canillá,Hombre,32,1,No puede
Quiché,Canillá,Hombre,32,57,"No, sin dificultad"
Quiché,Canillá,Hombre,32,1,"Sí, con mucha dificultad"
Quiché,Canillá,Hombre,33,3,No declarado
Quiché,Canillá,Hombre,33,42,"No, sin dificultad"
Quiché,Canillá,Hombre,34,52,"No, sin dificultad"
Quiché,Canillá,Hombre,35,1,No declarado
Quiché,Canillá,Hombre,35,1,No puede
Quiché,Canillá,Hombre,35,53,"No, sin dificultad"
Quiché,Canillá,Hombre,36,55,"No, sin dificultad"
Quiché,Canillá,Hombre,36,1,"Sí, con mucha dificultad"
Quiché,Canillá,Hombre,37,1,No declarado
Quiché,Canillá,Hombre,37,48,"No, sin dificultad"
Quiché,Canillá,Hombre,38,2,No declarado
