NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP16_F||Dificultad para comunicarse
Chiquimula,Camotán,Hombre,0,773,
Chiquimula,Camotán,Hombre,1,886,
Chiquimula,Camotán,Hombre,2,1006,
Chiquimula,Camotán,Hombre,3,799,
Chiquimula,Camotán,Hombre,4,33,No declarado
Chiquimula,Camotán,Hombre,4,1,No puede
Chiquimula,Camotán,Hombre,4,790,"No, sin dificultad"
Chiquimula,Camotán,Hombre,4,7,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,4,1,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,5,15,No declarado
Chiquimula,Camotán,Hombre,5,2,No puede
Chiquimula,Camotán,Hombre,5,829,"No, sin dificultad"
Chiquimula,Camotán,Hombre,5,5,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,5,3,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,6,15,No declarado
Chiquimula,Camotán,Hombre,6,1,No puede
Chiquimula,Camotán,Hombre,6,704,"No, sin dificultad"
Chiquimula,Camotán,Hombre,6,2,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,6,2,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,7,12,No declarado
Chiquimula,Camotán,Hombre,7,3,No puede
Chiquimula,Camotán,Hombre,7,769,"No, sin dificultad"
Chiquimula,Camotán,Hombre,7,8,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,7,2,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,8,9,No declarado
Chiquimula,Camotán,Hombre,8,711,"No, sin dificultad"
Chiquimula,Camotán,Hombre,8,3,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,8,5,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,9,15,No declarado
Chiquimula,Camotán,Hombre,9,2,No puede
Chiquimula,Camotán,Hombre,9,755,"No, sin dificultad"
Chiquimula,Camotán,Hombre,9,2,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,9,3,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,10,13,No declarado
Chiquimula,Camotán,Hombre,10,791,"No, sin dificultad"
Chiquimula,Camotán,Hombre,10,5,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,10,5,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,11,6,No declarado
Chiquimula,Camotán,Hombre,11,1,No puede
Chiquimula,Camotán,Hombre,11,728,"No, sin dificultad"
Chiquimula,Camotán,Hombre,11,3,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,11,6,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,12,12,No declarado
Chiquimula,Camotán,Hombre,12,4,No puede
Chiquimula,Camotán,Hombre,12,700,"No, sin dificultad"
Chiquimula,Camotán,Hombre,12,9,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,12,7,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,13,6,No declarado
Chiquimula,Camotán,Hombre,13,4,No puede
Chiquimula,Camotán,Hombre,13,755,"No, sin dificultad"
Chiquimula,Camotán,Hombre,13,2,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,13,1,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,14,9,No declarado
Chiquimula,Camotán,Hombre,14,692,"No, sin dificultad"
Chiquimula,Camotán,Hombre,14,4,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,14,5,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,15,11,No declarado
Chiquimula,Camotán,Hombre,15,3,No puede
Chiquimula,Camotán,Hombre,15,731,"No, sin dificultad"
Chiquimula,Camotán,Hombre,15,2,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,15,3,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,16,10,No declarado
Chiquimula,Camotán,Hombre,16,4,No puede
Chiquimula,Camotán,Hombre,16,662,"No, sin dificultad"
Chiquimula,Camotán,Hombre,16,2,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,16,5,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,17,6,No declarado
Chiquimula,Camotán,Hombre,17,4,No puede
Chiquimula,Camotán,Hombre,17,705,"No, sin dificultad"
Chiquimula,Camotán,Hombre,17,1,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,17,6,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,18,8,No declarado
Chiquimula,Camotán,Hombre,18,1,No puede
Chiquimula,Camotán,Hombre,18,700,"No, sin dificultad"
Chiquimula,Camotán,Hombre,18,3,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,18,1,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,19,6,No declarado
Chiquimula,Camotán,Hombre,19,583,"No, sin dificultad"
Chiquimula,Camotán,Hombre,19,4,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,19,4,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,20,6,No declarado
Chiquimula,Camotán,Hombre,20,3,No puede
Chiquimula,Camotán,Hombre,20,569,"No, sin dificultad"
Chiquimula,Camotán,Hombre,20,3,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,20,1,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,21,11,No declarado
Chiquimula,Camotán,Hombre,21,3,No puede
Chiquimula,Camotán,Hombre,21,514,"No, sin dificultad"
Chiquimula,Camotán,Hombre,21,2,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,21,2,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,22,9,No declarado
Chiquimula,Camotán,Hombre,22,2,No puede
Chiquimula,Camotán,Hombre,22,527,"No, sin dificultad"
Chiquimula,Camotán,Hombre,22,1,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,22,3,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,23,7,No declarado
Chiquimula,Camotán,Hombre,23,1,No puede
Chiquimula,Camotán,Hombre,23,516,"No, sin dificultad"
Chiquimula,Camotán,Hombre,23,5,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,23,3,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,24,3,No declarado
Chiquimula,Camotán,Hombre,24,2,No puede
Chiquimula,Camotán,Hombre,24,461,"No, sin dificultad"
Chiquimula,Camotán,Hombre,24,6,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,24,4,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,25,5,No declarado
Chiquimula,Camotán,Hombre,25,1,No puede
Chiquimula,Camotán,Hombre,25,444,"No, sin dificultad"
Chiquimula,Camotán,Hombre,25,1,"Sí, con algo de dificultad"
Chiquimula,Camotán,Hombre,25,4,"Sí, con mucha dificultad"
Chiquimula,Camotán,Hombre,26,5,No declarado
Chiquimula,Camotán,Hombre,26,1,No puede
Chiquimula,Camotán,Hombre,26,373,"No, sin dificultad"
