NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,PCH9_I||Tiene Servicio de Internet,Recuento de PCH9_I
Chiquimula,Camotán,Hombre,0,No,10480
Chiquimula,Camotán,Hombre,0,Sí,283
Chiquimula,Camotán,Hombre,1,No,10480
Chiquimula,Camotán,Hombre,1,Sí,283
Chiquimula,Camotán,Hombre,2,No,10480
Chiquimula,Camotán,Hombre,2,Sí,283
Chiquimula,Camotán,Hombre,3,No,10480
Chiquimula,Camotán,Hombre,3,Sí,283
Chiquimula,Camotán,Hombre,4,No,10480
Chiquimula,Camotán,Hombre,4,Sí,283
Chiquimula,Camotán,Hombre,5,No,10480
Chiquimula,Camotán,Hombre,5,Sí,283
Chiquimula,Camotán,Hombre,6,No,10480
Chiquimula,Camotán,Hombre,6,Sí,283
Chiquimula,Camotán,Hombre,7,No,10480
Chiquimula,Camotán,Hombre,7,Sí,283
Chiquimula,Camotán,Hombre,8,No,10480
Chiquimula,Camotán,Hombre,8,Sí,283
Chiquimula,Camotán,Hombre,9,No,10480
Chiquimula,Camotán,Hombre,9,Sí,283
Chiquimula,Camotán,Hombre,10,No,10480
Chiquimula,Camotán,Hombre,10,Sí,283
Chiquimula,Camotán,Hombre,11,No,10480
Chiquimula,Camotán,Hombre,11,Sí,283
Chiquimula,Camotán,Hombre,12,No,10480
Chiquimula,Camotán,Hombre,12,Sí,283
Chiquimula,Camotán,Hombre,13,No,10480
Chiquimula,Camotán,Hombre,13,Sí,283
Chiquimula,Camotán,Hombre,14,No,10480
Chiquimula,Camotán,Hombre,14,Sí,283
Chiquimula,Camotán,Hombre,15,No,10480
Chiquimula,Camotán,Hombre,15,Sí,283
Chiquimula,Camotán,Hombre,16,No,10480
Chiquimula,Camotán,Hombre,16,Sí,283
Chiquimula,Camotán,Hombre,17,No,10480
Chiquimula,Camotán,Hombre,17,Sí,283
Chiquimula,Camotán,Hombre,18,No,10480
Chiquimula,Camotán,Hombre,18,Sí,283
Chiquimula,Camotán,Hombre,19,No,10480
Chiquimula,Camotán,Hombre,19,Sí,283
Chiquimula,Camotán,Hombre,20,No,10480
Chiquimula,Camotán,Hombre,20,Sí,283
Chiquimula,Camotán,Hombre,21,No,10480
Chiquimula,Camotán,Hombre,21,Sí,283
Chiquimula,Camotán,Hombre,22,No,10480
Chiquimula,Camotán,Hombre,22,Sí,283
Chiquimula,Camotán,Hombre,23,No,10480
Chiquimula,Camotán,Hombre,23,Sí,283
Chiquimula,Camotán,Hombre,24,No,10480
Chiquimula,Camotán,Hombre,24,Sí,283
Chiquimula,Camotán,Hombre,25,No,10480
Chiquimula,Camotán,Hombre,25,Sí,283
Chiquimula,Camotán,Hombre,26,No,10480
Chiquimula,Camotán,Hombre,26,Sí,283
Chiquimula,Camotán,Hombre,27,No,10480
Chiquimula,Camotán,Hombre,27,Sí,283
Chiquimula,Camotán,Hombre,28,No,10480
Chiquimula,Camotán,Hombre,28,Sí,283
Chiquimula,Camotán,Hombre,29,No,10480
Chiquimula,Camotán,Hombre,29,Sí,283
Chiquimula,Camotán,Hombre,30,No,10480
Chiquimula,Camotán,Hombre,30,Sí,283
Chiquimula,Camotán,Hombre,31,No,10480
Chiquimula,Camotán,Hombre,31,Sí,283
Chiquimula,Camotán,Hombre,32,No,10480
Chiquimula,Camotán,Hombre,32,Sí,283
Chiquimula,Camotán,Hombre,33,No,10480
Chiquimula,Camotán,Hombre,33,Sí,283
Chiquimula,Camotán,Hombre,34,No,10480
Chiquimula,Camotán,Hombre,34,Sí,283
Chiquimula,Camotán,Hombre,35,No,10480
Chiquimula,Camotán,Hombre,35,Sí,283
Chiquimula,Camotán,Hombre,36,No,10480
Chiquimula,Camotán,Hombre,36,Sí,283
Chiquimula,Camotán,Hombre,37,No,10480
Chiquimula,Camotán,Hombre,37,Sí,283
Chiquimula,Camotán,Hombre,38,No,10480
Chiquimula,Camotán,Hombre,38,Sí,283
Chiquimula,Camotán,Hombre,39,No,10480
Chiquimula,Camotán,Hombre,39,Sí,283
