NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,AREA
Guatemala,Amatitlán,Hombre,0,216,Rural
Guatemala,Amatitlán,Hombre,0,810,Urbano
Guatemala,Amatitlán,Hombre,1,192,Rural
Guatemala,Amatitlán,Hombre,1,918,Urbano
Guatemala,Amatitlán,Hombre,2,198,Rural
Guatemala,Amatitlán,Hombre,2,988,Urbano
Guatemala,Amatitlán,Hombre,3,230,Rural
Guatemala,Amatitlán,Hombre,3,927,Urbano
Guatemala,Amatitlán,Hombre,4,234,Rural
Guatemala,Amatitlán,Hombre,4,980,Urbano
Guatemala,Amatitlán,Hombre,5,204,Rural
Guatemala,Amatitlán,Hombre,5,903,Urbano
Guatemala,Amatitlán,Hombre,6,233,Rural
Guatemala,Amatitlán,Hombre,6,959,Urbano
Guatemala,Amatitlán,Hombre,7,211,Rural
Guatemala,Amatitlán,Hombre,7,916,Urbano
Guatemala,Amatitlán,Hombre,8,202,Rural
Guatemala,Amatitlán,Hombre,8,927,Urbano
Guatemala,Amatitlán,Hombre,9,207,Rural
Guatemala,Amatitlán,Hombre,9,925,Urbano
Guatemala,Amatitlán,Hombre,10,224,Rural
Guatemala,Amatitlán,Hombre,10,945,Urbano
Guatemala,Amatitlán,Hombre,11,201,Rural
Guatemala,Amatitlán,Hombre,11,901,Urbano
Guatemala,Amatitlán,Hombre,12,206,Rural
Guatemala,Amatitlán,Hombre,12,960,Urbano
Guatemala,Amatitlán,Hombre,13,182,Rural
Guatemala,Amatitlán,Hombre,13,973,Urbano
Guatemala,Amatitlán,Hombre,14,216,Rural
Guatemala,Amatitlán,Hombre,14,1000,Urbano
Guatemala,Amatitlán,Hombre,15,203,Rural
Guatemala,Amatitlán,Hombre,15,953,Urbano
Guatemala,Amatitlán,Hombre,16,189,Rural
Guatemala,Amatitlán,Hombre,16,929,Urbano
Guatemala,Amatitlán,Hombre,17,233,Rural
