NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP16_C||Dificulta caminar o subir escaleras
San Marcos,Ayutla,Hombre,0,435,
San Marcos,Ayutla,Hombre,1,453,
San Marcos,Ayutla,Hombre,2,434,
San Marcos,Ayutla,Hombre,3,476,
San Marcos,Ayutla,Hombre,4,35,No declarado
San Marcos,Ayutla,Hombre,4,348,"No, sin dificultad"
San Marcos,Ayutla,Hombre,4,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,5,11,No declarado
San Marcos,Ayutla,Hombre,5,1,No puede
San Marcos,Ayutla,Hombre,5,438,"No, sin dificultad"
San Marcos,Ayutla,Hombre,5,2,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,6,12,No declarado
San Marcos,Ayutla,Hombre,6,471,"No, sin dificultad"
San Marcos,Ayutla,Hombre,7,9,No declarado
San Marcos,Ayutla,Hombre,7,440,"No, sin dificultad"
San Marcos,Ayutla,Hombre,7,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,8,7,No declarado
San Marcos,Ayutla,Hombre,8,3,No puede
San Marcos,Ayutla,Hombre,8,430,"No, sin dificultad"
San Marcos,Ayutla,Hombre,9,4,No declarado
San Marcos,Ayutla,Hombre,9,2,No puede
San Marcos,Ayutla,Hombre,9,380,"No, sin dificultad"
San Marcos,Ayutla,Hombre,9,2,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,10,2,No declarado
San Marcos,Ayutla,Hombre,10,386,"No, sin dificultad"
San Marcos,Ayutla,Hombre,10,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,10,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,11,4,No declarado
San Marcos,Ayutla,Hombre,11,2,No puede
San Marcos,Ayutla,Hombre,11,344,"No, sin dificultad"
San Marcos,Ayutla,Hombre,11,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,12,4,No declarado
San Marcos,Ayutla,Hombre,12,2,No puede
San Marcos,Ayutla,Hombre,12,387,"No, sin dificultad"
San Marcos,Ayutla,Hombre,13,3,No declarado
San Marcos,Ayutla,Hombre,13,355,"No, sin dificultad"
San Marcos,Ayutla,Hombre,13,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,14,4,No declarado
San Marcos,Ayutla,Hombre,14,377,"No, sin dificultad"
San Marcos,Ayutla,Hombre,15,3,No declarado
San Marcos,Ayutla,Hombre,15,1,No puede
San Marcos,Ayutla,Hombre,15,374,"No, sin dificultad"
San Marcos,Ayutla,Hombre,15,2,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,16,1,No declarado
San Marcos,Ayutla,Hombre,16,397,"No, sin dificultad"
San Marcos,Ayutla,Hombre,16,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,17,6,No declarado
San Marcos,Ayutla,Hombre,17,448,"No, sin dificultad"
San Marcos,Ayutla,Hombre,17,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,17,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,18,6,No declarado
San Marcos,Ayutla,Hombre,18,472,"No, sin dificultad"
San Marcos,Ayutla,Hombre,18,3,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,19,4,No declarado
San Marcos,Ayutla,Hombre,19,2,No puede
San Marcos,Ayutla,Hombre,19,341,"No, sin dificultad"
San Marcos,Ayutla,Hombre,19,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,19,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,20,3,No declarado
San Marcos,Ayutla,Hombre,20,372,"No, sin dificultad"
San Marcos,Ayutla,Hombre,20,2,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,20,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,21,6,No declarado
