NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP16_B||Dificultad Oído
San Marcos,Ayutla,Hombre,0,435,
San Marcos,Ayutla,Hombre,1,453,
San Marcos,Ayutla,Hombre,2,434,
San Marcos,Ayutla,Hombre,3,476,
San Marcos,Ayutla,Hombre,4,34,No declarado
San Marcos,Ayutla,Hombre,4,350,"No, sin dificultad"
San Marcos,Ayutla,Hombre,5,10,No declarado
San Marcos,Ayutla,Hombre,5,442,"No, sin dificultad"
San Marcos,Ayutla,Hombre,6,10,No declarado
San Marcos,Ayutla,Hombre,6,471,"No, sin dificultad"
San Marcos,Ayutla,Hombre,6,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,6,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,7,8,No declarado
San Marcos,Ayutla,Hombre,7,441,"No, sin dificultad"
San Marcos,Ayutla,Hombre,7,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,8,8,No declarado
San Marcos,Ayutla,Hombre,8,427,"No, sin dificultad"
San Marcos,Ayutla,Hombre,8,5,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,9,4,No declarado
San Marcos,Ayutla,Hombre,9,383,"No, sin dificultad"
San Marcos,Ayutla,Hombre,9,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,10,1,No declarado
San Marcos,Ayutla,Hombre,10,1,No puede
San Marcos,Ayutla,Hombre,10,385,"No, sin dificultad"
San Marcos,Ayutla,Hombre,10,3,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,11,4,No declarado
San Marcos,Ayutla,Hombre,11,1,No puede
San Marcos,Ayutla,Hombre,11,344,"No, sin dificultad"
San Marcos,Ayutla,Hombre,11,2,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,12,5,No declarado
San Marcos,Ayutla,Hombre,12,1,No puede
San Marcos,Ayutla,Hombre,12,383,"No, sin dificultad"
San Marcos,Ayutla,Hombre,12,2,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,12,2,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,13,2,No declarado
San Marcos,Ayutla,Hombre,13,1,No puede
San Marcos,Ayutla,Hombre,13,355,"No, sin dificultad"
San Marcos,Ayutla,Hombre,13,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,14,3,No declarado
San Marcos,Ayutla,Hombre,14,376,"No, sin dificultad"
San Marcos,Ayutla,Hombre,14,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,14,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,15,3,No declarado
San Marcos,Ayutla,Hombre,15,1,No puede
San Marcos,Ayutla,Hombre,15,374,"No, sin dificultad"
San Marcos,Ayutla,Hombre,15,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,15,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,16,1,No declarado
San Marcos,Ayutla,Hombre,16,396,"No, sin dificultad"
San Marcos,Ayutla,Hombre,16,2,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,17,5,No declarado
San Marcos,Ayutla,Hombre,17,449,"No, sin dificultad"
San Marcos,Ayutla,Hombre,17,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,17,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,18,6,No declarado
San Marcos,Ayutla,Hombre,18,1,No puede
San Marcos,Ayutla,Hombre,18,472,"No, sin dificultad"
San Marcos,Ayutla,Hombre,18,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,18,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,19,5,No declarado
San Marcos,Ayutla,Hombre,19,1,No puede
San Marcos,Ayutla,Hombre,19,338,"No, sin dificultad"
