NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PDESOC||Personas Desocupadas
Sololá,Concepción,Hombre,0,68,
Sololá,Concepción,Hombre,1,89,
Sololá,Concepción,Hombre,2,68,
Sololá,Concepción,Hombre,3,59,
Sololá,Concepción,Hombre,4,103,
Sololá,Concepción,Hombre,5,86,
Sololá,Concepción,Hombre,6,102,
Sololá,Concepción,Hombre,7,93,
Sololá,Concepción,Hombre,8,100,
Sololá,Concepción,Hombre,9,98,
Sololá,Concepción,Hombre,10,126,
Sololá,Concepción,Hombre,11,83,
Sololá,Concepción,Hombre,12,111,
Sololá,Concepción,Hombre,13,81,
Sololá,Concepción,Hombre,13,6,Cesante
Sololá,Concepción,Hombre,14,76,
Sololá,Concepción,Hombre,14,11,Cesante
Sololá,Concepción,Hombre,15,64,
Sololá,Concepción,Hombre,15,10,Cesante
Sololá,Concepción,Hombre,16,74,
Sololá,Concepción,Hombre,16,6,Cesante
Sololá,Concepción,Hombre,17,66,
Sololá,Concepción,Hombre,17,1,Aspirante
Sololá,Concepción,Hombre,17,5,Cesante
Sololá,Concepción,Hombre,18,79,
Sololá,Concepción,Hombre,18,1,Aspirante
Sololá,Concepción,Hombre,18,4,Cesante
Sololá,Concepción,Hombre,19,54,
Sololá,Concepción,Hombre,19,1,Aspirante
Sololá,Concepción,Hombre,19,11,Cesante
Sololá,Concepción,Hombre,20,70,
Sololá,Concepción,Hombre,20,1,Aspirante
Sololá,Concepción,Hombre,20,2,Cesante
Sololá,Concepción,Hombre,21,46,
Sololá,Concepción,Hombre,21,2,Aspirante
Sololá,Concepción,Hombre,21,3,Cesante
Sololá,Concepción,Hombre,22,54,
Sololá,Concepción,Hombre,22,2,Cesante
Sololá,Concepción,Hombre,23,59,
Sololá,Concepción,Hombre,23,1,Aspirante
Sololá,Concepción,Hombre,23,2,Cesante
Sololá,Concepción,Hombre,24,53,
Sololá,Concepción,Hombre,24,2,Cesante
Sololá,Concepción,Hombre,25,59,
Sololá,Concepción,Hombre,25,1,Cesante
Sololá,Concepción,Hombre,26,63,
Sololá,Concepción,Hombre,27,29,
Sololá,Concepción,Hombre,27,1,Cesante
Sololá,Concepción,Hombre,28,56,
Sololá,Concepción,Hombre,29,35,
Sololá,Concepción,Hombre,29,1,Cesante
Sololá,Concepción,Hombre,30,79,
Sololá,Concepción,Hombre,31,36,
Sololá,Concepción,Hombre,31,1,Cesante
Sololá,Concepción,Hombre,32,39,
Sololá,Concepción,Hombre,32,1,Cesante
Sololá,Concepción,Hombre,33,45,
Sololá,Concepción,Hombre,34,30,
Sololá,Concepción,Hombre,35,32,
Sololá,Concepción,Hombre,36,23,
Sololá,Concepción,Hombre,37,32,
Sololá,Concepción,Hombre,38,33,
Sololá,Concepción,Hombre,39,26,
Sololá,Concepción,Hombre,40,34,
Sololá,Concepción,Hombre,41,21,
Sololá,Concepción,Hombre,42,33,
Sololá,Concepción,Hombre,43,20,
Sololá,Concepción,Hombre,44,17,
Sololá,Concepción,Hombre,45,22,
Sololá,Concepción,Hombre,46,17,
Sololá,Concepción,Hombre,47,15,
Sololá,Concepción,Hombre,48,23,
Sololá,Concepción,Hombre,49,22,
Sololá,Concepción,Hombre,50,36,
Sololá,Concepción,Hombre,51,6,
Sololá,Concepción,Hombre,52,16,
Sololá,Concepción,Hombre,53,14,
Sololá,Concepción,Hombre,54,11,
Sololá,Concepción,Hombre,55,14,
Sololá,Concepción,Hombre,56,10,
Sololá,Concepción,Hombre,57,9,
Sololá,Concepción,Hombre,58,11,
Sololá,Concepción,Hombre,59,6,
