NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP16_C||Dificulta caminar o subir escaleras
Zacapa,Cabañas,Hombre,0,135,
Zacapa,Cabañas,Hombre,1,142,
Zacapa,Cabañas,Hombre,2,131,
Zacapa,Cabañas,Hombre,3,154,
Zacapa,Cabañas,Hombre,4,18,No declarado
Zacapa,Cabañas,Hombre,4,138,"No, sin dificultad"
Zacapa,Cabañas,Hombre,4,1,"Sí, con algo de dificultad"
Zacapa,Cabañas,Hombre,5,4,No declarado
Zacapa,Cabañas,Hombre,5,169,"No, sin dificultad"
Zacapa,Cabañas,Hombre,5,2,"Sí, con mucha dificultad"
Zacapa,Cabañas,Hombre,6,1,No declarado
Zacapa,Cabañas,Hombre,6,1,No puede
Zacapa,Cabañas,Hombre,6,173,"No, sin dificultad"
Zacapa,Cabañas,Hombre,7,132,"No, sin dificultad"
Zacapa,Cabañas,Hombre,8,2,No declarado
Zacapa,Cabañas,Hombre,8,156,"No, sin dificultad"
Zacapa,Cabañas,Hombre,8,1,"Sí, con algo de dificultad"
Zacapa,Cabañas,Hombre,8,1,"Sí, con mucha dificultad"
Zacapa,Cabañas,Hombre,9,1,No declarado
Zacapa,Cabañas,Hombre,9,143,"No, sin dificultad"
Zacapa,Cabañas,Hombre,10,1,No puede
Zacapa,Cabañas,Hombre,10,134,"No, sin dificultad"
Zacapa,Cabañas,Hombre,11,145,"No, sin dificultad"
Zacapa,Cabañas,Hombre,11,1,"Sí, con algo de dificultad"
Zacapa,Cabañas,Hombre,11,1,"Sí, con mucha dificultad"
Zacapa,Cabañas,Hombre,12,1,No declarado
Zacapa,Cabañas,Hombre,12,1,No puede
Zacapa,Cabañas,Hombre,12,140,"No, sin dificultad"
Zacapa,Cabañas,Hombre,12,1,"Sí, con algo de dificultad"
Zacapa,Cabañas,Hombre,13,2,No declarado
Zacapa,Cabañas,Hombre,13,137,"No, sin dificultad"
Zacapa,Cabañas,Hombre,14,154,"No, sin dificultad"
