NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP17_A||Nivel Estudio Aprobado
Guatemala,Amatitlán,Hombre,0,1026,
Guatemala,Amatitlán,Hombre,1,1110,
Guatemala,Amatitlán,Hombre,2,1186,
Guatemala,Amatitlán,Hombre,3,1157,
Guatemala,Amatitlán,Hombre,4,1103,Ninguno
Guatemala,Amatitlán,Hombre,4,111,Preprimaria
Guatemala,Amatitlán,Hombre,5,798,Ninguno
Guatemala,Amatitlán,Hombre,5,309,Preprimaria
Guatemala,Amatitlán,Hombre,6,529,Ninguno
Guatemala,Amatitlán,Hombre,6,643,Preprimaria
Guatemala,Amatitlán,Hombre,6,20,Primaria
Guatemala,Amatitlán,Hombre,7,129,Ninguno
Guatemala,Amatitlán,Hombre,7,679,Preprimaria
Guatemala,Amatitlán,Hombre,7,319,Primaria
Guatemala,Amatitlán,Hombre,8,38,Ninguno
Guatemala,Amatitlán,Hombre,8,179,Preprimaria
Guatemala,Amatitlán,Hombre,8,912,Primaria
Guatemala,Amatitlán,Hombre,9,28,Ninguno
Guatemala,Amatitlán,Hombre,9,42,Preprimaria
Guatemala,Amatitlán,Hombre,9,1062,Primaria
Guatemala,Amatitlán,Hombre,10,21,Ninguno
Guatemala,Amatitlán,Hombre,10,24,Preprimaria
Guatemala,Amatitlán,Hombre,10,1124,Primaria
Guatemala,Amatitlán,Hombre,11,15,Ninguno
Guatemala,Amatitlán,Hombre,11,11,Preprimaria
Guatemala,Amatitlán,Hombre,11,1076,Primaria
Guatemala,Amatitlán,Hombre,12,19,Ninguno
Guatemala,Amatitlán,Hombre,12,37,Nivel medio (básico y diversificado)
Guatemala,Amatitlán,Hombre,12,5,Preprimaria
Guatemala,Amatitlán,Hombre,12,1105,Primaria
Guatemala,Amatitlán,Hombre,13,13,Ninguno
Guatemala,Amatitlán,Hombre,13,253,Nivel medio (básico y diversificado)
Guatemala,Amatitlán,Hombre,13,4,Preprimaria
Guatemala,Amatitlán,Hombre,13,885,Primaria
Guatemala,Amatitlán,Hombre,14,26,Ninguno
Guatemala,Amatitlán,Hombre,14,672,Nivel medio (básico y diversificado)
Guatemala,Amatitlán,Hombre,14,4,Preprimaria
Guatemala,Amatitlán,Hombre,14,514,Primaria
Guatemala,Amatitlán,Hombre,15,15,Ninguno
Guatemala,Amatitlán,Hombre,15,803,Nivel medio (básico y diversificado)
Guatemala,Amatitlán,Hombre,15,4,Preprimaria
Guatemala,Amatitlán,Hombre,15,334,Primaria
Guatemala,Amatitlán,Hombre,16,13,Ninguno
Guatemala,Amatitlán,Hombre,16,863,Nivel medio (básico y diversificado)
Guatemala,Amatitlán,Hombre,16,1,Preprimaria
Guatemala,Amatitlán,Hombre,16,241,Primaria
Guatemala,Amatitlán,Hombre,17,5,Licenciatura
Guatemala,Amatitlán,Hombre,17,19,Ninguno
Guatemala,Amatitlán,Hombre,17,1015,Nivel medio (básico y diversificado)
Guatemala,Amatitlán,Hombre,17,6,Preprimaria
Guatemala,Amatitlán,Hombre,17,257,Primaria
Guatemala,Amatitlán,Hombre,18,24,Licenciatura
Guatemala,Amatitlán,Hombre,18,30,Ninguno
Guatemala,Amatitlán,Hombre,18,1077,Nivel medio (básico y diversificado)
Guatemala,Amatitlán,Hombre,18,4,Preprimaria
Guatemala,Amatitlán,Hombre,18,235,Primaria
Guatemala,Amatitlán,Hombre,19,68,Licenciatura
Guatemala,Amatitlán,Hombre,19,20,Ninguno
Guatemala,Amatitlán,Hombre,19,940,Nivel medio (básico y diversificado)
Guatemala,Amatitlán,Hombre,19,3,Preprimaria
Guatemala,Amatitlán,Hombre,19,196,Primaria
Guatemala,Amatitlán,Hombre,20,97,Licenciatura
Guatemala,Amatitlán,Hombre,20,24,Ninguno
Guatemala,Amatitlán,Hombre,20,875,Nivel medio (básico y diversificado)
Guatemala,Amatitlán,Hombre,20,3,Preprimaria
