NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP16_F||Dificultad para comunicarse
Alta Verapaz,Chahal,Hombre,0,344,
Alta Verapaz,Chahal,Hombre,1,364,
Alta Verapaz,Chahal,Hombre,2,337,
Alta Verapaz,Chahal,Hombre,3,422,
Alta Verapaz,Chahal,Hombre,4,24,No declarado
Alta Verapaz,Chahal,Hombre,4,1,No puede
Alta Verapaz,Chahal,Hombre,4,347,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,4,1,"Sí, con mucha dificultad"
Alta Verapaz,Chahal,Hombre,5,9,No declarado
Alta Verapaz,Chahal,Hombre,5,360,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,5,2,"Sí, con algo de dificultad"
Alta Verapaz,Chahal,Hombre,6,9,No declarado
Alta Verapaz,Chahal,Hombre,6,392,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,6,1,"Sí, con algo de dificultad"
Alta Verapaz,Chahal,Hombre,6,1,"Sí, con mucha dificultad"
Alta Verapaz,Chahal,Hombre,7,3,No declarado
Alta Verapaz,Chahal,Hombre,7,338,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,7,2,"Sí, con algo de dificultad"
Alta Verapaz,Chahal,Hombre,7,2,"Sí, con mucha dificultad"
Alta Verapaz,Chahal,Hombre,8,6,No declarado
Alta Verapaz,Chahal,Hombre,8,3,No puede
Alta Verapaz,Chahal,Hombre,8,346,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,8,1,"Sí, con algo de dificultad"
Alta Verapaz,Chahal,Hombre,9,8,No declarado
Alta Verapaz,Chahal,Hombre,9,1,No puede
Alta Verapaz,Chahal,Hombre,9,365,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,9,1,"Sí, con mucha dificultad"
Alta Verapaz,Chahal,Hombre,10,3,No declarado
Alta Verapaz,Chahal,Hombre,10,338,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,10,1,"Sí, con algo de dificultad"
Alta Verapaz,Chahal,Hombre,11,1,No declarado
Alta Verapaz,Chahal,Hombre,11,279,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,11,1,"Sí, con algo de dificultad"
Alta Verapaz,Chahal,Hombre,11,3,"Sí, con mucha dificultad"
Alta Verapaz,Chahal,Hombre,12,5,No declarado
Alta Verapaz,Chahal,Hombre,12,263,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,12,1,"Sí, con mucha dificultad"
Alta Verapaz,Chahal,Hombre,13,1,No declarado
Alta Verapaz,Chahal,Hombre,13,1,No puede
Alta Verapaz,Chahal,Hombre,13,311,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,13,1,"Sí, con algo de dificultad"
Alta Verapaz,Chahal,Hombre,13,1,"Sí, con mucha dificultad"
Alta Verapaz,Chahal,Hombre,14,4,No declarado
Alta Verapaz,Chahal,Hombre,14,280,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,14,1,"Sí, con mucha dificultad"
Alta Verapaz,Chahal,Hombre,15,6,No declarado
Alta Verapaz,Chahal,Hombre,15,275,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,15,1,"Sí, con mucha dificultad"
Alta Verapaz,Chahal,Hombre,16,5,No declarado
Alta Verapaz,Chahal,Hombre,16,1,No puede
Alta Verapaz,Chahal,Hombre,16,329,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,16,1,"Sí, con algo de dificultad"
Alta Verapaz,Chahal,Hombre,16,1,"Sí, con mucha dificultad"
