NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,AREA
Huehuetenango,Aguacatán,Hombre,0,493,Rural
Huehuetenango,Aguacatán,Hombre,0,69,Urbano
Huehuetenango,Aguacatán,Hombre,1,505,Rural
Huehuetenango,Aguacatán,Hombre,1,90,Urbano
Huehuetenango,Aguacatán,Hombre,2,517,Rural
Huehuetenango,Aguacatán,Hombre,2,71,Urbano
Huehuetenango,Aguacatán,Hombre,3,512,Rural
Huehuetenango,Aguacatán,Hombre,3,84,Urbano
Huehuetenango,Aguacatán,Hombre,4,520,Rural
Huehuetenango,Aguacatán,Hombre,4,88,Urbano
Huehuetenango,Aguacatán,Hombre,5,496,Rural
Huehuetenango,Aguacatán,Hombre,5,77,Urbano
Huehuetenango,Aguacatán,Hombre,6,513,Rural
Huehuetenango,Aguacatán,Hombre,6,82,Urbano
Huehuetenango,Aguacatán,Hombre,7,515,Rural
Huehuetenango,Aguacatán,Hombre,7,83,Urbano
Huehuetenango,Aguacatán,Hombre,8,485,Rural
Huehuetenango,Aguacatán,Hombre,8,76,Urbano
Huehuetenango,Aguacatán,Hombre,9,488,Rural
Huehuetenango,Aguacatán,Hombre,9,86,Urbano
Huehuetenango,Aguacatán,Hombre,10,462,Rural
Huehuetenango,Aguacatán,Hombre,10,91,Urbano
Huehuetenango,Aguacatán,Hombre,11,504,Rural
Huehuetenango,Aguacatán,Hombre,11,78,Urbano
Huehuetenango,Aguacatán,Hombre,12,491,Rural
Huehuetenango,Aguacatán,Hombre,12,86,Urbano
Huehuetenango,Aguacatán,Hombre,13,509,Rural
Huehuetenango,Aguacatán,Hombre,13,67,Urbano
Huehuetenango,Aguacatán,Hombre,14,524,Rural
Huehuetenango,Aguacatán,Hombre,14,79,Urbano
Huehuetenango,Aguacatán,Hombre,15,506,Rural
Huehuetenango,Aguacatán,Hombre,15,81,Urbano
Huehuetenango,Aguacatán,Hombre,16,528,Rural
Huehuetenango,Aguacatán,Hombre,16,70,Urbano
Huehuetenango,Aguacatán,Hombre,17,422,Rural
Huehuetenango,Aguacatán,Hombre,17,91,Urbano
Huehuetenango,Aguacatán,Hombre,18,425,Rural
Huehuetenango,Aguacatán,Hombre,18,96,Urbano
Huehuetenango,Aguacatán,Hombre,19,359,Rural
Huehuetenango,Aguacatán,Hombre,19,72,Urbano
Huehuetenango,Aguacatán,Hombre,20,354,Rural
Huehuetenango,Aguacatán,Hombre,20,62,Urbano
Huehuetenango,Aguacatán,Hombre,21,308,Rural
Huehuetenango,Aguacatán,Hombre,21,67,Urbano
Huehuetenango,Aguacatán,Hombre,22,356,Rural
Huehuetenango,Aguacatán,Hombre,22,70,Urbano
Huehuetenango,Aguacatán,Hombre,23,344,Rural
Huehuetenango,Aguacatán,Hombre,23,62,Urbano
Huehuetenango,Aguacatán,Hombre,24,314,Rural
Huehuetenango,Aguacatán,Hombre,24,89,Urbano
Huehuetenango,Aguacatán,Hombre,25,285,Rural
Huehuetenango,Aguacatán,Hombre,25,74,Urbano
Huehuetenango,Aguacatán,Hombre,26,279,Rural
Huehuetenango,Aguacatán,Hombre,26,68,Urbano
Huehuetenango,Aguacatán,Hombre,27,256,Rural
Huehuetenango,Aguacatán,Hombre,27,62,Urbano
Huehuetenango,Aguacatán,Hombre,28,233,Rural
Huehuetenango,Aguacatán,Hombre,28,69,Urbano
Huehuetenango,Aguacatán,Hombre,29,216,Rural
Huehuetenango,Aguacatán,Hombre,29,56,Urbano
Huehuetenango,Aguacatán,Hombre,30,213,Rural
Huehuetenango,Aguacatán,Hombre,30,50,Urbano
Huehuetenango,Aguacatán,Hombre,31,193,Rural
Huehuetenango,Aguacatán,Hombre,31,38,Urbano
Huehuetenango,Aguacatán,Hombre,32,179,Rural
Huehuetenango,Aguacatán,Hombre,32,45,Urbano
Huehuetenango,Aguacatán,Hombre,33,159,Rural
Huehuetenango,Aguacatán,Hombre,33,37,Urbano
Huehuetenango,Aguacatán,Hombre,34,167,Rural
Huehuetenango,Aguacatán,Hombre,34,38,Urbano
Huehuetenango,Aguacatán,Hombre,35,140,Rural
Huehuetenango,Aguacatán,Hombre,35,49,Urbano
Huehuetenango,Aguacatán,Hombre,36,185,Rural
Huehuetenango,Aguacatán,Hombre,36,47,Urbano
Huehuetenango,Aguacatán,Hombre,37,165,Rural
Huehuetenango,Aguacatán,Hombre,37,44,Urbano
Huehuetenango,Aguacatán,Hombre,38,163,Rural
Huehuetenango,Aguacatán,Hombre,38,46,Urbano
Huehuetenango,Aguacatán,Hombre,39,168,Rural
Huehuetenango,Aguacatán,Hombre,39,35,Urbano
Huehuetenango,Aguacatán,Hombre,40,180,Rural
Huehuetenango,Aguacatán,Hombre,40,36,Urbano
Huehuetenango,Aguacatán,Hombre,41,166,Rural
Huehuetenango,Aguacatán,Hombre,41,42,Urbano
Huehuetenango,Aguacatán,Hombre,42,137,Rural
Huehuetenango,Aguacatán,Hombre,42,38,Urbano
Huehuetenango,Aguacatán,Hombre,43,140,Rural
Huehuetenango,Aguacatán,Hombre,43,38,Urbano
Huehuetenango,Aguacatán,Hombre,44,141,Rural
Huehuetenango,Aguacatán,Hombre,44,28,Urbano
Huehuetenango,Aguacatán,Hombre,45,154,Rural
Huehuetenango,Aguacatán,Hombre,45,35,Urbano
Huehuetenango,Aguacatán,Hombre,46,151,Rural
Huehuetenango,Aguacatán,Hombre,46,25,Urbano
Huehuetenango,Aguacatán,Hombre,47,141,Rural
Huehuetenango,Aguacatán,Hombre,47,31,Urbano
Huehuetenango,Aguacatán,Hombre,48,138,Rural
Huehuetenango,Aguacatán,Hombre,48,41,Urbano
Huehuetenango,Aguacatán,Hombre,49,128,Rural
Huehuetenango,Aguacatán,Hombre,49,35,Urbano
Huehuetenango,Aguacatán,Hombre,50,138,Rural
Huehuetenango,Aguacatán,Hombre,50,28,Urbano
Huehuetenango,Aguacatán,Hombre,51,119,Rural
Huehuetenango,Aguacatán,Hombre,51,26,Urbano
Huehuetenango,Aguacatán,Hombre,52,127,Rural
Huehuetenango,Aguacatán,Hombre,52,35,Urbano
Huehuetenango,Aguacatán,Hombre,53,111,Rural
Huehuetenango,Aguacatán,Hombre,53,29,Urbano
Huehuetenango,Aguacatán,Hombre,54,88,Rural
Huehuetenango,Aguacatán,Hombre,54,31,Urbano
Huehuetenango,Aguacatán,Hombre,55,100,Rural
Huehuetenango,Aguacatán,Hombre,55,25,Urbano
Huehuetenango,Aguacatán,Hombre,56,94,Rural
Huehuetenango,Aguacatán,Hombre,56,29,Urbano
Huehuetenango,Aguacatán,Hombre,57,116,Rural
Huehuetenango,Aguacatán,Hombre,57,22,Urbano
Huehuetenango,Aguacatán,Hombre,58,112,Rural
Huehuetenango,Aguacatán,Hombre,58,22,Urbano
Huehuetenango,Aguacatán,Hombre,59,113,Rural
Huehuetenango,Aguacatán,Hombre,59,31,Urbano
Huehuetenango,Aguacatán,Hombre,60,114,Rural
Huehuetenango,Aguacatán,Hombre,60,37,Urbano
Huehuetenango,Aguacatán,Hombre,61,82,Rural
Huehuetenango,Aguacatán,Hombre,61,17,Urbano
Huehuetenango,Aguacatán,Hombre,62,87,Rural
Huehuetenango,Aguacatán,Hombre,62,14,Urbano
Huehuetenango,Aguacatán,Hombre,63,93,Rural
Huehuetenango,Aguacatán,Hombre,63,25,Urbano
Huehuetenango,Aguacatán,Hombre,64,97,Rural
Huehuetenango,Aguacatán,Hombre,64,18,Urbano
Huehuetenango,Aguacatán,Hombre,65,79,Rural
Huehuetenango,Aguacatán,Hombre,65,27,Urbano
Huehuetenango,Aguacatán,Hombre,66,70,Rural
