NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,AREA
Alta Verapaz,Chahal,Hombre,0,296,Rural
Alta Verapaz,Chahal,Hombre,0,48,Urbano
Alta Verapaz,Chahal,Hombre,1,323,Rural
Alta Verapaz,Chahal,Hombre,1,41,Urbano
Alta Verapaz,Chahal,Hombre,2,284,Rural
Alta Verapaz,Chahal,Hombre,2,53,Urbano
Alta Verapaz,Chahal,Hombre,3,369,Rural
Alta Verapaz,Chahal,Hombre,3,53,Urbano
Alta Verapaz,Chahal,Hombre,4,323,Rural
Alta Verapaz,Chahal,Hombre,4,50,Urbano
Alta Verapaz,Chahal,Hombre,5,309,Rural
Alta Verapaz,Chahal,Hombre,5,62,Urbano
Alta Verapaz,Chahal,Hombre,6,343,Rural
Alta Verapaz,Chahal,Hombre,6,60,Urbano
Alta Verapaz,Chahal,Hombre,7,292,Rural
Alta Verapaz,Chahal,Hombre,7,53,Urbano
Alta Verapaz,Chahal,Hombre,8,299,Rural
Alta Verapaz,Chahal,Hombre,8,57,Urbano
Alta Verapaz,Chahal,Hombre,9,319,Rural
Alta Verapaz,Chahal,Hombre,9,56,Urbano
Alta Verapaz,Chahal,Hombre,10,282,Rural
Alta Verapaz,Chahal,Hombre,10,60,Urbano
Alta Verapaz,Chahal,Hombre,11,243,Rural
Alta Verapaz,Chahal,Hombre,11,41,Urbano
Alta Verapaz,Chahal,Hombre,12,234,Rural
Alta Verapaz,Chahal,Hombre,12,35,Urbano
Alta Verapaz,Chahal,Hombre,13,266,Rural
Alta Verapaz,Chahal,Hombre,13,49,Urbano
Alta Verapaz,Chahal,Hombre,14,250,Rural
Alta Verapaz,Chahal,Hombre,14,35,Urbano
Alta Verapaz,Chahal,Hombre,15,245,Rural
Alta Verapaz,Chahal,Hombre,15,37,Urbano
Alta Verapaz,Chahal,Hombre,16,292,Rural
Alta Verapaz,Chahal,Hombre,16,45,Urbano
Alta Verapaz,Chahal,Hombre,17,295,Rural
Alta Verapaz,Chahal,Hombre,17,54,Urbano
Alta Verapaz,Chahal,Hombre,18,311,Rural
Alta Verapaz,Chahal,Hombre,18,53,Urbano
Alta Verapaz,Chahal,Hombre,19,213,Rural
Alta Verapaz,Chahal,Hombre,19,47,Urbano
Alta Verapaz,Chahal,Hombre,20,242,Rural
Alta Verapaz,Chahal,Hombre,20,40,Urbano
Alta Verapaz,Chahal,Hombre,21,234,Rural
Alta Verapaz,Chahal,Hombre,21,36,Urbano
Alta Verapaz,Chahal,Hombre,22,238,Rural
Alta Verapaz,Chahal,Hombre,22,46,Urbano
Alta Verapaz,Chahal,Hombre,23,231,Rural
Alta Verapaz,Chahal,Hombre,23,36,Urbano
Alta Verapaz,Chahal,Hombre,24,209,Rural
Alta Verapaz,Chahal,Hombre,24,26,Urbano
Alta Verapaz,Chahal,Hombre,25,216,Rural
Alta Verapaz,Chahal,Hombre,25,38,Urbano
Alta Verapaz,Chahal,Hombre,26,169,Rural
Alta Verapaz,Chahal,Hombre,26,31,Urbano
Alta Verapaz,Chahal,Hombre,27,174,Rural
Alta Verapaz,Chahal,Hombre,27,34,Urbano
Alta Verapaz,Chahal,Hombre,28,178,Rural
Alta Verapaz,Chahal,Hombre,28,36,Urbano
Alta Verapaz,Chahal,Hombre,29,152,Rural
Alta Verapaz,Chahal,Hombre,29,19,Urbano
Alta Verapaz,Chahal,Hombre,30,162,Rural
Alta Verapaz,Chahal,Hombre,30,27,Urbano
Alta Verapaz,Chahal,Hombre,31,140,Rural
Alta Verapaz,Chahal,Hombre,31,33,Urbano
Alta Verapaz,Chahal,Hombre,32,152,Rural
Alta Verapaz,Chahal,Hombre,32,30,Urbano
Alta Verapaz,Chahal,Hombre,33,132,Rural
Alta Verapaz,Chahal,Hombre,33,36,Urbano
Alta Verapaz,Chahal,Hombre,34,131,Rural
Alta Verapaz,Chahal,Hombre,34,37,Urbano
Alta Verapaz,Chahal,Hombre,35,147,Rural
