NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PDESOC||Personas Desocupadas
Jalapa,Jalapa,Hombre,0,1951,
Jalapa,Jalapa,Hombre,1,1977,
Jalapa,Jalapa,Hombre,2,2143,
Jalapa,Jalapa,Hombre,3,2106,
Jalapa,Jalapa,Hombre,4,2117,
Jalapa,Jalapa,Hombre,5,2151,
Jalapa,Jalapa,Hombre,6,2134,
Jalapa,Jalapa,Hombre,7,1958,
Jalapa,Jalapa,Hombre,7,1,Cesante
Jalapa,Jalapa,Hombre,8,1963,
Jalapa,Jalapa,Hombre,8,3,Cesante
Jalapa,Jalapa,Hombre,9,1941,
Jalapa,Jalapa,Hombre,9,1,Aspirante
Jalapa,Jalapa,Hombre,9,3,Cesante
Jalapa,Jalapa,Hombre,10,2021,
Jalapa,Jalapa,Hombre,10,2,Cesante
Jalapa,Jalapa,Hombre,11,1895,
Jalapa,Jalapa,Hombre,11,4,Cesante
Jalapa,Jalapa,Hombre,12,2030,
Jalapa,Jalapa,Hombre,12,1,Aspirante
Jalapa,Jalapa,Hombre,13,1895,
Jalapa,Jalapa,Hombre,13,3,Aspirante
Jalapa,Jalapa,Hombre,13,9,Cesante
Jalapa,Jalapa,Hombre,14,1869,
Jalapa,Jalapa,Hombre,14,3,Aspirante
Jalapa,Jalapa,Hombre,14,8,Cesante
Jalapa,Jalapa,Hombre,15,2032,
Jalapa,Jalapa,Hombre,15,6,Aspirante
Jalapa,Jalapa,Hombre,15,15,Cesante
Jalapa,Jalapa,Hombre,16,1817,
Jalapa,Jalapa,Hombre,16,5,Aspirante
Jalapa,Jalapa,Hombre,16,14,Cesante
Jalapa,Jalapa,Hombre,17,1976,
Jalapa,Jalapa,Hombre,17,15,Aspirante
Jalapa,Jalapa,Hombre,17,15,Cesante
Jalapa,Jalapa,Hombre,18,1936,
Jalapa,Jalapa,Hombre,18,11,Aspirante
Jalapa,Jalapa,Hombre,18,30,Cesante
Jalapa,Jalapa,Hombre,19,1635,
Jalapa,Jalapa,Hombre,19,13,Aspirante
Jalapa,Jalapa,Hombre,19,19,Cesante
Jalapa,Jalapa,Hombre,20,1609,
Jalapa,Jalapa,Hombre,20,14,Aspirante
Jalapa,Jalapa,Hombre,20,36,Cesante
Jalapa,Jalapa,Hombre,21,1413,
Jalapa,Jalapa,Hombre,21,15,Aspirante
Jalapa,Jalapa,Hombre,21,22,Cesante
Jalapa,Jalapa,Hombre,22,1649,
Jalapa,Jalapa,Hombre,22,21,Aspirante
Jalapa,Jalapa,Hombre,22,20,Cesante
Jalapa,Jalapa,Hombre,23,1423,
Jalapa,Jalapa,Hombre,23,24,Aspirante
Jalapa,Jalapa,Hombre,23,16,Cesante
Jalapa,Jalapa,Hombre,24,1413,
Jalapa,Jalapa,Hombre,24,13,Aspirante
Jalapa,Jalapa,Hombre,24,14,Cesante
Jalapa,Jalapa,Hombre,25,1354,
Jalapa,Jalapa,Hombre,25,13,Aspirante
Jalapa,Jalapa,Hombre,25,8,Cesante
Jalapa,Jalapa,Hombre,26,1245,
Jalapa,Jalapa,Hombre,26,13,Aspirante
Jalapa,Jalapa,Hombre,26,9,Cesante
Jalapa,Jalapa,Hombre,27,1106,
Jalapa,Jalapa,Hombre,27,6,Aspirante
Jalapa,Jalapa,Hombre,27,6,Cesante
Jalapa,Jalapa,Hombre,28,1216,
Jalapa,Jalapa,Hombre,28,14,Aspirante
Jalapa,Jalapa,Hombre,28,3,Cesante
Jalapa,Jalapa,Hombre,29,1046,
Jalapa,Jalapa,Hombre,29,8,Aspirante
Jalapa,Jalapa,Hombre,29,1,Cesante
Jalapa,Jalapa,Hombre,30,1085,
Jalapa,Jalapa,Hombre,30,4,Aspirante
Jalapa,Jalapa,Hombre,30,2,Cesante
Jalapa,Jalapa,Hombre,31,798,
Jalapa,Jalapa,Hombre,31,9,Aspirante
Jalapa,Jalapa,Hombre,31,1,Cesante
Jalapa,Jalapa,Hombre,32,981,
Jalapa,Jalapa,Hombre,32,14,Aspirante
Jalapa,Jalapa,Hombre,32,2,Cesante
Jalapa,Jalapa,Hombre,33,886,
Jalapa,Jalapa,Hombre,33,11,Aspirante
Jalapa,Jalapa,Hombre,33,5,Cesante
Jalapa,Jalapa,Hombre,34,842,
Jalapa,Jalapa,Hombre,34,6,Aspirante
Jalapa,Jalapa,Hombre,34,1,Cesante
Jalapa,Jalapa,Hombre,35,907,
Jalapa,Jalapa,Hombre,35,13,Aspirante
Jalapa,Jalapa,Hombre,35,3,Cesante
Jalapa,Jalapa,Hombre,36,833,
Jalapa,Jalapa,Hombre,36,5,Aspirante
Jalapa,Jalapa,Hombre,36,4,Cesante
Jalapa,Jalapa,Hombre,37,792,
Jalapa,Jalapa,Hombre,37,3,Aspirante
Jalapa,Jalapa,Hombre,37,1,Cesante
Jalapa,Jalapa,Hombre,38,878,
Jalapa,Jalapa,Hombre,38,8,Aspirante
Jalapa,Jalapa,Hombre,38,2,Cesante
Jalapa,Jalapa,Hombre,39,752,
Jalapa,Jalapa,Hombre,39,4,Aspirante
Jalapa,Jalapa,Hombre,39,1,Cesante
Jalapa,Jalapa,Hombre,40,780,
Jalapa,Jalapa,Hombre,40,8,Aspirante
Jalapa,Jalapa,Hombre,41,582,
Jalapa,Jalapa,Hombre,41,5,Aspirante
Jalapa,Jalapa,Hombre,42,690,
Jalapa,Jalapa,Hombre,42,6,Aspirante
Jalapa,Jalapa,Hombre,43,625,
Jalapa,Jalapa,Hombre,43,5,Aspirante
Jalapa,Jalapa,Hombre,44,560,
Jalapa,Jalapa,Hombre,44,3,Aspirante
Jalapa,Jalapa,Hombre,44,2,Cesante
Jalapa,Jalapa,Hombre,45,567,
Jalapa,Jalapa,Hombre,45,2,Aspirante
Jalapa,Jalapa,Hombre,46,476,
Jalapa,Jalapa,Hombre,46,3,Aspirante
Jalapa,Jalapa,Hombre,47,488,
Jalapa,Jalapa,Hombre,47,6,Aspirante
Jalapa,Jalapa,Hombre,47,1,Cesante
Jalapa,Jalapa,Hombre,48,550,
Jalapa,Jalapa,Hombre,48,6,Aspirante
Jalapa,Jalapa,Hombre,49,417,
Jalapa,Jalapa,Hombre,49,4,Aspirante
Jalapa,Jalapa,Hombre,49,2,Cesante
Jalapa,Jalapa,Hombre,50,538,
Jalapa,Jalapa,Hombre,50,2,Aspirante
Jalapa,Jalapa,Hombre,51,405,
Jalapa,Jalapa,Hombre,51,3,Aspirante
Jalapa,Jalapa,Hombre,52,465,
Jalapa,Jalapa,Hombre,52,4,Aspirante
Jalapa,Jalapa,Hombre,53,387,
Jalapa,Jalapa,Hombre,53,4,Aspirante
Jalapa,Jalapa,Hombre,54,451,
Jalapa,Jalapa,Hombre,54,2,Aspirante
Jalapa,Jalapa,Hombre,55,415,
Jalapa,Jalapa,Hombre,55,9,Aspirante
Jalapa,Jalapa,Hombre,56,371,
Jalapa,Jalapa,Hombre,56,2,Aspirante
Jalapa,Jalapa,Hombre,57,378,
Jalapa,Jalapa,Hombre,57,5,Aspirante
Jalapa,Jalapa,Hombre,58,428,
Jalapa,Jalapa,Hombre,58,5,Aspirante
Jalapa,Jalapa,Hombre,59,330,
Jalapa,Jalapa,Hombre,60,419,
Jalapa,Jalapa,Hombre,60,4,Aspirante
Jalapa,Jalapa,Hombre,61,281,
Jalapa,Jalapa,Hombre,61,2,Aspirante
Jalapa,Jalapa,Hombre,62,293,
Jalapa,Jalapa,Hombre,62,1,Aspirante
Jalapa,Jalapa,Hombre,63,269,
Jalapa,Jalapa,Hombre,63,2,Aspirante
Jalapa,Jalapa,Hombre,64,304,
Jalapa,Jalapa,Hombre,64,3,Aspirante
Jalapa,Jalapa,Hombre,65,285,
Jalapa,Jalapa,Hombre,65,3,Aspirante
Jalapa,Jalapa,Hombre,66,232,
Jalapa,Jalapa,Hombre,66,3,Aspirante
Jalapa,Jalapa,Hombre,67,239,
Jalapa,Jalapa,Hombre,67,3,Aspirante
Jalapa,Jalapa,Hombre,68,230,
Jalapa,Jalapa,Hombre,68,2,Aspirante
Jalapa,Jalapa,Hombre,69,210,
Jalapa,Jalapa,Hombre,69,1,Aspirante
Jalapa,Jalapa,Hombre,70,215,
Jalapa,Jalapa,Hombre,70,2,Aspirante
Jalapa,Jalapa,Hombre,71,134,
Jalapa,Jalapa,Hombre,72,185,
Jalapa,Jalapa,Hombre,72,3,Aspirante
Jalapa,Jalapa,Hombre,73,154,
Jalapa,Jalapa,Hombre,73,2,Aspirante
Jalapa,Jalapa,Hombre,74,149,
Jalapa,Jalapa,Hombre,74,2,Aspirante
Jalapa,Jalapa,Hombre,75,153,
Jalapa,Jalapa,Hombre,76,131,
Jalapa,Jalapa,Hombre,77,110,
Jalapa,Jalapa,Hombre,77,1,Aspirante
Jalapa,Jalapa,Hombre,78,99,
Jalapa,Jalapa,Hombre,79,68,
Jalapa,Jalapa,Hombre,79,1,Aspirante
Jalapa,Jalapa,Hombre,80,84,
Jalapa,Jalapa,Hombre,81,65,
Jalapa,Jalapa,Hombre,82,65,
Jalapa,Jalapa,Hombre,83,60,
Jalapa,Jalapa,Hombre,84,64,
Jalapa,Jalapa,Hombre,85,56,
Jalapa,Jalapa,Hombre,86,36,
Jalapa,Jalapa,Hombre,87,46,
Jalapa,Jalapa,Hombre,88,30,
Jalapa,Jalapa,Hombre,89,18,
Jalapa,Jalapa,Hombre,90,21,
Jalapa,Jalapa,Hombre,91,17,
Jalapa,Jalapa,Hombre,92,12,
Jalapa,Jalapa,Hombre,93,9,
Jalapa,Jalapa,Hombre,94,9,
Jalapa,Jalapa,Hombre,95,10,
Jalapa,Jalapa,Hombre,96,8,
Jalapa,Jalapa,Hombre,97,4,
Jalapa,Jalapa,Hombre,98,6,
Jalapa,Jalapa,Hombre,100,2,
Jalapa,Jalapa,Mujer,0,1968,
Jalapa,Jalapa,Mujer,1,1918,
Jalapa,Jalapa,Mujer,2,2135,
Jalapa,Jalapa,Mujer,3,2090,
Jalapa,Jalapa,Mujer,4,2121,
Jalapa,Jalapa,Mujer,5,2130,
Jalapa,Jalapa,Mujer,6,1979,
Jalapa,Jalapa,Mujer,7,1954,
Jalapa,Jalapa,Mujer,7,2,Cesante
Jalapa,Jalapa,Mujer,8,1882,
Jalapa,Jalapa,Mujer,8,2,Cesante
Jalapa,Jalapa,Mujer,9,1910,
Jalapa,Jalapa,Mujer,9,1,Cesante
Jalapa,Jalapa,Mujer,10,1903,
Jalapa,Jalapa,Mujer,10,1,Cesante
Jalapa,Jalapa,Mujer,11,1924,
