NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,NIVGRADO||Nivel y grado de estudio,Recuento de PCP17_B
Santa Rosa,Barberena,Hombre,6,1ero Primaria,12
Santa Rosa,Barberena,Hombre,7,1ero Primaria,155
Santa Rosa,Barberena,Hombre,7,2do Primaria,17
Santa Rosa,Barberena,Hombre,8,1ero Primaria,331
Santa Rosa,Barberena,Hombre,8,2do Primaria,106
Santa Rosa,Barberena,Hombre,8,3ero Primaria,8
Santa Rosa,Barberena,Hombre,9,1ero Primaria,144
Santa Rosa,Barberena,Hombre,9,2do Primaria,299
Santa Rosa,Barberena,Hombre,9,3ero Primaria,104
Santa Rosa,Barberena,Hombre,9,4to Primaria,17
Santa Rosa,Barberena,Hombre,10,1ero Primaria,64
Santa Rosa,Barberena,Hombre,10,2do Primaria,152
Santa Rosa,Barberena,Hombre,10,3ero Primaria,292
Santa Rosa,Barberena,Hombre,10,4to Primaria,95
Santa Rosa,Barberena,Hombre,10,5to Primaria,11
Santa Rosa,Barberena,Hombre,11,1ero Primaria,34
Santa Rosa,Barberena,Hombre,11,2do Primaria,85
Santa Rosa,Barberena,Hombre,11,3ero Primaria,141
Santa Rosa,Barberena,Hombre,11,4to Primaria,261
Santa Rosa,Barberena,Hombre,11,5to Primaria,99
Santa Rosa,Barberena,Hombre,11,6to Primaria,20
Santa Rosa,Barberena,Hombre,12,1ero Basico,18
Santa Rosa,Barberena,Hombre,12,1ero Primaria,18
Santa Rosa,Barberena,Hombre,12,2do Primaria,34
Santa Rosa,Barberena,Hombre,12,3ero Primaria,87
Santa Rosa,Barberena,Hombre,12,4to Primaria,124
Santa Rosa,Barberena,Hombre,12,5to Primaria,262
Santa Rosa,Barberena,Hombre,12,6to Primaria,84
Santa Rosa,Barberena,Hombre,13,1ero Basico,78
Santa Rosa,Barberena,Hombre,13,1ero Primaria,13
Santa Rosa,Barberena,Hombre,13,2do  Basico,12
Santa Rosa,Barberena,Hombre,13,2do Primaria,18
Santa Rosa,Barberena,Hombre,13,3ero Primaria,46
Santa Rosa,Barberena,Hombre,13,4to Primaria,71
Santa Rosa,Barberena,Hombre,13,5to Primaria,133
Santa Rosa,Barberena,Hombre,13,6to Primaria,191
Santa Rosa,Barberena,Hombre,14,1ero Basico,192
Santa Rosa,Barberena,Hombre,14,1ero Primaria,10
Santa Rosa,Barberena,Hombre,14,2do  Basico,74
Santa Rosa,Barberena,Hombre,14,2do Primaria,17
Santa Rosa,Barberena,Hombre,14,3ero Basico,8
Santa Rosa,Barberena,Hombre,14,3ero Primaria,32
Santa Rosa,Barberena,Hombre,14,4to Primaria,37
Santa Rosa,Barberena,Hombre,14,5to Primaria,65
Santa Rosa,Barberena,Hombre,14,6to Primaria,160
Santa Rosa,Barberena,Hombre,15,1ero Basico,105
Santa Rosa,Barberena,Hombre,15,1ero Primaria,8
Santa Rosa,Barberena,Hombre,15,2do  Basico,151
Santa Rosa,Barberena,Hombre,15,2do Primaria,18
Santa Rosa,Barberena,Hombre,15,3ero Basico,69
Santa Rosa,Barberena,Hombre,15,3ero Primaria,27
Santa Rosa,Barberena,Hombre,15,4to Diversificado,7
Santa Rosa,Barberena,Hombre,15,4to Primaria,26
Santa Rosa,Barberena,Hombre,15,5to Primaria,42
Santa Rosa,Barberena,Hombre,15,6to Primaria,154
Santa Rosa,Barberena,Hombre,16,1ero Basico,91
Santa Rosa,Barberena,Hombre,16,1ero Primaria,5
Santa Rosa,Barberena,Hombre,16,2do  Basico,100
Santa Rosa,Barberena,Hombre,16,2do Primaria,12
Santa Rosa,Barberena,Hombre,16,3ero Basico,131
Santa Rosa,Barberena,Hombre,16,3ero Primaria,21
Santa Rosa,Barberena,Hombre,16,4to Diversificado,42
Santa Rosa,Barberena,Hombre,16,4to Primaria,19
Santa Rosa,Barberena,Hombre,16,5to Diversificado,11
Santa Rosa,Barberena,Hombre,16,5to Primaria,23
Santa Rosa,Barberena,Hombre,16,6to Primaria,113
Santa Rosa,Barberena,Hombre,17,1er Licenciatura,2
Santa Rosa,Barberena,Hombre,17,1ero Basico,89
Santa Rosa,Barberena,Hombre,17,1ero Primaria,7
Santa Rosa,Barberena,Hombre,17,2do  Basico,116
Santa Rosa,Barberena,Hombre,17,2do Primaria,14
Santa Rosa,Barberena,Hombre,17,3ero Basico,130
Santa Rosa,Barberena,Hombre,17,3ero Primaria,22
Santa Rosa,Barberena,Hombre,17,4to Diversificado,84
Santa Rosa,Barberena,Hombre,17,4to Primaria,22
Santa Rosa,Barberena,Hombre,17,5to Diversificado,54
Santa Rosa,Barberena,Hombre,17,5to Primaria,18
Santa Rosa,Barberena,Hombre,17,6to Diversificado y 7mo Diversificado,12
Santa Rosa,Barberena,Hombre,17,6to Primaria,120
Santa Rosa,Barberena,Hombre,18,1er Licenciatura,6
Santa Rosa,Barberena,Hombre,18,1ero Basico,54
Santa Rosa,Barberena,Hombre,18,1ero Primaria,11
Santa Rosa,Barberena,Hombre,18,2do  Basico,90
Santa Rosa,Barberena,Hombre,18,2do Licenciatura,5
Santa Rosa,Barberena,Hombre,18,2do Primaria,9
Santa Rosa,Barberena,Hombre,18,3ero Basico,132
Santa Rosa,Barberena,Hombre,18,3ero Primaria,18
Santa Rosa,Barberena,Hombre,18,4to Diversificado,63
Santa Rosa,Barberena,Hombre,18,4to Primaria,14
Santa Rosa,Barberena,Hombre,18,5to Diversificado,121
Santa Rosa,Barberena,Hombre,18,5to Primaria,9
Santa Rosa,Barberena,Hombre,18,6to Diversificado y 7mo Diversificado,40
Santa Rosa,Barberena,Hombre,18,6to Primaria,135
Santa Rosa,Barberena,Hombre,19,1er Licenciatura,16
Santa Rosa,Barberena,Hombre,19,1ero Basico,37
Santa Rosa,Barberena,Hombre,19,1ero Primaria,4
Santa Rosa,Barberena,Hombre,19,2do  Basico,48
Santa Rosa,Barberena,Hombre,19,2do Licenciatura,10
Santa Rosa,Barberena,Hombre,19,2do Primaria,12
Santa Rosa,Barberena,Hombre,19,3ero Basico,119
Santa Rosa,Barberena,Hombre,19,3ero Licenciatura,1
Santa Rosa,Barberena,Hombre,19,3ero Primaria,23
Santa Rosa,Barberena,Hombre,19,4to Diversificado,25
Santa Rosa,Barberena,Hombre,19,4to Primaria,18
Santa Rosa,Barberena,Hombre,19,5to Diversificado,89
Santa Rosa,Barberena,Hombre,19,5to Primaria,13
Santa Rosa,Barberena,Hombre,19,6to Diversificado y 7mo Diversificado,65
Santa Rosa,Barberena,Hombre,19,6to Primaria,104
Santa Rosa,Barberena,Hombre,20,1er Licenciatura,12
Santa Rosa,Barberena,Hombre,20,1ero Basico,43
Santa Rosa,Barberena,Hombre,20,1ero Primaria,3
Santa Rosa,Barberena,Hombre,20,2do  Basico,36
Santa Rosa,Barberena,Hombre,20,2do Licenciatura,12
Santa Rosa,Barberena,Hombre,20,2do Primaria,6
Santa Rosa,Barberena,Hombre,20,3ero Basico,114
Santa Rosa,Barberena,Hombre,20,3ero Licenciatura,4
Santa Rosa,Barberena,Hombre,20,3ero Primaria,19
Santa Rosa,Barberena,Hombre,20,4to Diversificado,31
Santa Rosa,Barberena,Hombre,20,4to Licenciatura,1
Santa Rosa,Barberena,Hombre,20,4to Primaria,19
Santa Rosa,Barberena,Hombre,20,5to Diversificado,100
Santa Rosa,Barberena,Hombre,20,5to Primaria,12
Santa Rosa,Barberena,Hombre,20,6to Diversificado y 7mo Diversificado,66
