NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,POCUPA||Personas Ocupadas
Jalapa,Jalapa,Hombre,0,1951,
Jalapa,Jalapa,Hombre,1,1977,
Jalapa,Jalapa,Hombre,2,2143,
Jalapa,Jalapa,Hombre,3,2106,
Jalapa,Jalapa,Hombre,4,2117,
Jalapa,Jalapa,Hombre,5,2151,
Jalapa,Jalapa,Hombre,6,2134,
Jalapa,Jalapa,Hombre,7,1938,
Jalapa,Jalapa,Hombre,7,21,Población ocupada
Jalapa,Jalapa,Hombre,8,1937,
Jalapa,Jalapa,Hombre,8,29,Población ocupada
Jalapa,Jalapa,Hombre,9,1912,
Jalapa,Jalapa,Hombre,9,33,Población ocupada
Jalapa,Jalapa,Hombre,10,1971,
Jalapa,Jalapa,Hombre,10,52,Población ocupada
Jalapa,Jalapa,Hombre,11,1815,
Jalapa,Jalapa,Hombre,11,84,Población ocupada
Jalapa,Jalapa,Hombre,12,1906,
Jalapa,Jalapa,Hombre,12,125,Población ocupada
Jalapa,Jalapa,Hombre,13,1676,
Jalapa,Jalapa,Hombre,13,231,Población ocupada
Jalapa,Jalapa,Hombre,14,1464,
Jalapa,Jalapa,Hombre,14,416,Población ocupada
Jalapa,Jalapa,Hombre,15,1360,
Jalapa,Jalapa,Hombre,15,693,Población ocupada
Jalapa,Jalapa,Hombre,16,1037,
Jalapa,Jalapa,Hombre,16,799,Población ocupada
Jalapa,Jalapa,Hombre,17,894,
Jalapa,Jalapa,Hombre,17,1112,Población ocupada
Jalapa,Jalapa,Hombre,18,698,
Jalapa,Jalapa,Hombre,18,1279,Población ocupada
Jalapa,Jalapa,Hombre,19,447,
Jalapa,Jalapa,Hombre,19,1220,Población ocupada
Jalapa,Jalapa,Hombre,20,362,
Jalapa,Jalapa,Hombre,20,1297,Población ocupada
Jalapa,Jalapa,Hombre,21,258,
Jalapa,Jalapa,Hombre,21,1192,Población ocupada
Jalapa,Jalapa,Hombre,22,247,
Jalapa,Jalapa,Hombre,22,1443,Población ocupada
Jalapa,Jalapa,Hombre,23,184,
Jalapa,Jalapa,Hombre,23,1279,Población ocupada
Jalapa,Jalapa,Hombre,24,172,
Jalapa,Jalapa,Hombre,24,1268,Población ocupada
Jalapa,Jalapa,Hombre,25,126,
Jalapa,Jalapa,Hombre,25,1249,Población ocupada
Jalapa,Jalapa,Hombre,26,117,
Jalapa,Jalapa,Hombre,26,1150,Población ocupada
Jalapa,Jalapa,Hombre,27,93,
Jalapa,Jalapa,Hombre,27,1025,Población ocupada
Jalapa,Jalapa,Hombre,28,72,
Jalapa,Jalapa,Hombre,28,1161,Población ocupada
Jalapa,Jalapa,Hombre,29,57,
Jalapa,Jalapa,Hombre,29,998,Población ocupada
Jalapa,Jalapa,Hombre,30,53,
Jalapa,Jalapa,Hombre,30,1038,Población ocupada
Jalapa,Jalapa,Hombre,31,39,
Jalapa,Jalapa,Hombre,31,769,Población ocupada
Jalapa,Jalapa,Hombre,32,52,
Jalapa,Jalapa,Hombre,32,945,Población ocupada
Jalapa,Jalapa,Hombre,33,52,
Jalapa,Jalapa,Hombre,33,850,Población ocupada
Jalapa,Jalapa,Hombre,34,41,
Jalapa,Jalapa,Hombre,34,808,Población ocupada
Jalapa,Jalapa,Hombre,35,60,
Jalapa,Jalapa,Hombre,35,863,Población ocupada
Jalapa,Jalapa,Hombre,36,41,
Jalapa,Jalapa,Hombre,36,801,Población ocupada
Jalapa,Jalapa,Hombre,37,37,
Jalapa,Jalapa,Hombre,37,759,Población ocupada
Jalapa,Jalapa,Hombre,38,53,
Jalapa,Jalapa,Hombre,38,835,Población ocupada
Jalapa,Jalapa,Hombre,39,47,
Jalapa,Jalapa,Hombre,39,710,Población ocupada
Jalapa,Jalapa,Hombre,40,46,
Jalapa,Jalapa,Hombre,40,742,Población ocupada
Jalapa,Jalapa,Hombre,41,23,
Jalapa,Jalapa,Hombre,41,564,Población ocupada
Jalapa,Jalapa,Hombre,42,40,
Jalapa,Jalapa,Hombre,42,656,Población ocupada
Jalapa,Jalapa,Hombre,43,33,
Jalapa,Jalapa,Hombre,43,597,Población ocupada
Jalapa,Jalapa,Hombre,44,40,
Jalapa,Jalapa,Hombre,44,525,Población ocupada
Jalapa,Jalapa,Hombre,45,41,
Jalapa,Jalapa,Hombre,45,528,Población ocupada
Jalapa,Jalapa,Hombre,46,33,
Jalapa,Jalapa,Hombre,46,446,Población ocupada
Jalapa,Jalapa,Hombre,47,35,
Jalapa,Jalapa,Hombre,47,460,Población ocupada
Jalapa,Jalapa,Hombre,48,33,
Jalapa,Jalapa,Hombre,48,523,Población ocupada
Jalapa,Jalapa,Hombre,49,35,
Jalapa,Jalapa,Hombre,49,388,Población ocupada
Jalapa,Jalapa,Hombre,50,40,
Jalapa,Jalapa,Hombre,50,500,Población ocupada
Jalapa,Jalapa,Hombre,51,28,
Jalapa,Jalapa,Hombre,51,380,Población ocupada
Jalapa,Jalapa,Hombre,52,38,
Jalapa,Jalapa,Hombre,52,431,Población ocupada
Jalapa,Jalapa,Hombre,53,29,
Jalapa,Jalapa,Hombre,53,362,Población ocupada
Jalapa,Jalapa,Hombre,54,36,
Jalapa,Jalapa,Hombre,54,417,Población ocupada
Jalapa,Jalapa,Hombre,55,43,
Jalapa,Jalapa,Hombre,55,381,Población ocupada
Jalapa,Jalapa,Hombre,56,33,
Jalapa,Jalapa,Hombre,56,340,Población ocupada
Jalapa,Jalapa,Hombre,57,52,
Jalapa,Jalapa,Hombre,57,331,Población ocupada
Jalapa,Jalapa,Hombre,58,67,
Jalapa,Jalapa,Hombre,58,366,Población ocupada
Jalapa,Jalapa,Hombre,59,37,
Jalapa,Jalapa,Hombre,59,293,Población ocupada
Jalapa,Jalapa,Hombre,60,67,
Jalapa,Jalapa,Hombre,60,356,Población ocupada
Jalapa,Jalapa,Hombre,61,47,
Jalapa,Jalapa,Hombre,61,236,Población ocupada
Jalapa,Jalapa,Hombre,62,55,
Jalapa,Jalapa,Hombre,62,239,Población ocupada
Jalapa,Jalapa,Hombre,63,48,
Jalapa,Jalapa,Hombre,63,223,Población ocupada
Jalapa,Jalapa,Hombre,64,73,
Jalapa,Jalapa,Hombre,64,234,Población ocupada
Jalapa,Jalapa,Hombre,65,57,
Jalapa,Jalapa,Hombre,65,231,Población ocupada
Jalapa,Jalapa,Hombre,66,49,
Jalapa,Jalapa,Hombre,66,186,Población ocupada
Jalapa,Jalapa,Hombre,67,55,
Jalapa,Jalapa,Hombre,67,187,Población ocupada
Jalapa,Jalapa,Hombre,68,57,
Jalapa,Jalapa,Hombre,68,175,Población ocupada
Jalapa,Jalapa,Hombre,69,61,
Jalapa,Jalapa,Hombre,69,150,Población ocupada
Jalapa,Jalapa,Hombre,70,67,
Jalapa,Jalapa,Hombre,70,150,Población ocupada
Jalapa,Jalapa,Hombre,71,42,
Jalapa,Jalapa,Hombre,71,92,Población ocupada
Jalapa,Jalapa,Hombre,72,63,
Jalapa,Jalapa,Hombre,72,125,Población ocupada
Jalapa,Jalapa,Hombre,73,46,
Jalapa,Jalapa,Hombre,73,110,Población ocupada
Jalapa,Jalapa,Hombre,74,46,
Jalapa,Jalapa,Hombre,74,105,Población ocupada
Jalapa,Jalapa,Hombre,75,62,
Jalapa,Jalapa,Hombre,75,91,Población ocupada
Jalapa,Jalapa,Hombre,76,56,
Jalapa,Jalapa,Hombre,76,75,Población ocupada
Jalapa,Jalapa,Hombre,77,47,
Jalapa,Jalapa,Hombre,77,64,Población ocupada
Jalapa,Jalapa,Hombre,78,48,
Jalapa,Jalapa,Hombre,78,51,Población ocupada
Jalapa,Jalapa,Hombre,79,35,
Jalapa,Jalapa,Hombre,79,34,Población ocupada
Jalapa,Jalapa,Hombre,80,53,
Jalapa,Jalapa,Hombre,80,31,Población ocupada
Jalapa,Jalapa,Hombre,81,41,
Jalapa,Jalapa,Hombre,81,24,Población ocupada
Jalapa,Jalapa,Hombre,82,38,
Jalapa,Jalapa,Hombre,82,27,Población ocupada
Jalapa,Jalapa,Hombre,83,33,
Jalapa,Jalapa,Hombre,83,27,Población ocupada
Jalapa,Jalapa,Hombre,84,48,
Jalapa,Jalapa,Hombre,84,16,Población ocupada
Jalapa,Jalapa,Hombre,85,37,
Jalapa,Jalapa,Hombre,85,19,Población ocupada
Jalapa,Jalapa,Hombre,86,26,
Jalapa,Jalapa,Hombre,86,10,Población ocupada
Jalapa,Jalapa,Hombre,87,31,
Jalapa,Jalapa,Hombre,87,15,Población ocupada
Jalapa,Jalapa,Hombre,88,24,
Jalapa,Jalapa,Hombre,88,6,Población ocupada
Jalapa,Jalapa,Hombre,89,14,
Jalapa,Jalapa,Hombre,89,4,Población ocupada
Jalapa,Jalapa,Hombre,90,17,
Jalapa,Jalapa,Hombre,90,4,Población ocupada
Jalapa,Jalapa,Hombre,91,16,
Jalapa,Jalapa,Hombre,91,1,Población ocupada
Jalapa,Jalapa,Hombre,92,9,
Jalapa,Jalapa,Hombre,92,3,Población ocupada
Jalapa,Jalapa,Hombre,93,7,
Jalapa,Jalapa,Hombre,93,2,Población ocupada
Jalapa,Jalapa,Hombre,94,7,
Jalapa,Jalapa,Hombre,94,2,Población ocupada
Jalapa,Jalapa,Hombre,95,8,
Jalapa,Jalapa,Hombre,95,2,Población ocupada
Jalapa,Jalapa,Hombre,96,7,
Jalapa,Jalapa,Hombre,96,1,Población ocupada
Jalapa,Jalapa,Hombre,97,4,
Jalapa,Jalapa,Hombre,98,4,
Jalapa,Jalapa,Hombre,98,2,Población ocupada
Jalapa,Jalapa,Hombre,100,2,
Jalapa,Jalapa,Mujer,0,1968,
Jalapa,Jalapa,Mujer,1,1918,
Jalapa,Jalapa,Mujer,2,2135,
Jalapa,Jalapa,Mujer,3,2090,
Jalapa,Jalapa,Mujer,4,2121,
Jalapa,Jalapa,Mujer,5,2130,
Jalapa,Jalapa,Mujer,6,1979,
Jalapa,Jalapa,Mujer,7,1939,
Jalapa,Jalapa,Mujer,7,17,Población ocupada
Jalapa,Jalapa,Mujer,8,1870,
Jalapa,Jalapa,Mujer,8,14,Población ocupada
Jalapa,Jalapa,Mujer,9,1894,
Jalapa,Jalapa,Mujer,9,17,Población ocupada
Jalapa,Jalapa,Mujer,10,1887,
Jalapa,Jalapa,Mujer,10,17,Población ocupada
Jalapa,Jalapa,Mujer,11,1898,
Jalapa,Jalapa,Mujer,11,28,Población ocupada
Jalapa,Jalapa,Mujer,12,1856,
Jalapa,Jalapa,Mujer,12,30,Población ocupada
