NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP16_B||Dificultad Oído
Huehuetenango,Aguacatán,Hombre,0,562,
Huehuetenango,Aguacatán,Hombre,1,595,
Huehuetenango,Aguacatán,Hombre,2,588,
Huehuetenango,Aguacatán,Hombre,3,596,
Huehuetenango,Aguacatán,Hombre,4,21,No declarado
Huehuetenango,Aguacatán,Hombre,4,586,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,4,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,5,4,No declarado
Huehuetenango,Aguacatán,Hombre,5,1,No puede
Huehuetenango,Aguacatán,Hombre,5,568,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,6,6,No declarado
Huehuetenango,Aguacatán,Hombre,6,588,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,6,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,7,4,No declarado
Huehuetenango,Aguacatán,Hombre,7,592,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,7,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,8,1,No declarado
Huehuetenango,Aguacatán,Hombre,8,556,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,8,3,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,8,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,9,6,No declarado
Huehuetenango,Aguacatán,Hombre,9,565,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,9,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,9,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,10,9,No declarado
Huehuetenango,Aguacatán,Hombre,10,1,No puede
Huehuetenango,Aguacatán,Hombre,10,539,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,10,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,10,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,11,1,No declarado
Huehuetenango,Aguacatán,Hombre,11,580,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,11,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,12,574,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,12,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,12,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,13,3,No declarado
Huehuetenango,Aguacatán,Hombre,13,567,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,13,5,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,13,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,14,2,No declarado
Huehuetenango,Aguacatán,Hombre,14,595,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,14,6,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,15,4,No declarado
Huehuetenango,Aguacatán,Hombre,15,580,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,15,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,15,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,16,2,No declarado
Huehuetenango,Aguacatán,Hombre,16,592,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,16,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,16,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,17,2,No declarado
Huehuetenango,Aguacatán,Hombre,17,507,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,17,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,17,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,18,1,No declarado
Huehuetenango,Aguacatán,Hombre,18,1,No puede
Huehuetenango,Aguacatán,Hombre,18,514,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,18,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,18,4,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,19,6,No declarado
Huehuetenango,Aguacatán,Hombre,19,422,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,19,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,19,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,20,4,No declarado
Huehuetenango,Aguacatán,Hombre,20,411,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,20,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,21,2,No declarado
Huehuetenango,Aguacatán,Hombre,21,1,No puede
Huehuetenango,Aguacatán,Hombre,21,369,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,21,3,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,22,1,No puede
Huehuetenango,Aguacatán,Hombre,22,422,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,22,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,22,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,23,4,No declarado
Huehuetenango,Aguacatán,Hombre,23,1,No puede
Huehuetenango,Aguacatán,Hombre,23,399,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,23,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,23,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,24,1,No puede
Huehuetenango,Aguacatán,Hombre,24,399,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,24,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,24,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,25,1,No declarado
Huehuetenango,Aguacatán,Hombre,25,2,No puede
Huehuetenango,Aguacatán,Hombre,25,353,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,25,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,25,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,26,3,No declarado
Huehuetenango,Aguacatán,Hombre,26,339,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,26,4,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,26,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,27,2,No declarado
Huehuetenango,Aguacatán,Hombre,27,3,No puede
Huehuetenango,Aguacatán,Hombre,27,309,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,27,3,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,27,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,28,3,No declarado
Huehuetenango,Aguacatán,Hombre,28,1,No puede
Huehuetenango,Aguacatán,Hombre,28,294,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,28,3,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,28,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,29,3,No declarado
Huehuetenango,Aguacatán,Hombre,29,268,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,29,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,30,3,No declarado
Huehuetenango,Aguacatán,Hombre,30,256,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,30,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,30,3,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,31,1,No puede
Huehuetenango,Aguacatán,Hombre,31,228,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,31,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,32,3,No declarado
Huehuetenango,Aguacatán,Hombre,32,219,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,32,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,32,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,33,4,No declarado
Huehuetenango,Aguacatán,Hombre,33,189,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,33,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,33,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,34,1,No declarado
Huehuetenango,Aguacatán,Hombre,34,1,No puede
Huehuetenango,Aguacatán,Hombre,34,203,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,35,1,No declarado
Huehuetenango,Aguacatán,Hombre,35,1,No puede
Huehuetenango,Aguacatán,Hombre,35,184,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,35,3,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,36,229,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,36,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,36,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,37,207,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,37,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,38,1,No declarado
Huehuetenango,Aguacatán,Hombre,38,206,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,38,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,38,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,39,1,No declarado
Huehuetenango,Aguacatán,Hombre,39,1,No puede
Huehuetenango,Aguacatán,Hombre,39,197,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,39,4,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,40,213,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,40,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,40,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,41,1,No declarado
Huehuetenango,Aguacatán,Hombre,41,205,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,41,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,42,1,No declarado
Huehuetenango,Aguacatán,Hombre,42,1,No puede
Huehuetenango,Aguacatán,Hombre,42,172,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,42,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,43,176,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,43,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,44,167,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,44,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,45,1,No declarado
Huehuetenango,Aguacatán,Hombre,45,183,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,45,3,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,45,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,46,1,No puede
Huehuetenango,Aguacatán,Hombre,46,173,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,46,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,46,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,47,1,No puede
Huehuetenango,Aguacatán,Hombre,47,166,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,47,4,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,47,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,48,175,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,48,3,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,48,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,49,1,No puede
Huehuetenango,Aguacatán,Hombre,49,157,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,49,3,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,49,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,50,1,No declarado
Huehuetenango,Aguacatán,Hombre,50,157,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,50,6,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,50,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,51,1,No declarado
Huehuetenango,Aguacatán,Hombre,51,136,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,51,8,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,52,153,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,52,8,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,52,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,53,134,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,53,5,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,53,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,54,1,No declarado
Huehuetenango,Aguacatán,Hombre,54,109,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,54,6,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,54,3,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,55,119,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,55,6,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,56,120,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,56,3,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,57,1,No declarado
Huehuetenango,Aguacatán,Hombre,57,130,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,57,7,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,58,2,No puede
Huehuetenango,Aguacatán,Hombre,58,126,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,58,5,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,58,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,59,136,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,59,8,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,60,1,No declarado
Huehuetenango,Aguacatán,Hombre,60,140,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,60,8,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,60,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,61,1,No puede
Huehuetenango,Aguacatán,Hombre,61,96,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,61,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,62,2,No declarado
Huehuetenango,Aguacatán,Hombre,62,90,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,62,8,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,62,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,63,1,No puede
Huehuetenango,Aguacatán,Hombre,63,106,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,63,9,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,63,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,64,107,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,64,8,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,65,3,No declarado
Huehuetenango,Aguacatán,Hombre,65,94,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,65,8,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,65,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,66,71,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,66,10,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,66,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,67,1,No puede
Huehuetenango,Aguacatán,Hombre,67,81,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,67,9,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,67,3,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,68,2,No declarado
Huehuetenango,Aguacatán,Hombre,68,85,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,68,15,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,68,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,69,5,No declarado
Huehuetenango,Aguacatán,Hombre,69,80,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,69,14,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,69,3,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,70,1,No declarado
Huehuetenango,Aguacatán,Hombre,70,102,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,70,16,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,70,3,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,71,54,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,71,15,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,71,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,72,1,No declarado
Huehuetenango,Aguacatán,Hombre,72,72,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,72,9,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,72,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,73,51,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,73,21,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,73,6,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,74,60,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,74,14,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,74,4,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,75,43,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,75,11,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,75,3,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,76,1,No puede
Huehuetenango,Aguacatán,Hombre,76,31,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,76,10,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,76,6,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,77,1,No declarado
Huehuetenango,Aguacatán,Hombre,77,40,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,77,9,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,77,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,78,1,No puede
Huehuetenango,Aguacatán,Hombre,78,41,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,78,12,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,78,5,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,79,1,No puede
Huehuetenango,Aguacatán,Hombre,79,27,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,79,21,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,79,6,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,80,29,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,80,17,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,80,11,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,81,1,No declarado
Huehuetenango,Aguacatán,Hombre,81,1,No puede
Huehuetenango,Aguacatán,Hombre,81,24,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,81,15,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,81,4,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,82,1,No puede
Huehuetenango,Aguacatán,Hombre,82,15,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,82,10,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,82,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,83,19,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,83,11,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,83,3,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,84,18,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,84,10,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,84,9,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,85,14,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,85,10,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,85,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,86,6,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,86,8,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,86,7,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,87,2,No puede
Huehuetenango,Aguacatán,Hombre,87,10,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,87,15,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,87,3,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,88,3,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,88,17,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,88,6,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,89,5,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,89,7,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,89,4,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,90,1,No puede
Huehuetenango,Aguacatán,Hombre,90,2,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,90,4,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,90,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,91,2,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,91,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,91,4,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,92,2,No puede
Huehuetenango,Aguacatán,Hombre,92,6,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,92,3,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,93,1,No declarado
Huehuetenango,Aguacatán,Hombre,93,1,No puede
Huehuetenango,Aguacatán,Hombre,93,4,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,93,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,93,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,94,1,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,94,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,94,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,95,1,No puede
Huehuetenango,Aguacatán,Hombre,95,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,95,2,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,96,1,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,96,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Hombre,97,1,No puede
Huehuetenango,Aguacatán,Hombre,97,1,"No, sin dificultad"
Huehuetenango,Aguacatán,Hombre,98,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Hombre,103,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Mujer,0,571,
Huehuetenango,Aguacatán,Mujer,1,584,
Huehuetenango,Aguacatán,Mujer,2,639,
Huehuetenango,Aguacatán,Mujer,3,618,
Huehuetenango,Aguacatán,Mujer,4,28,No declarado
Huehuetenango,Aguacatán,Mujer,4,549,"No, sin dificultad"
Huehuetenango,Aguacatán,Mujer,5,6,No declarado
Huehuetenango,Aguacatán,Mujer,5,586,"No, sin dificultad"
Huehuetenango,Aguacatán,Mujer,5,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Mujer,6,3,No declarado
Huehuetenango,Aguacatán,Mujer,6,1,No puede
Huehuetenango,Aguacatán,Mujer,6,563,"No, sin dificultad"
Huehuetenango,Aguacatán,Mujer,6,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Mujer,7,6,No declarado
Huehuetenango,Aguacatán,Mujer,7,610,"No, sin dificultad"
Huehuetenango,Aguacatán,Mujer,7,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Mujer,8,4,No declarado
Huehuetenango,Aguacatán,Mujer,8,1,No puede
Huehuetenango,Aguacatán,Mujer,8,570,"No, sin dificultad"
Huehuetenango,Aguacatán,Mujer,8,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Mujer,9,3,No declarado
Huehuetenango,Aguacatán,Mujer,9,550,"No, sin dificultad"
Huehuetenango,Aguacatán,Mujer,9,5,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Mujer,10,5,No declarado
Huehuetenango,Aguacatán,Mujer,10,557,"No, sin dificultad"
Huehuetenango,Aguacatán,Mujer,10,3,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Mujer,10,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Mujer,11,4,No declarado
Huehuetenango,Aguacatán,Mujer,11,586,"No, sin dificultad"
Huehuetenango,Aguacatán,Mujer,11,3,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Mujer,11,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Mujer,12,3,No declarado
Huehuetenango,Aguacatán,Mujer,12,1,No puede
Huehuetenango,Aguacatán,Mujer,12,551,"No, sin dificultad"
Huehuetenango,Aguacatán,Mujer,13,5,No declarado
Huehuetenango,Aguacatán,Mujer,13,2,No puede
Huehuetenango,Aguacatán,Mujer,13,572,"No, sin dificultad"
Huehuetenango,Aguacatán,Mujer,13,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Mujer,13,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Mujer,14,4,No declarado
Huehuetenango,Aguacatán,Mujer,14,1,No puede
Huehuetenango,Aguacatán,Mujer,14,556,"No, sin dificultad"
Huehuetenango,Aguacatán,Mujer,14,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Mujer,14,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Mujer,15,5,No declarado
Huehuetenango,Aguacatán,Mujer,15,628,"No, sin dificultad"
Huehuetenango,Aguacatán,Mujer,15,3,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Mujer,15,1,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Mujer,16,2,No declarado
Huehuetenango,Aguacatán,Mujer,16,604,"No, sin dificultad"
Huehuetenango,Aguacatán,Mujer,16,1,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Mujer,16,3,"Sí, con mucha dificultad"
Huehuetenango,Aguacatán,Mujer,17,3,No declarado
Huehuetenango,Aguacatán,Mujer,17,1,No puede
Huehuetenango,Aguacatán,Mujer,17,645,"No, sin dificultad"
Huehuetenango,Aguacatán,Mujer,17,2,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Mujer,18,5,No declarado
Huehuetenango,Aguacatán,Mujer,18,672,"No, sin dificultad"
Huehuetenango,Aguacatán,Mujer,18,3,"Sí, con algo de dificultad"
Huehuetenango,Aguacatán,Mujer,19,3,No declarado
