NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP16_F||Dificultad para comunicarse
San Marcos,Ayutla,Hombre,0,435,
San Marcos,Ayutla,Hombre,1,453,
San Marcos,Ayutla,Hombre,2,434,
San Marcos,Ayutla,Hombre,3,476,
San Marcos,Ayutla,Hombre,4,38,No declarado
San Marcos,Ayutla,Hombre,4,344,"No, sin dificultad"
San Marcos,Ayutla,Hombre,4,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,4,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,5,17,No declarado
San Marcos,Ayutla,Hombre,5,431,"No, sin dificultad"
San Marcos,Ayutla,Hombre,5,2,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,5,2,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,6,11,No declarado
San Marcos,Ayutla,Hombre,6,1,No puede
San Marcos,Ayutla,Hombre,6,469,"No, sin dificultad"
San Marcos,Ayutla,Hombre,6,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,6,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,7,12,No declarado
San Marcos,Ayutla,Hombre,7,430,"No, sin dificultad"
San Marcos,Ayutla,Hombre,7,2,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,7,6,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,8,9,No declarado
San Marcos,Ayutla,Hombre,8,2,No puede
San Marcos,Ayutla,Hombre,8,422,"No, sin dificultad"
San Marcos,Ayutla,Hombre,8,3,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,8,4,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,9,9,No declarado
San Marcos,Ayutla,Hombre,9,3,No puede
San Marcos,Ayutla,Hombre,9,374,"No, sin dificultad"
San Marcos,Ayutla,Hombre,9,2,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,10,6,No declarado
San Marcos,Ayutla,Hombre,10,381,"No, sin dificultad"
San Marcos,Ayutla,Hombre,10,2,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,10,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,11,7,No declarado
San Marcos,Ayutla,Hombre,11,2,No puede
San Marcos,Ayutla,Hombre,11,340,"No, sin dificultad"
San Marcos,Ayutla,Hombre,11,1,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,11,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,12,5,No declarado
San Marcos,Ayutla,Hombre,12,2,No puede
San Marcos,Ayutla,Hombre,12,383,"No, sin dificultad"
San Marcos,Ayutla,Hombre,12,3,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,13,6,No declarado
San Marcos,Ayutla,Hombre,13,348,"No, sin dificultad"
San Marcos,Ayutla,Hombre,13,2,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,13,3,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,14,8,No declarado
San Marcos,Ayutla,Hombre,14,3,No puede
San Marcos,Ayutla,Hombre,14,367,"No, sin dificultad"
San Marcos,Ayutla,Hombre,14,2,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,14,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,15,8,No declarado
San Marcos,Ayutla,Hombre,15,1,No puede
San Marcos,Ayutla,Hombre,15,365,"No, sin dificultad"
San Marcos,Ayutla,Hombre,15,2,"Sí, con algo de dificultad"
San Marcos,Ayutla,Hombre,15,4,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,16,4,No declarado
San Marcos,Ayutla,Hombre,16,2,No puede
San Marcos,Ayutla,Hombre,16,392,"No, sin dificultad"
San Marcos,Ayutla,Hombre,16,1,"Sí, con mucha dificultad"
San Marcos,Ayutla,Hombre,17,10,No declarado
