NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,PCH9_I||Tiene Servicio de Internet,Recuento de PCH9_I
Jalapa,Jalapa,Hombre,0,No,28625
Jalapa,Jalapa,Hombre,0,Sí,4791
Jalapa,Jalapa,Hombre,1,No,28625
Jalapa,Jalapa,Hombre,1,Sí,4791
Jalapa,Jalapa,Hombre,2,No,28625
Jalapa,Jalapa,Hombre,2,Sí,4791
Jalapa,Jalapa,Hombre,3,No,28625
Jalapa,Jalapa,Hombre,3,Sí,4791
Jalapa,Jalapa,Hombre,4,No,28625
Jalapa,Jalapa,Hombre,4,Sí,4791
Jalapa,Jalapa,Hombre,5,No,28625
Jalapa,Jalapa,Hombre,5,Sí,4791
Jalapa,Jalapa,Hombre,6,No,28625
Jalapa,Jalapa,Hombre,6,Sí,4791
Jalapa,Jalapa,Hombre,7,No,28625
Jalapa,Jalapa,Hombre,7,Sí,4791
Jalapa,Jalapa,Hombre,8,No,28625
Jalapa,Jalapa,Hombre,8,Sí,4791
Jalapa,Jalapa,Hombre,9,No,28625
Jalapa,Jalapa,Hombre,9,Sí,4791
Jalapa,Jalapa,Hombre,10,No,28625
Jalapa,Jalapa,Hombre,10,Sí,4791
Jalapa,Jalapa,Hombre,11,No,28625
Jalapa,Jalapa,Hombre,11,Sí,4791
Jalapa,Jalapa,Hombre,12,No,28625
Jalapa,Jalapa,Hombre,12,Sí,4791
Jalapa,Jalapa,Hombre,13,No,28625
Jalapa,Jalapa,Hombre,13,Sí,4791
Jalapa,Jalapa,Hombre,14,No,28625
Jalapa,Jalapa,Hombre,14,Sí,4791
Jalapa,Jalapa,Hombre,15,No,28625
Jalapa,Jalapa,Hombre,15,Sí,4791
Jalapa,Jalapa,Hombre,16,No,28625
Jalapa,Jalapa,Hombre,16,Sí,4791
Jalapa,Jalapa,Hombre,17,No,28625
Jalapa,Jalapa,Hombre,17,Sí,4791
Jalapa,Jalapa,Hombre,18,No,28625
Jalapa,Jalapa,Hombre,18,Sí,4791
Jalapa,Jalapa,Hombre,19,No,28625
Jalapa,Jalapa,Hombre,19,Sí,4791
Jalapa,Jalapa,Hombre,20,No,28625
Jalapa,Jalapa,Hombre,20,Sí,4791
Jalapa,Jalapa,Hombre,21,No,28625
Jalapa,Jalapa,Hombre,21,Sí,4791
Jalapa,Jalapa,Hombre,22,No,28625
Jalapa,Jalapa,Hombre,22,Sí,4791
Jalapa,Jalapa,Hombre,23,No,28625
