NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP17_A||Nivel Estudio Aprobado
Huehuetenango,Aguacatán,Hombre,0,562,
Huehuetenango,Aguacatán,Hombre,1,595,
Huehuetenango,Aguacatán,Hombre,2,588,
Huehuetenango,Aguacatán,Hombre,3,596,
Huehuetenango,Aguacatán,Hombre,4,599,Ninguno
Huehuetenango,Aguacatán,Hombre,4,9,Preprimaria
Huehuetenango,Aguacatán,Hombre,5,499,Ninguno
Huehuetenango,Aguacatán,Hombre,5,74,Preprimaria
Huehuetenango,Aguacatán,Hombre,6,282,Ninguno
Huehuetenango,Aguacatán,Hombre,6,297,Preprimaria
Huehuetenango,Aguacatán,Hombre,6,16,Primaria
Huehuetenango,Aguacatán,Hombre,7,75,Ninguno
Huehuetenango,Aguacatán,Hombre,7,268,Preprimaria
Huehuetenango,Aguacatán,Hombre,7,255,Primaria
Huehuetenango,Aguacatán,Hombre,8,37,Ninguno
Huehuetenango,Aguacatán,Hombre,8,94,Preprimaria
Huehuetenango,Aguacatán,Hombre,8,430,Primaria
Huehuetenango,Aguacatán,Hombre,9,23,Ninguno
Huehuetenango,Aguacatán,Hombre,9,28,Preprimaria
Huehuetenango,Aguacatán,Hombre,9,523,Primaria
Huehuetenango,Aguacatán,Hombre,10,18,Ninguno
Huehuetenango,Aguacatán,Hombre,10,8,Preprimaria
Huehuetenango,Aguacatán,Hombre,10,527,Primaria
Huehuetenango,Aguacatán,Hombre,11,10,Ninguno
Huehuetenango,Aguacatán,Hombre,11,10,Preprimaria
Huehuetenango,Aguacatán,Hombre,11,562,Primaria
Huehuetenango,Aguacatán,Hombre,12,12,Ninguno
Huehuetenango,Aguacatán,Hombre,12,14,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,12,2,Preprimaria
Huehuetenango,Aguacatán,Hombre,12,549,Primaria
Huehuetenango,Aguacatán,Hombre,13,20,Ninguno
Huehuetenango,Aguacatán,Hombre,13,78,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,13,2,Preprimaria
Huehuetenango,Aguacatán,Hombre,13,476,Primaria
Huehuetenango,Aguacatán,Hombre,14,17,Ninguno
Huehuetenango,Aguacatán,Hombre,14,124,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,14,4,Preprimaria
Huehuetenango,Aguacatán,Hombre,14,458,Primaria
Huehuetenango,Aguacatán,Hombre,15,15,Ninguno
Huehuetenango,Aguacatán,Hombre,15,168,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,15,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,15,403,Primaria
Huehuetenango,Aguacatán,Hombre,16,18,Ninguno
Huehuetenango,Aguacatán,Hombre,16,172,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,16,3,Preprimaria
Huehuetenango,Aguacatán,Hombre,16,405,Primaria
Huehuetenango,Aguacatán,Hombre,17,22,Ninguno
Huehuetenango,Aguacatán,Hombre,17,162,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,17,329,Primaria
Huehuetenango,Aguacatán,Hombre,18,9,Licenciatura
Huehuetenango,Aguacatán,Hombre,18,20,Ninguno
Huehuetenango,Aguacatán,Hombre,18,192,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,18,2,Preprimaria
Huehuetenango,Aguacatán,Hombre,18,298,Primaria
Huehuetenango,Aguacatán,Hombre,19,15,Licenciatura
Huehuetenango,Aguacatán,Hombre,19,12,Ninguno
Huehuetenango,Aguacatán,Hombre,19,161,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,19,243,Primaria
Huehuetenango,Aguacatán,Hombre,20,18,Licenciatura
Huehuetenango,Aguacatán,Hombre,20,17,Ninguno
Huehuetenango,Aguacatán,Hombre,20,156,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,20,225,Primaria
Huehuetenango,Aguacatán,Hombre,21,26,Licenciatura
Huehuetenango,Aguacatán,Hombre,21,17,Ninguno
Huehuetenango,Aguacatán,Hombre,21,150,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,21,182,Primaria
Huehuetenango,Aguacatán,Hombre,22,25,Licenciatura
Huehuetenango,Aguacatán,Hombre,22,28,Ninguno
Huehuetenango,Aguacatán,Hombre,22,142,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,22,2,Preprimaria
Huehuetenango,Aguacatán,Hombre,22,229,Primaria
Huehuetenango,Aguacatán,Hombre,23,27,Licenciatura
Huehuetenango,Aguacatán,Hombre,23,33,Ninguno
Huehuetenango,Aguacatán,Hombre,23,140,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,23,3,Preprimaria
Huehuetenango,Aguacatán,Hombre,23,203,Primaria
Huehuetenango,Aguacatán,Hombre,24,2,Doctorado
Huehuetenango,Aguacatán,Hombre,24,22,Licenciatura
Huehuetenango,Aguacatán,Hombre,24,2,Maestría
Huehuetenango,Aguacatán,Hombre,24,34,Ninguno
Huehuetenango,Aguacatán,Hombre,24,138,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,24,4,Preprimaria
Huehuetenango,Aguacatán,Hombre,24,201,Primaria
Huehuetenango,Aguacatán,Hombre,25,27,Licenciatura
Huehuetenango,Aguacatán,Hombre,25,29,Ninguno
Huehuetenango,Aguacatán,Hombre,25,106,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,25,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,25,196,Primaria
Huehuetenango,Aguacatán,Hombre,26,17,Licenciatura
Huehuetenango,Aguacatán,Hombre,26,3,Maestría
Huehuetenango,Aguacatán,Hombre,26,36,Ninguno
Huehuetenango,Aguacatán,Hombre,26,114,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,26,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,26,176,Primaria
Huehuetenango,Aguacatán,Hombre,27,14,Licenciatura
Huehuetenango,Aguacatán,Hombre,27,2,Maestría
Huehuetenango,Aguacatán,Hombre,27,34,Ninguno
Huehuetenango,Aguacatán,Hombre,27,110,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,27,2,Preprimaria
Huehuetenango,Aguacatán,Hombre,27,156,Primaria
Huehuetenango,Aguacatán,Hombre,28,19,Licenciatura
Huehuetenango,Aguacatán,Hombre,28,2,Maestría
Huehuetenango,Aguacatán,Hombre,28,39,Ninguno
Huehuetenango,Aguacatán,Hombre,28,85,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,28,2,Preprimaria
Huehuetenango,Aguacatán,Hombre,28,155,Primaria
Huehuetenango,Aguacatán,Hombre,29,14,Licenciatura
Huehuetenango,Aguacatán,Hombre,29,32,Ninguno
Huehuetenango,Aguacatán,Hombre,29,56,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,29,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,29,169,Primaria
Huehuetenango,Aguacatán,Hombre,30,20,Licenciatura
Huehuetenango,Aguacatán,Hombre,30,42,Ninguno
Huehuetenango,Aguacatán,Hombre,30,58,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,30,5,Preprimaria
Huehuetenango,Aguacatán,Hombre,30,138,Primaria
Huehuetenango,Aguacatán,Hombre,31,10,Licenciatura
Huehuetenango,Aguacatán,Hombre,31,2,Maestría
Huehuetenango,Aguacatán,Hombre,31,38,Ninguno
Huehuetenango,Aguacatán,Hombre,31,44,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,31,2,Preprimaria
Huehuetenango,Aguacatán,Hombre,31,135,Primaria
Huehuetenango,Aguacatán,Hombre,32,12,Licenciatura
Huehuetenango,Aguacatán,Hombre,32,2,Maestría
Huehuetenango,Aguacatán,Hombre,32,28,Ninguno
Huehuetenango,Aguacatán,Hombre,32,47,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,32,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,32,134,Primaria
Huehuetenango,Aguacatán,Hombre,33,9,Licenciatura
Huehuetenango,Aguacatán,Hombre,33,35,Ninguno
Huehuetenango,Aguacatán,Hombre,33,33,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,33,3,Preprimaria
Huehuetenango,Aguacatán,Hombre,33,116,Primaria
Huehuetenango,Aguacatán,Hombre,34,8,Licenciatura
Huehuetenango,Aguacatán,Hombre,34,41,Ninguno
Huehuetenango,Aguacatán,Hombre,34,39,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,34,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,34,116,Primaria
Huehuetenango,Aguacatán,Hombre,35,8,Licenciatura
Huehuetenango,Aguacatán,Hombre,35,2,Maestría
Huehuetenango,Aguacatán,Hombre,35,49,Ninguno
Huehuetenango,Aguacatán,Hombre,35,30,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,35,3,Preprimaria
Huehuetenango,Aguacatán,Hombre,35,97,Primaria
Huehuetenango,Aguacatán,Hombre,36,7,Licenciatura
Huehuetenango,Aguacatán,Hombre,36,45,Ninguno
Huehuetenango,Aguacatán,Hombre,36,35,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,36,4,Preprimaria
Huehuetenango,Aguacatán,Hombre,36,141,Primaria
Huehuetenango,Aguacatán,Hombre,37,7,Licenciatura
Huehuetenango,Aguacatán,Hombre,37,1,Maestría
Huehuetenango,Aguacatán,Hombre,37,46,Ninguno
Huehuetenango,Aguacatán,Hombre,37,30,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,37,5,Preprimaria
Huehuetenango,Aguacatán,Hombre,37,120,Primaria
Huehuetenango,Aguacatán,Hombre,38,10,Licenciatura
Huehuetenango,Aguacatán,Hombre,38,1,Maestría
Huehuetenango,Aguacatán,Hombre,38,49,Ninguno
Huehuetenango,Aguacatán,Hombre,38,20,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,38,2,Preprimaria
Huehuetenango,Aguacatán,Hombre,38,127,Primaria
Huehuetenango,Aguacatán,Hombre,39,5,Licenciatura
Huehuetenango,Aguacatán,Hombre,39,60,Ninguno
Huehuetenango,Aguacatán,Hombre,39,14,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,39,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,39,123,Primaria
Huehuetenango,Aguacatán,Hombre,40,5,Licenciatura
Huehuetenango,Aguacatán,Hombre,40,41,Ninguno
Huehuetenango,Aguacatán,Hombre,40,31,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,40,2,Preprimaria
Huehuetenango,Aguacatán,Hombre,40,137,Primaria
Huehuetenango,Aguacatán,Hombre,41,4,Licenciatura
Huehuetenango,Aguacatán,Hombre,41,3,Maestría
Huehuetenango,Aguacatán,Hombre,41,54,Ninguno
Huehuetenango,Aguacatán,Hombre,41,26,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,41,3,Preprimaria
Huehuetenango,Aguacatán,Hombre,41,118,Primaria
Huehuetenango,Aguacatán,Hombre,42,6,Licenciatura
Huehuetenango,Aguacatán,Hombre,42,1,Maestría
Huehuetenango,Aguacatán,Hombre,42,42,Ninguno
Huehuetenango,Aguacatán,Hombre,42,22,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,42,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,42,103,Primaria
Huehuetenango,Aguacatán,Hombre,43,7,Licenciatura
Huehuetenango,Aguacatán,Hombre,43,37,Ninguno
Huehuetenango,Aguacatán,Hombre,43,18,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,43,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,43,115,Primaria
Huehuetenango,Aguacatán,Hombre,44,1,Licenciatura
Huehuetenango,Aguacatán,Hombre,44,41,Ninguno
Huehuetenango,Aguacatán,Hombre,44,22,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,44,2,Preprimaria
Huehuetenango,Aguacatán,Hombre,44,103,Primaria
Huehuetenango,Aguacatán,Hombre,45,5,Licenciatura
Huehuetenango,Aguacatán,Hombre,45,53,Ninguno
Huehuetenango,Aguacatán,Hombre,45,21,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,45,3,Preprimaria
Huehuetenango,Aguacatán,Hombre,45,107,Primaria
Huehuetenango,Aguacatán,Hombre,46,10,Licenciatura
Huehuetenango,Aguacatán,Hombre,46,45,Ninguno
Huehuetenango,Aguacatán,Hombre,46,19,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,46,2,Preprimaria
Huehuetenango,Aguacatán,Hombre,46,100,Primaria
Huehuetenango,Aguacatán,Hombre,47,8,Licenciatura
Huehuetenango,Aguacatán,Hombre,47,52,Ninguno
Huehuetenango,Aguacatán,Hombre,47,22,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,47,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,47,89,Primaria
Huehuetenango,Aguacatán,Hombre,48,1,Doctorado
Huehuetenango,Aguacatán,Hombre,48,8,Licenciatura
Huehuetenango,Aguacatán,Hombre,48,2,Maestría
Huehuetenango,Aguacatán,Hombre,48,51,Ninguno
Huehuetenango,Aguacatán,Hombre,48,11,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,48,3,Preprimaria
Huehuetenango,Aguacatán,Hombre,48,103,Primaria
Huehuetenango,Aguacatán,Hombre,49,1,Licenciatura
Huehuetenango,Aguacatán,Hombre,49,56,Ninguno
Huehuetenango,Aguacatán,Hombre,49,20,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,49,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,49,85,Primaria
Huehuetenango,Aguacatán,Hombre,50,4,Licenciatura
Huehuetenango,Aguacatán,Hombre,50,1,Maestría
Huehuetenango,Aguacatán,Hombre,50,51,Ninguno
Huehuetenango,Aguacatán,Hombre,50,13,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,50,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,50,96,Primaria
Huehuetenango,Aguacatán,Hombre,51,1,Licenciatura
Huehuetenango,Aguacatán,Hombre,51,50,Ninguno
Huehuetenango,Aguacatán,Hombre,51,11,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,51,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,51,82,Primaria
Huehuetenango,Aguacatán,Hombre,52,1,Doctorado
Huehuetenango,Aguacatán,Hombre,52,4,Licenciatura
Huehuetenango,Aguacatán,Hombre,52,49,Ninguno
Huehuetenango,Aguacatán,Hombre,52,20,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,52,2,Preprimaria
Huehuetenango,Aguacatán,Hombre,52,86,Primaria
Huehuetenango,Aguacatán,Hombre,53,3,Licenciatura
Huehuetenango,Aguacatán,Hombre,53,1,Maestría
Huehuetenango,Aguacatán,Hombre,53,55,Ninguno
Huehuetenango,Aguacatán,Hombre,53,12,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,53,4,Preprimaria
Huehuetenango,Aguacatán,Hombre,53,65,Primaria
Huehuetenango,Aguacatán,Hombre,54,2,Licenciatura
Huehuetenango,Aguacatán,Hombre,54,39,Ninguno
Huehuetenango,Aguacatán,Hombre,54,6,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,54,3,Preprimaria
Huehuetenango,Aguacatán,Hombre,54,69,Primaria
Huehuetenango,Aguacatán,Hombre,55,1,Doctorado
Huehuetenango,Aguacatán,Hombre,55,5,Licenciatura
Huehuetenango,Aguacatán,Hombre,55,1,Maestría
Huehuetenango,Aguacatán,Hombre,55,52,Ninguno
Huehuetenango,Aguacatán,Hombre,55,9,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,55,57,Primaria
Huehuetenango,Aguacatán,Hombre,56,3,Licenciatura
Huehuetenango,Aguacatán,Hombre,56,47,Ninguno
Huehuetenango,Aguacatán,Hombre,56,10,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,56,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,56,62,Primaria
Huehuetenango,Aguacatán,Hombre,57,2,Licenciatura
Huehuetenango,Aguacatán,Hombre,57,1,Maestría
Huehuetenango,Aguacatán,Hombre,57,65,Ninguno
Huehuetenango,Aguacatán,Hombre,57,7,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,57,63,Primaria
Huehuetenango,Aguacatán,Hombre,58,5,Licenciatura
Huehuetenango,Aguacatán,Hombre,58,63,Ninguno
Huehuetenango,Aguacatán,Hombre,58,8,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,58,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,58,57,Primaria
Huehuetenango,Aguacatán,Hombre,59,1,Licenciatura
Huehuetenango,Aguacatán,Hombre,59,61,Ninguno
Huehuetenango,Aguacatán,Hombre,59,7,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,59,3,Preprimaria
Huehuetenango,Aguacatán,Hombre,59,72,Primaria
Huehuetenango,Aguacatán,Hombre,60,2,Licenciatura
Huehuetenango,Aguacatán,Hombre,60,1,Maestría
Huehuetenango,Aguacatán,Hombre,60,84,Ninguno
Huehuetenango,Aguacatán,Hombre,60,8,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,60,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,60,55,Primaria
Huehuetenango,Aguacatán,Hombre,61,2,Licenciatura
Huehuetenango,Aguacatán,Hombre,61,58,Ninguno
Huehuetenango,Aguacatán,Hombre,61,3,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,61,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,61,35,Primaria
Huehuetenango,Aguacatán,Hombre,62,1,Licenciatura
Huehuetenango,Aguacatán,Hombre,62,53,Ninguno
Huehuetenango,Aguacatán,Hombre,62,7,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,62,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,62,39,Primaria
Huehuetenango,Aguacatán,Hombre,63,1,Doctorado
Huehuetenango,Aguacatán,Hombre,63,4,Licenciatura
Huehuetenango,Aguacatán,Hombre,63,75,Ninguno
Huehuetenango,Aguacatán,Hombre,63,7,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,63,31,Primaria
Huehuetenango,Aguacatán,Hombre,64,80,Ninguno
Huehuetenango,Aguacatán,Hombre,64,6,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,64,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,64,28,Primaria
Huehuetenango,Aguacatán,Hombre,65,2,Licenciatura
Huehuetenango,Aguacatán,Hombre,65,78,Ninguno
Huehuetenango,Aguacatán,Hombre,65,4,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,65,22,Primaria
Huehuetenango,Aguacatán,Hombre,66,2,Licenciatura
Huehuetenango,Aguacatán,Hombre,66,61,Ninguno
Huehuetenango,Aguacatán,Hombre,66,2,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,66,18,Primaria
Huehuetenango,Aguacatán,Hombre,67,74,Ninguno
Huehuetenango,Aguacatán,Hombre,67,1,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,67,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,67,18,Primaria
Huehuetenango,Aguacatán,Hombre,68,2,Licenciatura
Huehuetenango,Aguacatán,Hombre,68,85,Ninguno
Huehuetenango,Aguacatán,Hombre,68,1,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,68,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,68,14,Primaria
Huehuetenango,Aguacatán,Hombre,69,85,Ninguno
Huehuetenango,Aguacatán,Hombre,69,1,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,69,16,Primaria
Huehuetenango,Aguacatán,Hombre,70,105,Ninguno
Huehuetenango,Aguacatán,Hombre,70,5,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,70,12,Primaria
Huehuetenango,Aguacatán,Hombre,71,65,Ninguno
Huehuetenango,Aguacatán,Hombre,71,2,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,71,3,Primaria
Huehuetenango,Aguacatán,Hombre,72,68,Ninguno
Huehuetenango,Aguacatán,Hombre,72,1,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,72,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,72,14,Primaria
Huehuetenango,Aguacatán,Hombre,73,64,Ninguno
Huehuetenango,Aguacatán,Hombre,73,3,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,73,11,Primaria
Huehuetenango,Aguacatán,Hombre,74,66,Ninguno
Huehuetenango,Aguacatán,Hombre,74,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,74,11,Primaria
Huehuetenango,Aguacatán,Hombre,75,52,Ninguno
Huehuetenango,Aguacatán,Hombre,75,5,Primaria
Huehuetenango,Aguacatán,Hombre,76,45,Ninguno
Huehuetenango,Aguacatán,Hombre,76,3,Primaria
Huehuetenango,Aguacatán,Hombre,77,47,Ninguno
Huehuetenango,Aguacatán,Hombre,77,5,Primaria
Huehuetenango,Aguacatán,Hombre,78,1,Licenciatura
Huehuetenango,Aguacatán,Hombre,78,50,Ninguno
Huehuetenango,Aguacatán,Hombre,78,1,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,78,7,Primaria
Huehuetenango,Aguacatán,Hombre,79,50,Ninguno
Huehuetenango,Aguacatán,Hombre,79,5,Primaria
Huehuetenango,Aguacatán,Hombre,80,51,Ninguno
Huehuetenango,Aguacatán,Hombre,80,1,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,80,5,Primaria
Huehuetenango,Aguacatán,Hombre,81,40,Ninguno
Huehuetenango,Aguacatán,Hombre,81,5,Primaria
Huehuetenango,Aguacatán,Hombre,82,24,Ninguno
Huehuetenango,Aguacatán,Hombre,82,2,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,82,2,Primaria
Huehuetenango,Aguacatán,Hombre,83,31,Ninguno
Huehuetenango,Aguacatán,Hombre,83,2,Primaria
Huehuetenango,Aguacatán,Hombre,84,29,Ninguno
Huehuetenango,Aguacatán,Hombre,84,1,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Hombre,84,1,Preprimaria
Huehuetenango,Aguacatán,Hombre,84,6,Primaria
Huehuetenango,Aguacatán,Hombre,85,26,Ninguno
Huehuetenango,Aguacatán,Hombre,86,18,Ninguno
Huehuetenango,Aguacatán,Hombre,86,3,Primaria
Huehuetenango,Aguacatán,Hombre,87,29,Ninguno
Huehuetenango,Aguacatán,Hombre,87,1,Primaria
Huehuetenango,Aguacatán,Hombre,88,26,Ninguno
Huehuetenango,Aguacatán,Hombre,89,13,Ninguno
Huehuetenango,Aguacatán,Hombre,89,3,Primaria
Huehuetenango,Aguacatán,Hombre,90,9,Ninguno
Huehuetenango,Aguacatán,Hombre,91,8,Ninguno
Huehuetenango,Aguacatán,Hombre,92,10,Ninguno
Huehuetenango,Aguacatán,Hombre,92,1,Primaria
Huehuetenango,Aguacatán,Hombre,93,9,Ninguno
Huehuetenango,Aguacatán,Hombre,93,1,Primaria
Huehuetenango,Aguacatán,Hombre,94,3,Ninguno
Huehuetenango,Aguacatán,Hombre,95,3,Ninguno
Huehuetenango,Aguacatán,Hombre,95,1,Primaria
Huehuetenango,Aguacatán,Hombre,96,2,Ninguno
Huehuetenango,Aguacatán,Hombre,97,2,Ninguno
Huehuetenango,Aguacatán,Hombre,98,1,Ninguno
Huehuetenango,Aguacatán,Hombre,103,1,Ninguno
Huehuetenango,Aguacatán,Mujer,0,571,
Huehuetenango,Aguacatán,Mujer,1,584,
Huehuetenango,Aguacatán,Mujer,2,639,
Huehuetenango,Aguacatán,Mujer,3,618,
Huehuetenango,Aguacatán,Mujer,4,555,Ninguno
Huehuetenango,Aguacatán,Mujer,4,22,Preprimaria
Huehuetenango,Aguacatán,Mujer,5,509,Ninguno
Huehuetenango,Aguacatán,Mujer,5,84,Preprimaria
Huehuetenango,Aguacatán,Mujer,6,292,Ninguno
Huehuetenango,Aguacatán,Mujer,6,254,Preprimaria
Huehuetenango,Aguacatán,Mujer,6,23,Primaria
Huehuetenango,Aguacatán,Mujer,7,68,Ninguno
Huehuetenango,Aguacatán,Mujer,7,302,Preprimaria
Huehuetenango,Aguacatán,Mujer,7,248,Primaria
Huehuetenango,Aguacatán,Mujer,8,34,Ninguno
Huehuetenango,Aguacatán,Mujer,8,82,Preprimaria
Huehuetenango,Aguacatán,Mujer,8,460,Primaria
Huehuetenango,Aguacatán,Mujer,9,26,Ninguno
Huehuetenango,Aguacatán,Mujer,9,31,Preprimaria
Huehuetenango,Aguacatán,Mujer,9,501,Primaria
Huehuetenango,Aguacatán,Mujer,10,15,Ninguno
Huehuetenango,Aguacatán,Mujer,10,14,Preprimaria
Huehuetenango,Aguacatán,Mujer,10,537,Primaria
Huehuetenango,Aguacatán,Mujer,11,20,Ninguno
Huehuetenango,Aguacatán,Mujer,11,7,Preprimaria
Huehuetenango,Aguacatán,Mujer,11,567,Primaria
Huehuetenango,Aguacatán,Mujer,12,23,Ninguno
Huehuetenango,Aguacatán,Mujer,12,15,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Mujer,12,6,Preprimaria
Huehuetenango,Aguacatán,Mujer,12,511,Primaria
Huehuetenango,Aguacatán,Mujer,13,23,Ninguno
Huehuetenango,Aguacatán,Mujer,13,85,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Mujer,13,3,Preprimaria
Huehuetenango,Aguacatán,Mujer,13,470,Primaria
Huehuetenango,Aguacatán,Mujer,14,19,Ninguno
Huehuetenango,Aguacatán,Mujer,14,131,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Mujer,14,3,Preprimaria
Huehuetenango,Aguacatán,Mujer,14,410,Primaria
Huehuetenango,Aguacatán,Mujer,15,27,Ninguno
Huehuetenango,Aguacatán,Mujer,15,165,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Mujer,15,2,Preprimaria
Huehuetenango,Aguacatán,Mujer,15,443,Primaria
Huehuetenango,Aguacatán,Mujer,16,23,Ninguno
Huehuetenango,Aguacatán,Mujer,16,159,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Mujer,16,4,Preprimaria
Huehuetenango,Aguacatán,Mujer,16,424,Primaria
Huehuetenango,Aguacatán,Mujer,17,2,Licenciatura
Huehuetenango,Aguacatán,Mujer,17,34,Ninguno
Huehuetenango,Aguacatán,Mujer,17,179,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Mujer,17,3,Preprimaria
Huehuetenango,Aguacatán,Mujer,17,433,Primaria
Huehuetenango,Aguacatán,Mujer,18,13,Licenciatura
Huehuetenango,Aguacatán,Mujer,18,44,Ninguno
Huehuetenango,Aguacatán,Mujer,18,182,Nivel medio (básico y diversificado)
Huehuetenango,Aguacatán,Mujer,18,4,Preprimaria
Huehuetenango,Aguacatán,Mujer,18,437,Primaria
