NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,PCH9_I||Tiene Servicio de Internet,Recuento de PCH9_I
Alta Verapaz,Chahal,Hombre,0,No,4957
Alta Verapaz,Chahal,Hombre,0,Sí,72
Alta Verapaz,Chahal,Hombre,1,No,4957
Alta Verapaz,Chahal,Hombre,1,Sí,72
Alta Verapaz,Chahal,Hombre,2,No,4957
Alta Verapaz,Chahal,Hombre,2,Sí,72
Alta Verapaz,Chahal,Hombre,3,No,4957
Alta Verapaz,Chahal,Hombre,3,Sí,72
Alta Verapaz,Chahal,Hombre,4,No,4957
Alta Verapaz,Chahal,Hombre,4,Sí,72
Alta Verapaz,Chahal,Hombre,5,No,4957
Alta Verapaz,Chahal,Hombre,5,Sí,72
Alta Verapaz,Chahal,Hombre,6,No,4957
Alta Verapaz,Chahal,Hombre,6,Sí,72
Alta Verapaz,Chahal,Hombre,7,No,4957
Alta Verapaz,Chahal,Hombre,7,Sí,72
Alta Verapaz,Chahal,Hombre,8,No,4957
Alta Verapaz,Chahal,Hombre,8,Sí,72
Alta Verapaz,Chahal,Hombre,9,No,4957
Alta Verapaz,Chahal,Hombre,9,Sí,72
Alta Verapaz,Chahal,Hombre,10,No,4957
Alta Verapaz,Chahal,Hombre,10,Sí,72
Alta Verapaz,Chahal,Hombre,11,No,4957
Alta Verapaz,Chahal,Hombre,11,Sí,72
Alta Verapaz,Chahal,Hombre,12,No,4957
Alta Verapaz,Chahal,Hombre,12,Sí,72
Alta Verapaz,Chahal,Hombre,13,No,4957
Alta Verapaz,Chahal,Hombre,13,Sí,72
Alta Verapaz,Chahal,Hombre,14,No,4957
Alta Verapaz,Chahal,Hombre,14,Sí,72
Alta Verapaz,Chahal,Hombre,15,No,4957
Alta Verapaz,Chahal,Hombre,15,Sí,72
Alta Verapaz,Chahal,Hombre,16,No,4957
Alta Verapaz,Chahal,Hombre,16,Sí,72
Alta Verapaz,Chahal,Hombre,17,No,4957
Alta Verapaz,Chahal,Hombre,17,Sí,72
Alta Verapaz,Chahal,Hombre,18,No,4957
Alta Verapaz,Chahal,Hombre,18,Sí,72
Alta Verapaz,Chahal,Hombre,19,No,4957
Alta Verapaz,Chahal,Hombre,19,Sí,72
Alta Verapaz,Chahal,Hombre,20,No,4957
Alta Verapaz,Chahal,Hombre,20,Sí,72
Alta Verapaz,Chahal,Hombre,21,No,4957
Alta Verapaz,Chahal,Hombre,21,Sí,72
Alta Verapaz,Chahal,Hombre,22,No,4957
Alta Verapaz,Chahal,Hombre,22,Sí,72
Alta Verapaz,Chahal,Hombre,23,No,4957
Alta Verapaz,Chahal,Hombre,23,Sí,72
Alta Verapaz,Chahal,Hombre,24,No,4957
Alta Verapaz,Chahal,Hombre,24,Sí,72
Alta Verapaz,Chahal,Hombre,25,No,4957
Alta Verapaz,Chahal,Hombre,25,Sí,72
Alta Verapaz,Chahal,Hombre,26,No,4957
Alta Verapaz,Chahal,Hombre,26,Sí,72
Alta Verapaz,Chahal,Hombre,27,No,4957
Alta Verapaz,Chahal,Hombre,27,Sí,72
Alta Verapaz,Chahal,Hombre,28,No,4957
Alta Verapaz,Chahal,Hombre,28,Sí,72
Alta Verapaz,Chahal,Hombre,29,No,4957
Alta Verapaz,Chahal,Hombre,29,Sí,72
Alta Verapaz,Chahal,Hombre,30,No,4957
Alta Verapaz,Chahal,Hombre,30,Sí,72
Alta Verapaz,Chahal,Hombre,31,No,4957
Alta Verapaz,Chahal,Hombre,31,Sí,72
Alta Verapaz,Chahal,Hombre,32,No,4957
Alta Verapaz,Chahal,Hombre,32,Sí,72
