NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,NIVGRADO||Nivel y grado de estudio,Recuento de PCP17_B
Baja Verapaz,Cubulco,Hombre,6,1ero Primaria,31
Baja Verapaz,Cubulco,Hombre,7,1ero Primaria,173
Baja Verapaz,Cubulco,Hombre,7,2do Primaria,13
Baja Verapaz,Cubulco,Hombre,8,1ero Primaria,278
Baja Verapaz,Cubulco,Hombre,8,2do Primaria,81
Baja Verapaz,Cubulco,Hombre,8,3ero Primaria,12
Baja Verapaz,Cubulco,Hombre,9,1ero Primaria,186
Baja Verapaz,Cubulco,Hombre,9,2do Primaria,201
Baja Verapaz,Cubulco,Hombre,9,3ero Primaria,77
Baja Verapaz,Cubulco,Hombre,9,4to Primaria,12
Baja Verapaz,Cubulco,Hombre,10,1ero Primaria,104
Baja Verapaz,Cubulco,Hombre,10,2do Primaria,147
Baja Verapaz,Cubulco,Hombre,10,3ero Primaria,184
Baja Verapaz,Cubulco,Hombre,10,4to Primaria,66
Baja Verapaz,Cubulco,Hombre,10,5to Primaria,10
Baja Verapaz,Cubulco,Hombre,11,1ero Primaria,60
Baja Verapaz,Cubulco,Hombre,11,2do Primaria,109
Baja Verapaz,Cubulco,Hombre,11,3ero Primaria,145
Baja Verapaz,Cubulco,Hombre,11,4to Primaria,145
Baja Verapaz,Cubulco,Hombre,11,5to Primaria,75
Baja Verapaz,Cubulco,Hombre,11,6to Primaria,14
Baja Verapaz,Cubulco,Hombre,12,1ero Basico,12
Baja Verapaz,Cubulco,Hombre,12,1ero Primaria,27
Baja Verapaz,Cubulco,Hombre,12,2do Primaria,69
Baja Verapaz,Cubulco,Hombre,12,3ero Primaria,106
Baja Verapaz,Cubulco,Hombre,12,4to Primaria,133
Baja Verapaz,Cubulco,Hombre,12,5to Primaria,157
Baja Verapaz,Cubulco,Hombre,12,6to Primaria,66
Baja Verapaz,Cubulco,Hombre,13,1ero Basico,61
Baja Verapaz,Cubulco,Hombre,13,1ero Primaria,27
Baja Verapaz,Cubulco,Hombre,13,2do  Basico,12
Baja Verapaz,Cubulco,Hombre,13,2do Primaria,46
Baja Verapaz,Cubulco,Hombre,13,3ero Primaria,80
Baja Verapaz,Cubulco,Hombre,13,4to Primaria,104
Baja Verapaz,Cubulco,Hombre,13,5to Primaria,149
Baja Verapaz,Cubulco,Hombre,13,6to Primaria,156
Baja Verapaz,Cubulco,Hombre,14,1ero Basico,93
Baja Verapaz,Cubulco,Hombre,14,1ero Primaria,17
Baja Verapaz,Cubulco,Hombre,14,2do  Basico,43
Baja Verapaz,Cubulco,Hombre,14,2do Primaria,33
Baja Verapaz,Cubulco,Hombre,14,3ero Basico,7
Baja Verapaz,Cubulco,Hombre,14,3ero Primaria,64
Baja Verapaz,Cubulco,Hombre,14,4to Primaria,67
Baja Verapaz,Cubulco,Hombre,14,5to Primaria,97
Baja Verapaz,Cubulco,Hombre,14,6to Primaria,198
Baja Verapaz,Cubulco,Hombre,15,1ero Basico,98
Baja Verapaz,Cubulco,Hombre,15,1ero Primaria,14
Baja Verapaz,Cubulco,Hombre,15,2do  Basico,95
Baja Verapaz,Cubulco,Hombre,15,2do Primaria,30
Baja Verapaz,Cubulco,Hombre,15,3ero Basico,48
Baja Verapaz,Cubulco,Hombre,15,3ero Primaria,42
Baja Verapaz,Cubulco,Hombre,15,4to Diversificado,1
Baja Verapaz,Cubulco,Hombre,15,4to Primaria,45
Baja Verapaz,Cubulco,Hombre,15,5to Primaria,75
Baja Verapaz,Cubulco,Hombre,15,6to Primaria,225
Baja Verapaz,Cubulco,Hombre,16,1ero Basico,79
Baja Verapaz,Cubulco,Hombre,16,1ero Primaria,10
Baja Verapaz,Cubulco,Hombre,16,2do  Basico,86
Baja Verapaz,Cubulco,Hombre,16,2do Primaria,19
Baja Verapaz,Cubulco,Hombre,16,3ero Basico,80
Baja Verapaz,Cubulco,Hombre,16,3ero Primaria,42
Baja Verapaz,Cubulco,Hombre,16,4to Diversificado,20
Baja Verapaz,Cubulco,Hombre,16,4to Primaria,30
Baja Verapaz,Cubulco,Hombre,16,5to Diversificado,3
Baja Verapaz,Cubulco,Hombre,16,5to Primaria,44
Baja Verapaz,Cubulco,Hombre,16,6to Primaria,212
Baja Verapaz,Cubulco,Hombre,17,1er Licenciatura,2
Baja Verapaz,Cubulco,Hombre,17,1ero Basico,54
Baja Verapaz,Cubulco,Hombre,17,1ero Primaria,8
Baja Verapaz,Cubulco,Hombre,17,2do  Basico,85
Baja Verapaz,Cubulco,Hombre,17,2do Primaria,16
Baja Verapaz,Cubulco,Hombre,17,3ero Basico,116
Baja Verapaz,Cubulco,Hombre,17,3ero Primaria,47
Baja Verapaz,Cubulco,Hombre,17,4to Diversificado,29
Baja Verapaz,Cubulco,Hombre,17,4to Primaria,41
Baja Verapaz,Cubulco,Hombre,17,5to Diversificado,23
Baja Verapaz,Cubulco,Hombre,17,5to Primaria,42
Baja Verapaz,Cubulco,Hombre,17,6to Diversificado y 7mo Diversificado,3
Baja Verapaz,Cubulco,Hombre,17,6to Primaria,208
Baja Verapaz,Cubulco,Hombre,18,1er Licenciatura,3
Baja Verapaz,Cubulco,Hombre,18,1ero Basico,44
Baja Verapaz,Cubulco,Hombre,18,1ero Primaria,9
Baja Verapaz,Cubulco,Hombre,18,2do  Basico,50
Baja Verapaz,Cubulco,Hombre,18,2do Licenciatura,1
Baja Verapaz,Cubulco,Hombre,18,2do Primaria,21
Baja Verapaz,Cubulco,Hombre,18,3ero Basico,117
Baja Verapaz,Cubulco,Hombre,18,3ero Primaria,28
Baja Verapaz,Cubulco,Hombre,18,4to Diversificado,40
Baja Verapaz,Cubulco,Hombre,18,4to Primaria,36
Baja Verapaz,Cubulco,Hombre,18,5to Diversificado,42
Baja Verapaz,Cubulco,Hombre,18,5to Primaria,35
Baja Verapaz,Cubulco,Hombre,18,6to Diversificado y 7mo Diversificado,14
Baja Verapaz,Cubulco,Hombre,18,6to Primaria,178
Baja Verapaz,Cubulco,Hombre,19,1er Licenciatura,4
Baja Verapaz,Cubulco,Hombre,19,1ero Basico,23
Baja Verapaz,Cubulco,Hombre,19,1ero Primaria,4
Baja Verapaz,Cubulco,Hombre,19,2do  Basico,36
