NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,NIVGRADO||Nivel y grado de estudio,Recuento de PCP17_B
Escuintla,Escuintla,Hombre,6,1ero Primaria,52
Escuintla,Escuintla,Hombre,7,1ero Primaria,614
Escuintla,Escuintla,Hombre,7,2do Primaria,30
Escuintla,Escuintla,Hombre,8,1ero Primaria,706
Escuintla,Escuintla,Hombre,8,2do Primaria,483
Escuintla,Escuintla,Hombre,8,3ero Primaria,40
Escuintla,Escuintla,Hombre,9,1ero Primaria,288
Escuintla,Escuintla,Hombre,9,2do Primaria,675
Escuintla,Escuintla,Hombre,9,3ero Primaria,467
Escuintla,Escuintla,Hombre,9,4to Primaria,39
Escuintla,Escuintla,Hombre,10,1ero Primaria,127
Escuintla,Escuintla,Hombre,10,2do Primaria,273
Escuintla,Escuintla,Hombre,10,3ero Primaria,622
Escuintla,Escuintla,Hombre,10,4to Primaria,413
Escuintla,Escuintla,Hombre,10,5to Primaria,39
Escuintla,Escuintla,Hombre,11,1ero Primaria,69
Escuintla,Escuintla,Hombre,11,2do Primaria,127
Escuintla,Escuintla,Hombre,11,3ero Primaria,260
Escuintla,Escuintla,Hombre,11,4to Primaria,560
Escuintla,Escuintla,Hombre,11,5to Primaria,334
Escuintla,Escuintla,Hombre,11,6to Primaria,36
Escuintla,Escuintla,Hombre,12,1ero Basico,52
Escuintla,Escuintla,Hombre,12,1ero Primaria,40
Escuintla,Escuintla,Hombre,12,2do Primaria,72
Escuintla,Escuintla,Hombre,12,3ero Primaria,174
Escuintla,Escuintla,Hombre,12,4to Primaria,278
Escuintla,Escuintla,Hombre,12,5to Primaria,576
Escuintla,Escuintla,Hombre,12,6to Primaria,360
Escuintla,Escuintla,Hombre,13,1ero Basico,357
Escuintla,Escuintla,Hombre,13,1ero Primaria,45
Escuintla,Escuintla,Hombre,13,2do  Basico,31
Escuintla,Escuintla,Hombre,13,2do Primaria,39
Escuintla,Escuintla,Hombre,13,3ero Primaria,96
Escuintla,Escuintla,Hombre,13,4to Primaria,157
Escuintla,Escuintla,Hombre,13,5to Primaria,274
Escuintla,Escuintla,Hombre,13,6to Primaria,535
Escuintla,Escuintla,Hombre,14,1ero Basico,471
Escuintla,Escuintla,Hombre,14,1ero Primaria,29
Escuintla,Escuintla,Hombre,14,2do  Basico,269
Escuintla,Escuintla,Hombre,14,2do Primaria,39
Escuintla,Escuintla,Hombre,14,3ero Basico,38
Escuintla,Escuintla,Hombre,14,3ero Primaria,70
Escuintla,Escuintla,Hombre,14,4to Primaria,96
Escuintla,Escuintla,Hombre,14,5to Primaria,150
Escuintla,Escuintla,Hombre,14,6to Primaria,327
Escuintla,Escuintla,Hombre,15,1ero Basico,274
Escuintla,Escuintla,Hombre,15,1ero Primaria,18
Escuintla,Escuintla,Hombre,15,2do  Basico,453
Escuintla,Escuintla,Hombre,15,2do Primaria,30
Escuintla,Escuintla,Hombre,15,3ero Basico,276
Escuintla,Escuintla,Hombre,15,3ero Primaria,48
Escuintla,Escuintla,Hombre,15,4to Diversificado,31
Escuintla,Escuintla,Hombre,15,4to Primaria,52
Escuintla,Escuintla,Hombre,15,5to Primaria,107
Escuintla,Escuintla,Hombre,15,6to Primaria,245
Escuintla,Escuintla,Hombre,16,1ero Basico,210
Escuintla,Escuintla,Hombre,16,1ero Primaria,18
Escuintla,Escuintla,Hombre,16,2do  Basico,308
Escuintla,Escuintla,Hombre,16,2do Primaria,26
Escuintla,Escuintla,Hombre,16,3ero Basico,357
Escuintla,Escuintla,Hombre,16,3ero Primaria,34
Escuintla,Escuintla,Hombre,16,4to Diversificado,185
Escuintla,Escuintla,Hombre,16,4to Primaria,54
Escuintla,Escuintla,Hombre,16,5to Diversificado,46
Escuintla,Escuintla,Hombre,16,5to Primaria,61
Escuintla,Escuintla,Hombre,16,6to Primaria,220
Escuintla,Escuintla,Hombre,17,1er Licenciatura,10
Escuintla,Escuintla,Hombre,17,1ero Basico,198
Escuintla,Escuintla,Hombre,17,1ero Primaria,15
Escuintla,Escuintla,Hombre,17,2do  Basico,193
Escuintla,Escuintla,Hombre,17,2do Primaria,32
Escuintla,Escuintla,Hombre,17,3ero Basico,424
Escuintla,Escuintla,Hombre,17,3ero Primaria,44
Escuintla,Escuintla,Hombre,17,4to Diversificado,288
Escuintla,Escuintla,Hombre,17,4to Primaria,36
Escuintla,Escuintla,Hombre,17,5to Diversificado,245
Escuintla,Escuintla,Hombre,17,5to Primaria,36
Escuintla,Escuintla,Hombre,17,6to Diversificado y 7mo Diversificado,55
Escuintla,Escuintla,Hombre,17,6to Primaria,194
