NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,PCH9_I||Tiene Servicio de Internet,Recuento de PCH9_I
Quetzaltenango,Almolonga,Hombre,0,No,3372
Quetzaltenango,Almolonga,Hombre,0,Sí,143
Quetzaltenango,Almolonga,Hombre,1,No,3372
Quetzaltenango,Almolonga,Hombre,1,Sí,143
Quetzaltenango,Almolonga,Hombre,2,No,3372
Quetzaltenango,Almolonga,Hombre,2,Sí,143
Quetzaltenango,Almolonga,Hombre,3,No,3372
Quetzaltenango,Almolonga,Hombre,3,Sí,143
Quetzaltenango,Almolonga,Hombre,4,No,3372
Quetzaltenango,Almolonga,Hombre,4,Sí,143
Quetzaltenango,Almolonga,Hombre,5,No,3372
Quetzaltenango,Almolonga,Hombre,5,Sí,143
Quetzaltenango,Almolonga,Hombre,6,No,3372
Quetzaltenango,Almolonga,Hombre,6,Sí,143
Quetzaltenango,Almolonga,Hombre,7,No,3372
Quetzaltenango,Almolonga,Hombre,7,Sí,143
Quetzaltenango,Almolonga,Hombre,8,No,3372
Quetzaltenango,Almolonga,Hombre,8,Sí,143
Quetzaltenango,Almolonga,Hombre,9,No,3372
Quetzaltenango,Almolonga,Hombre,9,Sí,143
Quetzaltenango,Almolonga,Hombre,10,No,3372
Quetzaltenango,Almolonga,Hombre,10,Sí,143
Quetzaltenango,Almolonga,Hombre,11,No,3372
Quetzaltenango,Almolonga,Hombre,11,Sí,143
Quetzaltenango,Almolonga,Hombre,12,No,3372
Quetzaltenango,Almolonga,Hombre,12,Sí,143
Quetzaltenango,Almolonga,Hombre,13,No,3372
Quetzaltenango,Almolonga,Hombre,13,Sí,143
Quetzaltenango,Almolonga,Hombre,14,No,3372
Quetzaltenango,Almolonga,Hombre,14,Sí,143
Quetzaltenango,Almolonga,Hombre,15,No,3372
Quetzaltenango,Almolonga,Hombre,15,Sí,143
Quetzaltenango,Almolonga,Hombre,16,No,3372
Quetzaltenango,Almolonga,Hombre,16,Sí,143
Quetzaltenango,Almolonga,Hombre,17,No,3372
Quetzaltenango,Almolonga,Hombre,17,Sí,143
Quetzaltenango,Almolonga,Hombre,18,No,3372
Quetzaltenango,Almolonga,Hombre,18,Sí,143
Quetzaltenango,Almolonga,Hombre,19,No,3372
Quetzaltenango,Almolonga,Hombre,19,Sí,143
Quetzaltenango,Almolonga,Hombre,20,No,3372
Quetzaltenango,Almolonga,Hombre,20,Sí,143
Quetzaltenango,Almolonga,Hombre,21,No,3372
Quetzaltenango,Almolonga,Hombre,21,Sí,143
Quetzaltenango,Almolonga,Hombre,22,No,3372
Quetzaltenango,Almolonga,Hombre,22,Sí,143
Quetzaltenango,Almolonga,Hombre,23,No,3372
Quetzaltenango,Almolonga,Hombre,23,Sí,143
Quetzaltenango,Almolonga,Hombre,24,No,3372
Quetzaltenango,Almolonga,Hombre,24,Sí,143
Quetzaltenango,Almolonga,Hombre,25,No,3372
Quetzaltenango,Almolonga,Hombre,25,Sí,143
Quetzaltenango,Almolonga,Hombre,26,No,3372
Quetzaltenango,Almolonga,Hombre,26,Sí,143
Quetzaltenango,Almolonga,Hombre,27,No,3372
Quetzaltenango,Almolonga,Hombre,27,Sí,143
Quetzaltenango,Almolonga,Hombre,28,No,3372
Quetzaltenango,Almolonga,Hombre,28,Sí,143
Quetzaltenango,Almolonga,Hombre,29,No,3372
Quetzaltenango,Almolonga,Hombre,29,Sí,143
Quetzaltenango,Almolonga,Hombre,30,No,3372
Quetzaltenango,Almolonga,Hombre,30,Sí,143
Quetzaltenango,Almolonga,Hombre,31,No,3372
Quetzaltenango,Almolonga,Hombre,31,Sí,143
Quetzaltenango,Almolonga,Hombre,32,No,3372
