NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,NIVGRADO||Nivel y grado de estudio,Recuento de PCP17_B
Jutiapa,Agua Blanca,Hombre,6,1ero Primaria,8
Jutiapa,Agua Blanca,Hombre,7,1ero Primaria,36
Jutiapa,Agua Blanca,Hombre,7,2do Primaria,9
Jutiapa,Agua Blanca,Hombre,8,1ero Primaria,105
Jutiapa,Agua Blanca,Hombre,8,2do Primaria,32
Jutiapa,Agua Blanca,Hombre,8,3ero Primaria,1
Jutiapa,Agua Blanca,Hombre,9,1ero Primaria,20
Jutiapa,Agua Blanca,Hombre,9,2do Primaria,82
Jutiapa,Agua Blanca,Hombre,9,3ero Primaria,31
Jutiapa,Agua Blanca,Hombre,9,4to Primaria,6
Jutiapa,Agua Blanca,Hombre,10,1ero Primaria,12
Jutiapa,Agua Blanca,Hombre,10,2do Primaria,28
Jutiapa,Agua Blanca,Hombre,10,3ero Primaria,71
Jutiapa,Agua Blanca,Hombre,10,4to Primaria,21
Jutiapa,Agua Blanca,Hombre,10,5to Primaria,4
Jutiapa,Agua Blanca,Hombre,11,1ero Primaria,4
Jutiapa,Agua Blanca,Hombre,11,2do Primaria,12
Jutiapa,Agua Blanca,Hombre,11,3ero Primaria,27
Jutiapa,Agua Blanca,Hombre,11,4to Primaria,58
Jutiapa,Agua Blanca,Hombre,11,5to Primaria,38
Jutiapa,Agua Blanca,Hombre,11,6to Primaria,3
Jutiapa,Agua Blanca,Hombre,12,1ero Basico,5
Jutiapa,Agua Blanca,Hombre,12,1ero Primaria,5
Jutiapa,Agua Blanca,Hombre,12,2do Primaria,8
Jutiapa,Agua Blanca,Hombre,12,3ero Primaria,12
Jutiapa,Agua Blanca,Hombre,12,4to Primaria,30
Jutiapa,Agua Blanca,Hombre,12,5to Primaria,59
Jutiapa,Agua Blanca,Hombre,12,6to Primaria,27
Jutiapa,Agua Blanca,Hombre,13,1ero Basico,29
Jutiapa,Agua Blanca,Hombre,13,1ero Primaria,2
Jutiapa,Agua Blanca,Hombre,13,2do  Basico,6
Jutiapa,Agua Blanca,Hombre,13,2do Primaria,3
Jutiapa,Agua Blanca,Hombre,13,3ero Primaria,4
Jutiapa,Agua Blanca,Hombre,13,4to Primaria,11
Jutiapa,Agua Blanca,Hombre,13,5to Primaria,23
Jutiapa,Agua Blanca,Hombre,13,6to Primaria,62
Jutiapa,Agua Blanca,Hombre,14,1ero Basico,49
Jutiapa,Agua Blanca,Hombre,14,1ero Primaria,3
Jutiapa,Agua Blanca,Hombre,14,2do  Basico,21
Jutiapa,Agua Blanca,Hombre,14,2do Primaria,3
Jutiapa,Agua Blanca,Hombre,14,3ero Basico,4
Jutiapa,Agua Blanca,Hombre,14,3ero Primaria,6
Jutiapa,Agua Blanca,Hombre,14,4to Primaria,7
Jutiapa,Agua Blanca,Hombre,14,5to Primaria,10
Jutiapa,Agua Blanca,Hombre,14,6to Primaria,50
Jutiapa,Agua Blanca,Hombre,15,1ero Basico,22
Jutiapa,Agua Blanca,Hombre,15,1ero Primaria,1
