NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,PCP16_A||Dificultad Vista,Recuento de PCP1
Quetzaltenango,Almolonga,Hombre,0,,83
Quetzaltenango,Almolonga,Hombre,1,,110
Quetzaltenango,Almolonga,Hombre,2,,143
Quetzaltenango,Almolonga,Hombre,3,,139
Quetzaltenango,Almolonga,Hombre,4,No declarado,8
Quetzaltenango,Almolonga,Hombre,4,"No, sin dificultad",117
Quetzaltenango,Almolonga,Hombre,5,No declarado,4
Quetzaltenango,Almolonga,Hombre,5,"No, sin dificultad",142
Quetzaltenango,Almolonga,Hombre,6,No declarado,10
Quetzaltenango,Almolonga,Hombre,6,"No, sin dificultad",150
Quetzaltenango,Almolonga,Hombre,6,"Sí, con algo de dificultad",1
Quetzaltenango,Almolonga,Hombre,7,No declarado,4
Quetzaltenango,Almolonga,Hombre,7,No puede,1
Quetzaltenango,Almolonga,Hombre,7,"No, sin dificultad",123
Quetzaltenango,Almolonga,Hombre,8,No declarado,7
Quetzaltenango,Almolonga,Hombre,8,"No, sin dificultad",138
Quetzaltenango,Almolonga,Hombre,8,"Sí, con algo de dificultad",2
Quetzaltenango,Almolonga,Hombre,9,No declarado,5
Quetzaltenango,Almolonga,Hombre,9,"No, sin dificultad",108
Quetzaltenango,Almolonga,Hombre,9,"Sí, con algo de dificultad",1
Quetzaltenango,Almolonga,Hombre,10,No declarado,4
Quetzaltenango,Almolonga,Hombre,10,"No, sin dificultad",142
Quetzaltenango,Almolonga,Hombre,10,"Sí, con algo de dificultad",2
Quetzaltenango,Almolonga,Hombre,11,"No, sin dificultad",95
Quetzaltenango,Almolonga,Hombre,12,No declarado,1
Quetzaltenango,Almolonga,Hombre,12,"No, sin dificultad",109
Quetzaltenango,Almolonga,Hombre,13,No declarado,3
Quetzaltenango,Almolonga,Hombre,13,"No, sin dificultad",105
Quetzaltenango,Almolonga,Hombre,14,No declarado,3
Quetzaltenango,Almolonga,Hombre,14,"No, sin dificultad",116
Quetzaltenango,Almolonga,Hombre,15,No declarado,5
Quetzaltenango,Almolonga,Hombre,15,"No, sin dificultad",135
Quetzaltenango,Almolonga,Hombre,15,"Sí, con algo de dificultad",2
Quetzaltenango,Almolonga,Hombre,16,No declarado,3
Quetzaltenango,Almolonga,Hombre,16,"No, sin dificultad",133
Quetzaltenango,Almolonga,Hombre,17,No declarado,7
Quetzaltenango,Almolonga,Hombre,17,"No, sin dificultad",146
Quetzaltenango,Almolonga,Hombre,17,"Sí, con algo de dificultad",4
Quetzaltenango,Almolonga,Hombre,18,No declarado,2
Quetzaltenango,Almolonga,Hombre,18,"No, sin dificultad",163
Quetzaltenango,Almolonga,Hombre,18,"Sí, con algo de dificultad",4
Quetzaltenango,Almolonga,Hombre,19,No declarado,1
Quetzaltenango,Almolonga,Hombre,19,"No, sin dificultad",103
Quetzaltenango,Almolonga,Hombre,19,"Sí, con algo de dificultad",1
Quetzaltenango,Almolonga,Hombre,20,No declarado,4
Quetzaltenango,Almolonga,Hombre,20,"No, sin dificultad",189
Quetzaltenango,Almolonga,Hombre,20,"Sí, con algo de dificultad",1
Quetzaltenango,Almolonga,Hombre,21,No declarado,3
Quetzaltenango,Almolonga,Hombre,21,"No, sin dificultad",87
Quetzaltenango,Almolonga,Hombre,21,"Sí, con algo de dificultad",1
Quetzaltenango,Almolonga,Hombre,22,No declarado,3
Quetzaltenango,Almolonga,Hombre,22,No puede,1
Quetzaltenango,Almolonga,Hombre,22,"No, sin dificultad",136
Quetzaltenango,Almolonga,Hombre,22,"Sí, con algo de dificultad",3
Quetzaltenango,Almolonga,Hombre,23,No declarado,3
Quetzaltenango,Almolonga,Hombre,23,"No, sin dificultad",129
Quetzaltenango,Almolonga,Hombre,23,"Sí, con algo de dificultad",1
Quetzaltenango,Almolonga,Hombre,24,No declarado,2
Quetzaltenango,Almolonga,Hombre,24,"No, sin dificultad",102
Quetzaltenango,Almolonga,Hombre,24,"Sí, con algo de dificultad",4
Quetzaltenango,Almolonga,Hombre,25,No declarado,10
Quetzaltenango,Almolonga,Hombre,25,"No, sin dificultad",185
Quetzaltenango,Almolonga,Hombre,25,"Sí, con algo de dificultad",2
Quetzaltenango,Almolonga,Hombre,26,No declarado,6
Quetzaltenango,Almolonga,Hombre,26,"No, sin dificultad",115
Quetzaltenango,Almolonga,Hombre,26,"Sí, con algo de dificultad",1
Quetzaltenango,Almolonga,Hombre,27,No declarado,4
Quetzaltenango,Almolonga,Hombre,27,No puede,2
Quetzaltenango,Almolonga,Hombre,27,"No, sin dificultad",118
Quetzaltenango,Almolonga,Hombre,27,"Sí, con algo de dificultad",2
Quetzaltenango,Almolonga,Hombre,28,No declarado,6
Quetzaltenango,Almolonga,Hombre,28,"No, sin dificultad",143
Quetzaltenango,Almolonga,Hombre,28,"Sí, con algo de dificultad",2
Quetzaltenango,Almolonga,Hombre,29,No declarado,3
Quetzaltenango,Almolonga,Hombre,29,"No, sin dificultad",71
Quetzaltenango,Almolonga,Hombre,29,"Sí, con algo de dificultad",4
Quetzaltenango,Almolonga,Hombre,29,"Sí, con mucha dificultad",1
Quetzaltenango,Almolonga,Hombre,30,No declarado,8
Quetzaltenango,Almolonga,Hombre,30,"No, sin dificultad",200
Quetzaltenango,Almolonga,Hombre,30,"Sí, con algo de dificultad",2
Quetzaltenango,Almolonga,Hombre,30,"Sí, con mucha dificultad",1
Quetzaltenango,Almolonga,Hombre,31,"No, sin dificultad",45
Quetzaltenango,Almolonga,Hombre,32,"No, sin dificultad",106
Quetzaltenango,Almolonga,Hombre,32,"Sí, con algo de dificultad",1
Quetzaltenango,Almolonga,Hombre,32,"Sí, con mucha dificultad",1
Quetzaltenango,Almolonga,Hombre,33,No declarado,1
Quetzaltenango,Almolonga,Hombre,33,"No, sin dificultad",87
Quetzaltenango,Almolonga,Hombre,33,"Sí, con algo de dificultad",3
Quetzaltenango,Almolonga,Hombre,34,No declarado,3
Quetzaltenango,Almolonga,Hombre,34,"No, sin dificultad",65
Quetzaltenango,Almolonga,Hombre,35,No declarado,3
Quetzaltenango,Almolonga,Hombre,35,"No, sin dificultad",142
Quetzaltenango,Almolonga,Hombre,35,"Sí, con algo de dificultad",3
Quetzaltenango,Almolonga,Hombre,35,"Sí, con mucha dificultad",1
Quetzaltenango,Almolonga,Hombre,36,No declarado,1
Quetzaltenango,Almolonga,Hombre,36,"No, sin dificultad",64
Quetzaltenango,Almolonga,Hombre,36,"Sí, con algo de dificultad",1
Quetzaltenango,Almolonga,Hombre,37,No declarado,1
Quetzaltenango,Almolonga,Hombre,37,"No, sin dificultad",52
Quetzaltenango,Almolonga,Hombre,37,"Sí, con algo de dificultad",2
Quetzaltenango,Almolonga,Hombre,38,No declarado,2
Quetzaltenango,Almolonga,Hombre,38,"No, sin dificultad",102
Quetzaltenango,Almolonga,Hombre,38,"Sí, con algo de dificultad",2
Quetzaltenango,Almolonga,Hombre,39,No declarado,1
Quetzaltenango,Almolonga,Hombre,39,"No, sin dificultad",73
Quetzaltenango,Almolonga,Hombre,40,No declarado,2
Quetzaltenango,Almolonga,Hombre,40,"No, sin dificultad",155
Quetzaltenango,Almolonga,Hombre,40,"Sí, con algo de dificultad",6
Quetzaltenango,Almolonga,Hombre,41,No declarado,2
Quetzaltenango,Almolonga,Hombre,41,"No, sin dificultad",51
Quetzaltenango,Almolonga,Hombre,42,No declarado,1
Quetzaltenango,Almolonga,Hombre,42,"No, sin dificultad",85
Quetzaltenango,Almolonga,Hombre,43,No declarado,4
Quetzaltenango,Almolonga,Hombre,43,"No, sin dificultad",67
Quetzaltenango,Almolonga,Hombre,43,"Sí, con algo de dificultad",1
Quetzaltenango,Almolonga,Hombre,44,No declarado,2
Quetzaltenango,Almolonga,Hombre,44,"No, sin dificultad",54
Quetzaltenango,Almolonga,Hombre,45,No declarado,1
Quetzaltenango,Almolonga,Hombre,45,"No, sin dificultad",109
Quetzaltenango,Almolonga,Hombre,45,"Sí, con algo de dificultad",1
Quetzaltenango,Almolonga,Hombre,45,"Sí, con mucha dificultad",1
Quetzaltenango,Almolonga,Hombre,46,No declarado,1
Quetzaltenango,Almolonga,Hombre,46,"No, sin dificultad",49
Quetzaltenango,Almolonga,Hombre,46,"Sí, con algo de dificultad",2
Quetzaltenango,Almolonga,Hombre,47,"No, sin dificultad",63
