NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP16_B||Dificultad Oído
Quiché,Canillá,Hombre,0,143,
Quiché,Canillá,Hombre,1,151,
Quiché,Canillá,Hombre,2,166,
Quiché,Canillá,Hombre,3,164,
Quiché,Canillá,Hombre,4,16,No declarado
Quiché,Canillá,Hombre,4,131,"No, sin dificultad"
Quiché,Canillá,Hombre,5,5,No declarado
Quiché,Canillá,Hombre,5,170,"No, sin dificultad"
Quiché,Canillá,Hombre,5,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,6,3,No declarado
Quiché,Canillá,Hombre,6,141,"No, sin dificultad"
Quiché,Canillá,Hombre,7,8,No declarado
Quiché,Canillá,Hombre,7,154,"No, sin dificultad"
Quiché,Canillá,Hombre,8,4,No declarado
Quiché,Canillá,Hombre,8,140,"No, sin dificultad"
Quiché,Canillá,Hombre,8,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,9,8,No declarado
Quiché,Canillá,Hombre,9,124,"No, sin dificultad"
Quiché,Canillá,Hombre,10,4,No declarado
Quiché,Canillá,Hombre,10,156,"No, sin dificultad"
Quiché,Canillá,Hombre,11,3,No declarado
Quiché,Canillá,Hombre,11,116,"No, sin dificultad"
Quiché,Canillá,Hombre,12,4,No declarado
Quiché,Canillá,Hombre,12,131,"No, sin dificultad"
Quiché,Canillá,Hombre,12,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,13,4,No declarado
Quiché,Canillá,Hombre,13,144,"No, sin dificultad"
Quiché,Canillá,Hombre,13,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,14,4,No declarado
Quiché,Canillá,Hombre,14,1,No puede
Quiché,Canillá,Hombre,14,125,"No, sin dificultad"
Quiché,Canillá,Hombre,14,2,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,15,3,No declarado
Quiché,Canillá,Hombre,15,128,"No, sin dificultad"
Quiché,Canillá,Hombre,16,3,No declarado
Quiché,Canillá,Hombre,16,127,"No, sin dificultad"
Quiché,Canillá,Hombre,17,3,No declarado
Quiché,Canillá,Hombre,17,111,"No, sin dificultad"
Quiché,Canillá,Hombre,17,1,"Sí, con mucha dificultad"
Quiché,Canillá,Hombre,18,4,No declarado
Quiché,Canillá,Hombre,18,125,"No, sin dificultad"
Quiché,Canillá,Hombre,19,5,No declarado
Quiché,Canillá,Hombre,19,101,"No, sin dificultad"
Quiché,Canillá,Hombre,20,1,No declarado
Quiché,Canillá,Hombre,20,1,No puede
Quiché,Canillá,Hombre,20,89,"No, sin dificultad"
Quiché,Canillá,Hombre,21,1,No declarado
Quiché,Canillá,Hombre,21,107,"No, sin dificultad"
Quiché,Canillá,Hombre,22,5,No declarado
Quiché,Canillá,Hombre,22,109,"No, sin dificultad"
Quiché,Canillá,Hombre,22,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,22,1,"Sí, con mucha dificultad"
Quiché,Canillá,Hombre,23,2,No declarado
Quiché,Canillá,Hombre,23,108,"No, sin dificultad"
Quiché,Canillá,Hombre,24,1,No declarado
Quiché,Canillá,Hombre,24,102,"No, sin dificultad"
Quiché,Canillá,Hombre,24,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,25,1,No declarado
Quiché,Canillá,Hombre,25,107,"No, sin dificultad"
Quiché,Canillá,Hombre,25,2,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,25,1,"Sí, con mucha dificultad"
Quiché,Canillá,Hombre,26,2,No declarado
Quiché,Canillá,Hombre,26,86,"No, sin dificultad"
Quiché,Canillá,Hombre,27,77,"No, sin dificultad"
Quiché,Canillá,Hombre,28,1,No declarado
Quiché,Canillá,Hombre,28,79,"No, sin dificultad"
Quiché,Canillá,Hombre,29,1,No declarado
Quiché,Canillá,Hombre,29,59,"No, sin dificultad"
Quiché,Canillá,Hombre,29,1,"Sí, con mucha dificultad"
Quiché,Canillá,Hombre,30,1,No declarado
Quiché,Canillá,Hombre,30,87,"No, sin dificultad"
Quiché,Canillá,Hombre,30,2,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,31,2,No declarado
Quiché,Canillá,Hombre,31,57,"No, sin dificultad"
Quiché,Canillá,Hombre,31,2,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,32,1,No declarado
Quiché,Canillá,Hombre,32,60,"No, sin dificultad"
Quiché,Canillá,Hombre,32,1,"Sí, con mucha dificultad"
Quiché,Canillá,Hombre,33,45,"No, sin dificultad"
Quiché,Canillá,Hombre,34,51,"No, sin dificultad"
Quiché,Canillá,Hombre,34,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,35,2,No puede
Quiché,Canillá,Hombre,35,53,"No, sin dificultad"
Quiché,Canillá,Hombre,36,55,"No, sin dificultad"
Quiché,Canillá,Hombre,36,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,37,1,No declarado
Quiché,Canillá,Hombre,37,48,"No, sin dificultad"
Quiché,Canillá,Hombre,38,1,No declarado
Quiché,Canillá,Hombre,38,1,No puede
Quiché,Canillá,Hombre,38,56,"No, sin dificultad"
Quiché,Canillá,Hombre,38,2,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,38,1,"Sí, con mucha dificultad"
Quiché,Canillá,Hombre,39,1,No declarado
Quiché,Canillá,Hombre,39,44,"No, sin dificultad"
Quiché,Canillá,Hombre,39,2,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,40,50,"No, sin dificultad"
Quiché,Canillá,Hombre,41,36,"No, sin dificultad"
Quiché,Canillá,Hombre,41,1,"Sí, con algo de dificultad"
Quiché,Canillá,Hombre,42,53,"No, sin dificultad"
Quiché,Canillá,Hombre,42,1,"Sí, con algo de dificultad"
