NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP16_C||Dificulta caminar o subir escaleras
Jutiapa,Agua Blanca,Hombre,0,117,
Jutiapa,Agua Blanca,Hombre,1,137,
Jutiapa,Agua Blanca,Hombre,2,148,
Jutiapa,Agua Blanca,Hombre,3,158,
Jutiapa,Agua Blanca,Hombre,4,18,No declarado
Jutiapa,Agua Blanca,Hombre,4,107,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,4,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,5,11,No declarado
Jutiapa,Agua Blanca,Hombre,5,161,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,5,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,5,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,6,1,No declarado
Jutiapa,Agua Blanca,Hombre,6,142,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,6,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,7,2,No declarado
Jutiapa,Agua Blanca,Hombre,7,153,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,7,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,8,2,No declarado
Jutiapa,Agua Blanca,Hombre,8,171,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,9,2,No declarado
Jutiapa,Agua Blanca,Hombre,9,145,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,10,2,No declarado
Jutiapa,Agua Blanca,Hombre,10,1,No puede
Jutiapa,Agua Blanca,Hombre,10,141,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,11,2,No declarado
Jutiapa,Agua Blanca,Hombre,11,2,No puede
Jutiapa,Agua Blanca,Hombre,11,140,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,11,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,12,149,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,13,2,No declarado
Jutiapa,Agua Blanca,Hombre,13,140,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,13,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,14,2,No declarado
Jutiapa,Agua Blanca,Hombre,14,154,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,15,1,No declarado
Jutiapa,Agua Blanca,Hombre,15,161,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,15,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,15,2,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,16,1,No puede
Jutiapa,Agua Blanca,Hombre,16,154,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,16,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,17,2,No declarado
Jutiapa,Agua Blanca,Hombre,17,148,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,18,2,No declarado
Jutiapa,Agua Blanca,Hombre,18,185,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,18,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,19,1,No declarado
Jutiapa,Agua Blanca,Hombre,19,2,No puede
Jutiapa,Agua Blanca,Hombre,19,144,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,19,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,20,2,No declarado
Jutiapa,Agua Blanca,Hombre,20,147,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,21,111,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,21,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,22,2,No declarado
Jutiapa,Agua Blanca,Hombre,22,153,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,23,1,No declarado
Jutiapa,Agua Blanca,Hombre,23,147,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,24,126,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,24,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,25,1,No puede
Jutiapa,Agua Blanca,Hombre,25,147,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,25,2,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,26,1,No declarado
Jutiapa,Agua Blanca,Hombre,26,1,No puede
Jutiapa,Agua Blanca,Hombre,26,119,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,27,98,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,27,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,28,1,No puede
Jutiapa,Agua Blanca,Hombre,28,118,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,28,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,28,2,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,29,1,No declarado
Jutiapa,Agua Blanca,Hombre,29,1,No puede
Jutiapa,Agua Blanca,Hombre,29,93,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,29,2,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,30,1,No declarado
Jutiapa,Agua Blanca,Hombre,30,138,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,30,2,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,31,1,No declarado
Jutiapa,Agua Blanca,Hombre,31,84,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,31,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,32,107,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,32,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,32,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,33,100,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,33,3,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,34,1,No puede
Jutiapa,Agua Blanca,Hombre,34,73,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,34,2,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,35,82,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,35,2,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,36,80,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,36,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,37,1,No puede
Jutiapa,Agua Blanca,Hombre,37,81,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,37,2,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,37,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,38,1,No declarado
Jutiapa,Agua Blanca,Hombre,38,95,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,38,4,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,38,2,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,39,56,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,39,4,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,40,1,No declarado
Jutiapa,Agua Blanca,Hombre,40,1,No puede
Jutiapa,Agua Blanca,Hombre,40,93,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,40,2,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,40,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,41,1,No declarado
Jutiapa,Agua Blanca,Hombre,41,64,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,41,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,42,1,No declarado
Jutiapa,Agua Blanca,Hombre,42,83,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,42,1,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,42,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,43,67,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,44,1,No puede
Jutiapa,Agua Blanca,Hombre,44,76,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,45,78,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,46,80,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,46,2,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,47,71,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,48,2,No declarado
Jutiapa,Agua Blanca,Hombre,48,1,No puede
Jutiapa,Agua Blanca,Hombre,48,74,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,48,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,49,1,No puede
Jutiapa,Agua Blanca,Hombre,49,52,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,49,3,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,49,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,50,97,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,50,4,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,51,56,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,51,3,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,52,63,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,52,3,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,52,1,"Sí, con mucha dificultad"
Jutiapa,Agua Blanca,Hombre,53,46,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,53,3,"Sí, con algo de dificultad"
Jutiapa,Agua Blanca,Hombre,54,2,No declarado
Jutiapa,Agua Blanca,Hombre,54,63,"No, sin dificultad"
Jutiapa,Agua Blanca,Hombre,54,3,"Sí, con algo de dificultad"
