NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,NIVGRADO||Nivel y grado de estudio,Recuento de PCP17_B
Jalapa,Jalapa,Hombre,6,1ero Primaria,33
Jalapa,Jalapa,Hombre,7,1ero Primaria,389
Jalapa,Jalapa,Hombre,7,2do Primaria,31
Jalapa,Jalapa,Hombre,8,1ero Primaria,1002
Jalapa,Jalapa,Hombre,8,2do Primaria,308
Jalapa,Jalapa,Hombre,8,3ero Primaria,24
Jalapa,Jalapa,Hombre,9,1ero Primaria,565
Jalapa,Jalapa,Hombre,9,2do Primaria,812
Jalapa,Jalapa,Hombre,9,3ero Primaria,251
Jalapa,Jalapa,Hombre,9,4to Primaria,24
Jalapa,Jalapa,Hombre,10,1ero Primaria,330
Jalapa,Jalapa,Hombre,10,2do Primaria,552
Jalapa,Jalapa,Hombre,10,3ero Primaria,708
Jalapa,Jalapa,Hombre,10,4to Primaria,238
Jalapa,Jalapa,Hombre,10,5to Primaria,30
Jalapa,Jalapa,Hombre,11,1ero Primaria,182
Jalapa,Jalapa,Hombre,11,2do Primaria,345
Jalapa,Jalapa,Hombre,11,3ero Primaria,457
Jalapa,Jalapa,Hombre,11,4to Primaria,576
Jalapa,Jalapa,Hombre,11,5to Primaria,207
Jalapa,Jalapa,Hombre,11,6to Primaria,14
Jalapa,Jalapa,Hombre,12,1ero Basico,54
Jalapa,Jalapa,Hombre,12,1ero Primaria,106
Jalapa,Jalapa,Hombre,12,2do Primaria,229
Jalapa,Jalapa,Hombre,12,3ero Primaria,371
Jalapa,Jalapa,Hombre,12,4to Primaria,384
Jalapa,Jalapa,Hombre,12,5to Primaria,590
Jalapa,Jalapa,Hombre,12,6to Primaria,203
Jalapa,Jalapa,Hombre,13,1ero Basico,180
Jalapa,Jalapa,Hombre,13,1ero Primaria,72
Jalapa,Jalapa,Hombre,13,2do  Basico,21
Jalapa,Jalapa,Hombre,13,2do Primaria,126
Jalapa,Jalapa,Hombre,13,3ero Primaria,234
Jalapa,Jalapa,Hombre,13,4to Primaria,307
Jalapa,Jalapa,Hombre,13,5to Primaria,406
Jalapa,Jalapa,Hombre,13,6to Primaria,494
Jalapa,Jalapa,Hombre,14,1ero Basico,369
Jalapa,Jalapa,Hombre,14,1ero Primaria,47
Jalapa,Jalapa,Hombre,14,2do  Basico,172
Jalapa,Jalapa,Hombre,14,2do Primaria,91
Jalapa,Jalapa,Hombre,14,3ero Basico,28
Jalapa,Jalapa,Hombre,14,3ero Primaria,147
Jalapa,Jalapa,Hombre,14,4to Primaria,164
Jalapa,Jalapa,Hombre,14,5to Primaria,281
Jalapa,Jalapa,Hombre,14,6to Primaria,499
Jalapa,Jalapa,Hombre,15,1ero Basico,333
Jalapa,Jalapa,Hombre,15,1ero Primaria,33
Jalapa,Jalapa,Hombre,15,2do  Basico,347
Jalapa,Jalapa,Hombre,15,2do Primaria,69
Jalapa,Jalapa,Hombre,15,3ero Basico,150
Jalapa,Jalapa,Hombre,15,3ero Primaria,131
