NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,PCP16_A||Dificultad Vista,Recuento de PCP1
Alta Verapaz,Chahal,Hombre,0,,344
Alta Verapaz,Chahal,Hombre,1,,364
Alta Verapaz,Chahal,Hombre,2,,337
Alta Verapaz,Chahal,Hombre,3,,422
Alta Verapaz,Chahal,Hombre,4,No declarado,22
Alta Verapaz,Chahal,Hombre,4,No puede,1
Alta Verapaz,Chahal,Hombre,4,"No, sin dificultad",350
Alta Verapaz,Chahal,Hombre,5,No declarado,7
Alta Verapaz,Chahal,Hombre,5,"No, sin dificultad",364
Alta Verapaz,Chahal,Hombre,6,No declarado,5
Alta Verapaz,Chahal,Hombre,6,"No, sin dificultad",397
Alta Verapaz,Chahal,Hombre,6,"Sí, con mucha dificultad",1
Alta Verapaz,Chahal,Hombre,7,No declarado,4
Alta Verapaz,Chahal,Hombre,7,"No, sin dificultad",341
Alta Verapaz,Chahal,Hombre,8,No declarado,2
Alta Verapaz,Chahal,Hombre,8,No puede,1
Alta Verapaz,Chahal,Hombre,8,"No, sin dificultad",351
Alta Verapaz,Chahal,Hombre,8,"Sí, con algo de dificultad",2
Alta Verapaz,Chahal,Hombre,9,No declarado,4
Alta Verapaz,Chahal,Hombre,9,"No, sin dificultad",370
Alta Verapaz,Chahal,Hombre,9,"Sí, con algo de dificultad",1
Alta Verapaz,Chahal,Hombre,10,No declarado,4
Alta Verapaz,Chahal,Hombre,10,"No, sin dificultad",335
Alta Verapaz,Chahal,Hombre,10,"Sí, con algo de dificultad",3
Alta Verapaz,Chahal,Hombre,11,No declarado,1
Alta Verapaz,Chahal,Hombre,11,"No, sin dificultad",281
Alta Verapaz,Chahal,Hombre,11,"Sí, con algo de dificultad",2
Alta Verapaz,Chahal,Hombre,12,No declarado,4
Alta Verapaz,Chahal,Hombre,12,"No, sin dificultad",265
Alta Verapaz,Chahal,Hombre,13,"No, sin dificultad",312
Alta Verapaz,Chahal,Hombre,13,"Sí, con algo de dificultad",3
Alta Verapaz,Chahal,Hombre,14,No declarado,4
Alta Verapaz,Chahal,Hombre,14,"No, sin dificultad",279
Alta Verapaz,Chahal,Hombre,14,"Sí, con algo de dificultad",2
Alta Verapaz,Chahal,Hombre,15,No declarado,4
Alta Verapaz,Chahal,Hombre,15,"No, sin dificultad",277
Alta Verapaz,Chahal,Hombre,15,"Sí, con algo de dificultad",1
Alta Verapaz,Chahal,Hombre,16,No declarado,4
Alta Verapaz,Chahal,Hombre,16,"No, sin dificultad",333
Alta Verapaz,Chahal,Hombre,17,No declarado,1
Alta Verapaz,Chahal,Hombre,17,"No, sin dificultad",347
Alta Verapaz,Chahal,Hombre,17,"Sí, con algo de dificultad",1
Alta Verapaz,Chahal,Hombre,18,"No, sin dificultad",361
Alta Verapaz,Chahal,Hombre,18,"Sí, con algo de dificultad",2
Alta Verapaz,Chahal,Hombre,18,"Sí, con mucha dificultad",1
Alta Verapaz,Chahal,Hombre,19,"No, sin dificultad",259
Alta Verapaz,Chahal,Hombre,19,"Sí, con algo de dificultad",1
Alta Verapaz,Chahal,Hombre,20,No declarado,1
Alta Verapaz,Chahal,Hombre,20,"No, sin dificultad",280
Alta Verapaz,Chahal,Hombre,20,"Sí, con algo de dificultad",1
Alta Verapaz,Chahal,Hombre,21,No declarado,1
Alta Verapaz,Chahal,Hombre,21,"No, sin dificultad",269
Alta Verapaz,Chahal,Hombre,22,No puede,1
Alta Verapaz,Chahal,Hombre,22,"No, sin dificultad",279
