NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,PCH9_I||Tiene Servicio de Internet,Recuento de PCH9_I
Sacatepéquez,Antigua Guatemala,Hombre,0,No,6768
Sacatepéquez,Antigua Guatemala,Hombre,0,Sí,4363
Sacatepéquez,Antigua Guatemala,Hombre,1,No,6768
Sacatepéquez,Antigua Guatemala,Hombre,1,Sí,4363
Sacatepéquez,Antigua Guatemala,Hombre,2,No,6768
Sacatepéquez,Antigua Guatemala,Hombre,2,Sí,4363
Sacatepéquez,Antigua Guatemala,Hombre,3,No,6768
Sacatepéquez,Antigua Guatemala,Hombre,3,Sí,4363
Sacatepéquez,Antigua Guatemala,Hombre,4,No,6768
Sacatepéquez,Antigua Guatemala,Hombre,4,Sí,4363
Sacatepéquez,Antigua Guatemala,Hombre,5,No,6768
Sacatepéquez,Antigua Guatemala,Hombre,5,Sí,4363
Sacatepéquez,Antigua Guatemala,Hombre,6,No,6768
Sacatepéquez,Antigua Guatemala,Hombre,6,Sí,4363
Sacatepéquez,Antigua Guatemala,Hombre,7,No,6768
Sacatepéquez,Antigua Guatemala,Hombre,7,Sí,4363
Sacatepéquez,Antigua Guatemala,Hombre,8,No,6768
Sacatepéquez,Antigua Guatemala,Hombre,8,Sí,4363
Sacatepéquez,Antigua Guatemala,Hombre,9,No,6768
Sacatepéquez,Antigua Guatemala,Hombre,9,Sí,4363
Sacatepéquez,Antigua Guatemala,Hombre,10,No,6768
Sacatepéquez,Antigua Guatemala,Hombre,10,Sí,4363
Sacatepéquez,Antigua Guatemala,Hombre,11,No,6768
Sacatepéquez,Antigua Guatemala,Hombre,11,Sí,4363
Sacatepéquez,Antigua Guatemala,Hombre,12,No,6768
Sacatepéquez,Antigua Guatemala,Hombre,12,Sí,4363
Sacatepéquez,Antigua Guatemala,Hombre,13,No,6768
Sacatepéquez,Antigua Guatemala,Hombre,13,Sí,4363
Sacatepéquez,Antigua Guatemala,Hombre,14,No,6768
Sacatepéquez,Antigua Guatemala,Hombre,14,Sí,4363
Sacatepéquez,Antigua Guatemala,Hombre,15,No,6768
Sacatepéquez,Antigua Guatemala,Hombre,15,Sí,4363
