NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,PCP16_A||Dificultad Vista,Recuento de PCP1
Jutiapa,Agua Blanca,Hombre,0,,117
Jutiapa,Agua Blanca,Hombre,1,,137
Jutiapa,Agua Blanca,Hombre,2,,148
Jutiapa,Agua Blanca,Hombre,3,,158
Jutiapa,Agua Blanca,Hombre,4,No declarado,18
Jutiapa,Agua Blanca,Hombre,4,"No, sin dificultad",107
Jutiapa,Agua Blanca,Hombre,4,"Sí, con algo de dificultad",1
Jutiapa,Agua Blanca,Hombre,5,No declarado,12
Jutiapa,Agua Blanca,Hombre,5,No puede,1
Jutiapa,Agua Blanca,Hombre,5,"No, sin dificultad",160
Jutiapa,Agua Blanca,Hombre,5,"Sí, con mucha dificultad",1
Jutiapa,Agua Blanca,Hombre,6,No declarado,1
Jutiapa,Agua Blanca,Hombre,6,"No, sin dificultad",143
Jutiapa,Agua Blanca,Hombre,7,No declarado,3
Jutiapa,Agua Blanca,Hombre,7,"No, sin dificultad",152
Jutiapa,Agua Blanca,Hombre,7,"Sí, con algo de dificultad",1
Jutiapa,Agua Blanca,Hombre,8,No declarado,1
Jutiapa,Agua Blanca,Hombre,8,"No, sin dificultad",170
Jutiapa,Agua Blanca,Hombre,8,"Sí, con algo de dificultad",2
Jutiapa,Agua Blanca,Hombre,9,No declarado,3
Jutiapa,Agua Blanca,Hombre,9,"No, sin dificultad",141
Jutiapa,Agua Blanca,Hombre,9,"Sí, con algo de dificultad",3
Jutiapa,Agua Blanca,Hombre,10,No declarado,2
Jutiapa,Agua Blanca,Hombre,10,No puede,1
Jutiapa,Agua Blanca,Hombre,10,"No, sin dificultad",139
Jutiapa,Agua Blanca,Hombre,10,"Sí, con algo de dificultad",2
Jutiapa,Agua Blanca,Hombre,11,No declarado,2
Jutiapa,Agua Blanca,Hombre,11,"No, sin dificultad",143
Jutiapa,Agua Blanca,Hombre,12,"No, sin dificultad",147
Jutiapa,Agua Blanca,Hombre,12,"Sí, con algo de dificultad",2
Jutiapa,Agua Blanca,Hombre,13,No declarado,2
Jutiapa,Agua Blanca,Hombre,13,"No, sin dificultad",139
Jutiapa,Agua Blanca,Hombre,13,"Sí, con algo de dificultad",2
Jutiapa,Agua Blanca,Hombre,14,No declarado,1
Jutiapa,Agua Blanca,Hombre,14,"No, sin dificultad",153
Jutiapa,Agua Blanca,Hombre,14,"Sí, con algo de dificultad",1
Jutiapa,Agua Blanca,Hombre,14,"Sí, con mucha dificultad",1
Jutiapa,Agua Blanca,Hombre,15,No declarado,1
Jutiapa,Agua Blanca,Hombre,15,"No, sin dificultad",163
Jutiapa,Agua Blanca,Hombre,15,"Sí, con algo de dificultad",1
Jutiapa,Agua Blanca,Hombre,16,"No, sin dificultad",153
Jutiapa,Agua Blanca,Hombre,16,"Sí, con algo de dificultad",2
Jutiapa,Agua Blanca,Hombre,16,"Sí, con mucha dificultad",1
Jutiapa,Agua Blanca,Hombre,17,No declarado,1
Jutiapa,Agua Blanca,Hombre,17,"No, sin dificultad",147
Jutiapa,Agua Blanca,Hombre,17,"Sí, con algo de dificultad",2
Jutiapa,Agua Blanca,Hombre,18,No declarado,3
Jutiapa,Agua Blanca,Hombre,18,"No, sin dificultad",183
Jutiapa,Agua Blanca,Hombre,18,"Sí, con mucha dificultad",2
Jutiapa,Agua Blanca,Hombre,19,No declarado,1
Jutiapa,Agua Blanca,Hombre,19,"No, sin dificultad",143
Jutiapa,Agua Blanca,Hombre,19,"Sí, con algo de dificultad",3
Jutiapa,Agua Blanca,Hombre,19,"Sí, con mucha dificultad",1
Jutiapa,Agua Blanca,Hombre,20,No declarado,2
Jutiapa,Agua Blanca,Hombre,20,"No, sin dificultad",146
Jutiapa,Agua Blanca,Hombre,20,"Sí, con algo de dificultad",1
Jutiapa,Agua Blanca,Hombre,21,"No, sin dificultad",110
Jutiapa,Agua Blanca,Hombre,21,"Sí, con algo de dificultad",1
Jutiapa,Agua Blanca,Hombre,21,"Sí, con mucha dificultad",1
Jutiapa,Agua Blanca,Hombre,22,No declarado,1
Jutiapa,Agua Blanca,Hombre,22,"No, sin dificultad",154
Jutiapa,Agua Blanca,Hombre,23,No declarado,1
Jutiapa,Agua Blanca,Hombre,23,"No, sin dificultad",146
Jutiapa,Agua Blanca,Hombre,23,"Sí, con algo de dificultad",1
Jutiapa,Agua Blanca,Hombre,24,"No, sin dificultad",126
Jutiapa,Agua Blanca,Hombre,24,"Sí, con algo de dificultad",1
Jutiapa,Agua Blanca,Hombre,25,"No, sin dificultad",147
Jutiapa,Agua Blanca,Hombre,25,"Sí, con algo de dificultad",3
Jutiapa,Agua Blanca,Hombre,26,No declarado,1
Jutiapa,Agua Blanca,Hombre,26,"No, sin dificultad",119
Jutiapa,Agua Blanca,Hombre,26,"Sí, con algo de dificultad",1
Jutiapa,Agua Blanca,Hombre,27,"No, sin dificultad",98
Jutiapa,Agua Blanca,Hombre,27,"Sí, con algo de dificultad",1
Jutiapa,Agua Blanca,Hombre,28,"No, sin dificultad",121
Jutiapa,Agua Blanca,Hombre,28,"Sí, con algo de dificultad",1
Jutiapa,Agua Blanca,Hombre,29,No declarado,1
Jutiapa,Agua Blanca,Hombre,29,"No, sin dificultad",95
Jutiapa,Agua Blanca,Hombre,29,"Sí, con mucha dificultad",1
Jutiapa,Agua Blanca,Hombre,30,No declarado,1
Jutiapa,Agua Blanca,Hombre,30,"No, sin dificultad",140
Jutiapa,Agua Blanca,Hombre,31,No declarado,1
Jutiapa,Agua Blanca,Hombre,31,"No, sin dificultad",84
Jutiapa,Agua Blanca,Hombre,31,"Sí, con algo de dificultad",1
Jutiapa,Agua Blanca,Hombre,32,"No, sin dificultad",105
Jutiapa,Agua Blanca,Hombre,32,"Sí, con algo de dificultad",1
Jutiapa,Agua Blanca,Hombre,32,"Sí, con mucha dificultad",3
Jutiapa,Agua Blanca,Hombre,33,"No, sin dificultad",102
Jutiapa,Agua Blanca,Hombre,33,"Sí, con algo de dificultad",1
Jutiapa,Agua Blanca,Hombre,34,"No, sin dificultad",73
Jutiapa,Agua Blanca,Hombre,34,"Sí, con algo de dificultad",2
Jutiapa,Agua Blanca,Hombre,34,"Sí, con mucha dificultad",1
Jutiapa,Agua Blanca,Hombre,35,"No, sin dificultad",82
Jutiapa,Agua Blanca,Hombre,35,"Sí, con algo de dificultad",2
Jutiapa,Agua Blanca,Hombre,36,"No, sin dificultad",80
Jutiapa,Agua Blanca,Hombre,36,"Sí, con mucha dificultad",1
Jutiapa,Agua Blanca,Hombre,37,No puede,1
Jutiapa,Agua Blanca,Hombre,37,"No, sin dificultad",78
Jutiapa,Agua Blanca,Hombre,37,"Sí, con algo de dificultad",4
Jutiapa,Agua Blanca,Hombre,37,"Sí, con mucha dificultad",2
Jutiapa,Agua Blanca,Hombre,38,No declarado,1
Jutiapa,Agua Blanca,Hombre,38,"No, sin dificultad",99
Jutiapa,Agua Blanca,Hombre,38,"Sí, con algo de dificultad",2
Jutiapa,Agua Blanca,Hombre,39,"No, sin dificultad",58
Jutiapa,Agua Blanca,Hombre,39,"Sí, con algo de dificultad",2
Jutiapa,Agua Blanca,Hombre,40,No declarado,1
Jutiapa,Agua Blanca,Hombre,40,"No, sin dificultad",95
Jutiapa,Agua Blanca,Hombre,40,"Sí, con algo de dificultad",1
Jutiapa,Agua Blanca,Hombre,40,"Sí, con mucha dificultad",1
Jutiapa,Agua Blanca,Hombre,41,"No, sin dificultad",63
Jutiapa,Agua Blanca,Hombre,41,"Sí, con algo de dificultad",3
Jutiapa,Agua Blanca,Hombre,42,No declarado,1
Jutiapa,Agua Blanca,Hombre,42,"No, sin dificultad",82
Jutiapa,Agua Blanca,Hombre,42,"Sí, con algo de dificultad",2
Jutiapa,Agua Blanca,Hombre,42,"Sí, con mucha dificultad",1
Jutiapa,Agua Blanca,Hombre,43,"No, sin dificultad",62
Jutiapa,Agua Blanca,Hombre,43,"Sí, con algo de dificultad",5
Jutiapa,Agua Blanca,Hombre,44,"No, sin dificultad",74
Jutiapa,Agua Blanca,Hombre,44,"Sí, con algo de dificultad",2
Jutiapa,Agua Blanca,Hombre,44,"Sí, con mucha dificultad",1
Jutiapa,Agua Blanca,Hombre,45,No declarado,1
Jutiapa,Agua Blanca,Hombre,45,"No, sin dificultad",74
Jutiapa,Agua Blanca,Hombre,45,"Sí, con algo de dificultad",3
Jutiapa,Agua Blanca,Hombre,46,"No, sin dificultad",78
Jutiapa,Agua Blanca,Hombre,46,"Sí, con algo de dificultad",2
Jutiapa,Agua Blanca,Hombre,46,"Sí, con mucha dificultad",2
Jutiapa,Agua Blanca,Hombre,47,"No, sin dificultad",69
Jutiapa,Agua Blanca,Hombre,47,"Sí, con algo de dificultad",1
Jutiapa,Agua Blanca,Hombre,47,"Sí, con mucha dificultad",1
Jutiapa,Agua Blanca,Hombre,48,No declarado,1
Jutiapa,Agua Blanca,Hombre,48,"No, sin dificultad",76
Jutiapa,Agua Blanca,Hombre,48,"Sí, con mucha dificultad",1
Jutiapa,Agua Blanca,Hombre,49,"No, sin dificultad",53
Jutiapa,Agua Blanca,Hombre,49,"Sí, con algo de dificultad",3
Jutiapa,Agua Blanca,Hombre,49,"Sí, con mucha dificultad",1
Jutiapa,Agua Blanca,Hombre,50,No declarado,1
Jutiapa,Agua Blanca,Hombre,50,"No, sin dificultad",92
Jutiapa,Agua Blanca,Hombre,50,"Sí, con algo de dificultad",7
Jutiapa,Agua Blanca,Hombre,50,"Sí, con mucha dificultad",1
Jutiapa,Agua Blanca,Hombre,51,"No, sin dificultad",56
Jutiapa,Agua Blanca,Hombre,51,"Sí, con algo de dificultad",3
Jutiapa,Agua Blanca,Hombre,52,"No, sin dificultad",60
Jutiapa,Agua Blanca,Hombre,52,"Sí, con algo de dificultad",5
